id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/4cb1aeb5-d822-4f2c-a7e6-ae2a132acf17,Adline Clarke,Democratic,97,lower,Adline,Clarke,,adline.clarke@alhouse.gov,,,,https://phs4j.com/alison/imgs/house/Clarke_97.png,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100579&OID_PERSON=7425;https://alison.legislature.state.al.us/house-leaders-members,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100579&OID_PERSON=7425;http://www.legislature.state.al.us/aliswww/ISD/House/ALRepresentatives.aspx;http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?NAME=Clarke&OID_SPONSOR=100579&OID_PERSON=7425&SESSNAME=;https://gql.api.alison.legislature.state.al.us/graphql,,,,"Post Office Box 40758,Mobile, AL 36640",251-208-5481,,,,,,
ocd-person/cb2488d5-f0b6-4e9f-948b-ff7e9f4e1907,Alan Baker,Republican,66,lower,Alan,Baker,,staterep@co.escambia.al.us,,,,https://phs4j.com/alison/imgs/house/Baker_66.png,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100548&OID_PERSON=8303;https://alison.legislature.state.al.us/house-leaders-members,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100548&OID_PERSON=8303;http://www.legislature.state.al.us/aliswww/ISD/House/ALRepresentatives.aspx;http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?NAME=Baker&OID_SPONSOR=100548&OID_PERSON=8303&SESSNAME=;https://gql.api.alison.legislature.state.al.us/graphql,,,,"Post Office Box 975,Brewton, AL 36427",251-867-0244,,,,,,
ocd-person/3f96a690-e9a3-4774-8484-49a5a079b18c,Allen Treadaway,Republican,51,lower,Allen,Treadaway,,allen.treadaway@alhouse.gov,,,,https://phs4j.com/alison/imgs/house/Treadaway_51.png,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100532&OID_PERSON=5536;https://alison.legislature.state.al.us/house-leaders-members,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100532&OID_PERSON=5536;http://www.legislature.state.al.us/aliswww/ISD/House/ALRepresentatives.aspx;http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?NAME=Treadaway&OID_SPONSOR=100532&OID_PERSON=5536&SESSNAME=;https://gql.api.alison.legislature.state.al.us/graphql,,,,"Post Office Box 126,Morris, AL 35116",205-384-4357,,,,,,
ocd-person/84d43460-8578-4b85-b2ee-7f6849e270d8,Andrew Jones,Republican,10,upper,Andrew,Jones,,andrew.jones@alsenate.gov,,,,https://www.legislature.state.al.us/pdf/senate/members/Jones_10.png,http://www.legislature.state.al.us/aliswww/ISD/ALSenator.aspx?OID_SPONSOR=100453&OID_PERSON=8483;https://alison.legislature.state.al.us/senate-leaders-members,http://www.legislature.state.al.us/aliswww/ISD/ALSenator.aspx?OID_SPONSOR=100453&OID_PERSON=8483;http://www.legislature.state.al.us/aliswww/ISD/Senate/ALSenators.aspx;http://www.legislature.state.al.us/aliswww/ISD/ALSenator.aspx?NAME=Jones&OID_SPONSOR=100453&OID_PERSON=8483&SESSNAME=Regular%20Session%202022;https://gql.api.alison.legislature.state.al.us/graphql,,,,,,,,,,,
ocd-person/c128ed12-dd1b-4b5f-8c64-9d86bf9d6580,Andy Whitt,Republican,6,lower,Andy,Whitt,,andy.whitt@alhouse.gov,,,,https://phs4j.com/alison/imgs/house/Whitt_6.png,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100486&OID_PERSON=8490;https://alison.legislature.state.al.us/house-leaders-members,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100486&OID_PERSON=8490;http://www.legislature.state.al.us/aliswww/ISD/House/ALRepresentatives.aspx;http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?NAME=Whitt&OID_SPONSOR=100486&OID_PERSON=8490&SESSNAME=;https://gql.api.alison.legislature.state.al.us/graphql,,,,"Post Office Box 306,Harvest, AL 35749",256-539-5441,,,,,,
ocd-person/95f7541d-5429-41aa-85e5-7fc9cf33d688,Anthony Daniels,Democratic,53,lower,Anthony,Daniels,,anthony.daniels@alhouse.gov,,,,https://phs4j.com/alison/imgs/house/Daniels_53.png,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100534&OID_PERSON=7711;https://alison.legislature.state.al.us/house-leaders-members,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100534&OID_PERSON=7711;http://www.legislature.state.al.us/aliswww/ISD/House/ALRepresentatives.aspx;http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?NAME=Daniels&OID_SPONSOR=100534&OID_PERSON=7711&SESSNAME=;https://gql.api.alison.legislature.state.al.us/graphql,,,,"726 Madison Street,Huntsville, AL 35801",256-539-5441,,,,,,
ocd-person/15ebe01e-1447-4bdb-8dfb-e9d5948b872d,April Weaver,Republican,14,upper,April,Weaver,,april.weaver@alsenate.gov,,,,https://www.legislature.state.al.us/pdf/senate/members/Weaver_14.png,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100530&OID_PERSON=6684;http://www.legislature.state.al.us/aliswww/ISD/ALSenator.aspx?OID_SPONSOR=9100457&OID_PERSON=94459;https://alison.legislature.state.al.us/senate-leaders-members,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100530&OID_PERSON=6684;http://www.legislature.state.al.us/aliswww/ISD/House/ALRepresentatives.aspx;http://www.legislature.state.al.us/aliswww/ISD/ALSenator.aspx?OID_SPONSOR=9100457&OID_PERSON=94459;http://www.legislature.state.al.us/aliswww/ISD/ALSenator.aspx?NAME=Weaver&OID_SPONSOR=110577&OID_PERSON=6684&SESSNAME=Regular%20Session%202022;http://www.legislature.state.al.us/aliswww/ISD/Senate/ALSenators.aspx;http://www.legislature.state.al.us/aliswww/ISD/ALSenator.aspx?NAME=Weaver&OID_SPONSOR=110805&OID_PERSON=6684&SESSNAME=Regular%20Session%202022;https://gql.api.alison.legislature.state.al.us/graphql,,,,,,,,,,,
ocd-person/02655110-0839-4b2e-9f4b-b3a43788e275,Arnold Mooney,Republican,43,lower,Arnold,Mooney,,arnold.mooney@alhouse.gov,,,,https://www.legislature.state.al.us/pdf/house/members/Mooney_43.png,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100524&OID_PERSON=7699;https://alison.legislature.state.al.us/house-leaders-members,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100524&OID_PERSON=7699;http://www.legislature.state.al.us/aliswww/ISD/House/ALRepresentatives.aspx;http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?NAME=Mooney&OID_SPONSOR=100524&OID_PERSON=7699&SESSNAME=;https://gql.api.alison.legislature.state.al.us/graphql,,,,"1134 County Services Drive,Pelham, AL 35124",205-620-6610,,,,,,
ocd-person/b38546ec-f8fb-4e99-8e0c-46715b2e8578,Arthur Orr,Republican,3,upper,Arthur,Orr,,arthur.orr@alsenate.gov,,,,https://www.legislature.state.al.us/pdf/senate/members/Orr_3.png,http://www.legislature.state.al.us/aliswww/ISD/ALSenator.aspx?OID_SPONSOR=100446&OID_PERSON=5527;https://alison.legislature.state.al.us/senate-leaders-members,http://www.legislature.state.al.us/aliswww/ISD/ALSenator.aspx?OID_SPONSOR=100446&OID_PERSON=5527;http://www.legislature.state.al.us/aliswww/ISD/Senate/ALSenators.aspx;http://www.legislature.state.al.us/aliswww/ISD/ALSenator.aspx?NAME=Orr&OID_SPONSOR=100446&OID_PERSON=5527&SESSNAME=Regular%20Session%202022;https://gql.api.alison.legislature.state.al.us/graphql,,,,,,,,,,,
ocd-person/474c3552-b3cd-4015-ac15-3c6301a0ce0e,Artis 'A.J.' McCampbell,Democratic,71,lower,Artis 'A.J.',McCampbell,,acmc1@bellsouth.net,,,,https://phs4j.com/alison/imgs/house/McCampbell_71.png,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100553&OID_PERSON=5544;https://alison.legislature.state.al.us/house-leaders-members,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100553&OID_PERSON=5544;http://www.legislature.state.al.us/aliswww/ISD/House/ALRepresentatives.aspx;http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?NAME=McCampbell&OID_SPONSOR=100553&OID_PERSON=5544&SESSNAME=;https://gql.api.alison.legislature.state.al.us/graphql,,,,"Post Office Box 487,Demopolis, AL 36732",334-261-0580,,,,,,
