id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/7dff69f1-609b-4230-9937-b8bbc239f5b5,Aaron Pilkington,Republican,45,lower,Aaron,Pilkington,Male,aaron.pilkington@arkansashouse.org,,,,https://www.arkleg.state.ar.us/Content/photos/2023/House/533_sm.jpg,http://www.arkleg.state.ar.us/Legislators/Detail?member=Pilkington&ddBienniumSession=2019%2F2020F;https://www.arkleg.state.ar.us/Legislators/Detail?member=Pilkington&ddBienniumSession=2021%2F2021R,http://www.arkleg.state.ar.us/Legislators/Detail?member=Pilkington&ddBienniumSession=2019%2F2020F;https://www.arkleg.state.ar.us/Legislators/Detail?member=Pilkington&ddBienniumSession=2021%2F2021R;https://www.arkleg.state.ar.us/Legislators/Detail?member=Pilkington&ddBienniumSession=2021%2F2021S1;https://www.arkleg.state.ar.us/Legislators/List;https://www.arkleg.state.ar.us/Legislators/Detail?member=Pilkington&ddBienniumSession=2021%2F2022F;https://www.arkleg.state.ar.us/Legislators/List?sort=Type&by=desc&ddBienniumSession=2021%2F2021S1#SearchResults;https://www.arkleg.state.ar.us/Legislators/Detail?member=Pilkington&ddBienniumSession=2023%2F2023R;https://www.arkleg.state.ar.us/Legislators/List?sort=Type&by=desc&ddBienniumSession=2023%2F2023R#SearchResults,,,,"264 Private Road 2611, Knoxville, AR 72845",,,pilkingtonforar,Aaron Pilkington,ampilkington,PilkingtonforAR,
ocd-person/6448d3df-2802-44a1-a142-7c3cc136d0a5,Alan Clark,Republican,7,upper,Alan,Clark,Male,alan.clark@senate.ar.gov,,,,https://www.arkleg.state.ar.us/Content/photos/2023/Senate/401_sm.jpg,http://www.arkleg.state.ar.us/Legislators/Detail?member=A.+Clark&ddBienniumSession=2019%2F2020F;https://www.arkleg.state.ar.us/Legislators/Detail?member=A.+Clark&ddBienniumSession=2021%2F2021R;https://www.arkleg.state.ar.us/Legislators/Document?id=&filename=Senator+Clark+-+Senate+Bio.pdf&source=Member+Profiles&ddBienniumSession=2021;https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FAssembly%2F2023%2FMember%20Profiles%2FSenator+Clark+-+Senator+Bio.pdf;https://www.arkleg.state.ar.us/Home/FTPDocument?path=%2FAssembly%2F2023%2FMember%20Profiles%2FSenator+Clark+-+Senator+Bio.pdf,http://www.arkleg.state.ar.us/Legislators/Detail?member=A.+Clark&ddBienniumSession=2019%2F2020F;https://www.arkleg.state.ar.us/Legislators/Detail?member=A.+Clark&ddBienniumSession=2021%2F2021R;https://www.arkleg.state.ar.us/Legislators/Detail?member=A.+Clark&ddBienniumSession=2021%2F2021S1;https://www.arkleg.state.ar.us/Legislators/List?sort=Type&by=desc&ddBienniumSession=2021%2F2021S1#SearchResults;https://www.arkleg.state.ar.us/Legislators/Detail?member=A.+Clark&ddBienniumSession=2023%2F2023R;https://www.arkleg.state.ar.us/Legislators/List?sort=Type&by=desc&ddBienniumSession=2023%2F2023R#SearchResults,,,,"P.O. Box 211, Lonsdale, AR 72087",,,AlanClark4AR,,,SenatorAlanClark,
ocd-person/5143965d-c539-411e-8a15-74ebbcbb7cd7,Andrew Collins,Democratic,73,lower,Andrew,Collins,Male,andrew.collins@arkansashouse.org,,,,https://www.arkleg.state.ar.us/Content/photos/2023/House/566_sm.jpg,http://www.arkleg.state.ar.us/Legislators/Detail?member=A.+Collins&ddBienniumSession=2019%2F2020F;https://www.arkleg.state.ar.us/Legislators/Detail?member=A.+Collins&ddBienniumSession=2021%2F2021R,http://www.arkleg.state.ar.us/Legislators/Detail?member=A.+Collins&ddBienniumSession=2019%2F2020F;https://www.arkleg.state.ar.us/Legislators/Detail?member=A.+Collins&ddBienniumSession=2021%2F2021R;https://www.arkleg.state.ar.us/Legislators/Detail?member=A.+Collins&ddBienniumSession=2021%2F2021S1;https://www.arkleg.state.ar.us/Legislators/List?sort=Type&by=desc&ddBienniumSession=2021%2F2021S1#SearchResults;https://www.arkleg.state.ar.us/Legislators/Detail?member=A.+Collins&ddBienniumSession=2023%2F2023R;https://www.arkleg.state.ar.us/Legislators/List?sort=Type&by=desc&ddBienniumSession=2023%2F2023R#SearchResults,,,,"P.O. Box 21473, Little Rock, AR 72221",,,andrewcollinsAR,,andrewcollinsAR,andrewcollinsAR,
ocd-person/0e0e799b-70de-4472-b289-4a0c2aba3a26,Ashley Hudson,Democratic,75,lower,Ashley,Hudson,,ashley.hudson@arkansashouse.org,,,,https://www.arkleg.state.ar.us/Content/photos/2023/House/597_sm.jpg,,https://www.arkleg.state.ar.us/Legislators/Detail?member=Hudson&ddBienniumSession=2023%2F2023R;https://www.arkleg.state.ar.us/Legislators/List?sort=Type&by=desc&ddBienniumSession=2023%2F2023R#SearchResults,,,,"P.O. Box 241205, Little Rock, AR 72223",,,,,,,
ocd-person/30ea7268-a48a-424e-aadf-007b61874985,Austin McCollum,Republican,8,lower,Austin,McCollum,Male,austin.mccollum@arkansashouse.org,,,,https://www.arkleg.state.ar.us/Content/photos/2023/House/531_sm.jpg,http://www.arkleg.state.ar.us/Legislators/Detail?member=McCollum&ddBienniumSession=2019%2F2020F;https://www.arkleg.state.ar.us/Legislators/Detail?member=McCollum&ddBienniumSession=2021%2F2021R,http://www.arkleg.state.ar.us/Legislators/Detail?member=McCollum&ddBienniumSession=2019%2F2020F;https://www.arkleg.state.ar.us/Legislators/Detail?member=McCollum&ddBienniumSession=2021%2F2021R;https://www.arkleg.state.ar.us/Legislators/Detail?member=McCollum&ddBienniumSession=2021%2F2021S1;https://www.arkleg.state.ar.us/Legislators/List;https://www.arkleg.state.ar.us/Legislators/Detail?member=McCollum&ddBienniumSession=2021%2F2022F;https://www.arkleg.state.ar.us/Legislators/List?sort=Type&by=desc&ddBienniumSession=2021%2F2021S1#SearchResults;https://www.arkleg.state.ar.us/Legislators/Detail?member=McCollum&ddBienniumSession=2023%2F2023R;https://www.arkleg.state.ar.us/Legislators/List?sort=Type&by=desc&ddBienniumSession=2023%2F2023R#SearchResults,,,,"P.O. Box 1372, Bentonville, AR 72712",,,,,austinmcc13,McCollumForArkansas,
ocd-person/0dee8795-58dd-48a8-980e-044d8d2ac646,Bart Hester,Republican,33,upper,Bart,Hester,Male,bart.hester@senate.ar.gov,,,,https://www.arkleg.state.ar.us/Content/photos/2023/Senate/396_sm.jpg,http://www.arkleg.state.ar.us/Legislators/Detail?member=Hester&ddBienniumSession=2019%2F2020F;https://www.arkleg.state.ar.us/Legislators/Detail?member=Hester&ddBienniumSession=2021%2F2021R;https://www.arkleg.state.ar.us/Legislators/Document?id=&filename=Senator+Hester+-+Senate+Bio.pdf&source=Member+Profiles&ddBienniumSession=2021;https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FAssembly%2F2021%2FMember%20Profiles%2FSenator+Hester+-+Senate+Bio.pdf;https://www.arkleg.state.ar.us/Home/FTPDocument?path=%2FAssembly%2F2023%2FMember%20Profiles%2FSenator+Hester+-+Senator+Bio.pdf,http://www.arkleg.state.ar.us/Legislators/Detail?member=Hester&ddBienniumSession=2019%2F2020F;https://www.arkleg.state.ar.us/Legislators/Detail?member=Hester&ddBienniumSession=2021%2F2021R;https://www.arkleg.state.ar.us/Legislators/Detail?member=Hester&ddBienniumSession=2021%2F2021S1;https://www.arkleg.state.ar.us/Legislators/List?sort=Type&by=desc&ddBienniumSession=2021%2F2021S1#SearchResults;https://www.arkleg.state.ar.us/Legislators/Detail?member=Hester&ddBienniumSession=2023%2F2023R;https://www.arkleg.state.ar.us/Legislators/List?sort=Type&by=desc&ddBienniumSession=2023%2F2023R#SearchResults,,,,"P.O. Box 85, Cave Springs, AR 72718",479-531-4176,,barthester,,StateSenatorBartHester,BartHesterforStateSenate,
ocd-person/4f5cafe6-850c-42b3-8a75-cd13c8871baf,Bart Schulz,Republican,28,lower,Bart,Schulz,,bart.schulz@arkansashouse.org,,,,https://www.arkleg.state.ar.us/Content/photos/2023/House/614_sm.jpg,,https://www.arkleg.state.ar.us/Legislators/Detail?member=Schulz&ddBienniumSession=2023%2F2023R;https://www.arkleg.state.ar.us/Legislators/List?sort=Type&by=desc&ddBienniumSession=2023%2F2023R#SearchResults,,,,"95 Mt. Carmel Road, Cave City, AR 72521",,,,,,,
ocd-person/821d4077-0022-48a9-86b1-eb4d3bdef2e7,Ben Gilmore,Republican,1,upper,Ben,Gilmore,Male,ben.gilmore@senate.ar.gov,,,,https://www.arkleg.state.ar.us/Content/photos/2023/Senate/583_sm.jpg,https://www.arkleg.state.ar.us/Legislators/Detail?member=Gilmore&ddBienniumSession=2021%2F2021R;https://www.arkleg.state.ar.us/Legislators/Document?id=&filename=Senator+Gilmore+-+Sentor+Bio.pdf&source=Member+Profiles&ddBienniumSession=2021;https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FAssembly%2F2021%2FMember%20Profiles%2FSenator+Gilmore+-+Sentor+Bio.pdf;https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FAssembly%2F2023%2FMember%20Profiles%2FSenator+Gilmore+-+Senator+Bio.pdf;https://www.arkleg.state.ar.us/Home/FTPDocument?path=%2FAssembly%2F2023%2FMember%20Profiles%2FSenator+Gilmore+-+Senator+Bio.pdf,https://www.arkleg.state.ar.us/Legislators/Detail?member=Gilmore&ddBienniumSession=2021%2F2021R;https://www.arkleg.state.ar.us/Legislators/Detail?member=Gilmore&ddBienniumSession=2021%2F2021S1;https://www.arkleg.state.ar.us/Legislators/List?sort=Type&by=desc&ddBienniumSession=2021%2F2021S1#SearchResults;https://www.arkleg.state.ar.us/Legislators/Detail?member=Gilmore&ddBienniumSession=2023%2F2023R;https://www.arkleg.state.ar.us/Legislators/List?sort=Type&by=desc&ddBienniumSession=2023%2F2023R#SearchResults,,,,"Po Box 1197, Crossett, AR 71635",,,lbengilmore,,lbengilmore,Ben4StateSenate,
ocd-person/6bbe436a-67bc-4003-80eb-1ce79c52413f,Blake Johnson,Republican,21,upper,Blake,Johnson,Male,Blake.Johnson@senate.ar.gov,,,,https://www.arkleg.state.ar.us/Content/photos/2023/Senate/509_sm.jpg,http://www.arkleg.state.ar.us/Legislators/Detail?member=B.+Johnson&ddBienniumSession=2019%2F2020F;https://www.arkleg.state.ar.us/Legislators/Detail?member=B.+Johnson&ddBienniumSession=2021%2F2021R;https://www.arkleg.state.ar.us/Legislators/Document?id=&filename=Senator+Blake+Johnson++-+Senate+Bio.pdf&source=Member+Profiles&ddBienniumSession=2021;https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FAssembly%2F2021%2FMember%20Profiles%2FSenator+Blake+Johnson++-+Senate+Bio.pdf;https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FAssembly%2F2023%2FMember%20Profiles%2FSenator+Blake+Johnson+-+Senator+Bio.pdf;https://www.arkleg.state.ar.us/Home/FTPDocument?path=%2FAssembly%2F2023%2FMember%20Profiles%2FSenator+Blake+Johnson+-+Senator+Bio.pdf,http://www.arkleg.state.ar.us/Legislators/Detail?member=B.+Johnson&ddBienniumSession=2019%2F2020F;https://www.arkleg.state.ar.us/Legislators/Detail?member=B.+Johnson&ddBienniumSession=2021%2F2021R;https://www.arkleg.state.ar.us/Legislators/Detail?member=B.+Johnson&ddBienniumSession=2021%2F2021S1;https://www.arkleg.state.ar.us/Legislators/List?sort=Type&by=desc&ddBienniumSession=2021%2F2021S1#SearchResults;https://www.arkleg.state.ar.us/Legislators/Detail?member=B.+Johnson&ddBienniumSession=2023%2F2023R;https://www.arkleg.state.ar.us/Legislators/List?sort=Type&by=desc&ddBienniumSession=2023%2F2023R#SearchResults,,,,"P.O. Box 8, Corning, AR 72422",,,farmerblake20,,,BlakeJohnsonForStateSenate,
ocd-person/9bce7e7f-cd90-4b10-a557-c37d82923be2,Brandon Achor,Republican,71,lower,Brandon,Achor,,brandon.achor@arkansashouse.org,,,,https://www.arkleg.state.ar.us/Content/photos/2023/House/623_sm.jpg,,https://www.arkleg.state.ar.us/Legislators/Detail?member=Achor&ddBienniumSession=2023%2F2023R;https://www.arkleg.state.ar.us/Legislators/List?sort=Type&by=desc&ddBienniumSession=2023%2F2023R#SearchResults,,,,"P.O. Box 13736, Maumelle, AR 72113",,,,,,,
