id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/45c957a4-0017-4c0c-8650-393d656fc5a0,Alex Valdez,Democratic,5,lower,Alex,Valdez,Male,alex.valdez.house@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023a_valdez%2Calex.jpg?itok=YbQIc6VU,http://leg.colorado.gov/legislators/alex-valdez;http://leg.colorado.gov/legislators/alex-valdez,http://leg.colorado.gov/legislators/alex-valdez;http://leg.colorado.gov/legislators,,,,,,,,,,,
ocd-person/278f042b-4fe3-4325-ad59-bc240e4fda0c,Andrew Boesenecker,Democratic,53,lower,Andrew,Boesenecker,Male,andrew.boesenecker.house@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023a_boesenecker%2Candrew.jpg?itok=GfdvG571,http://leg.colorado.gov/legislators/andrew-boesenecker,http://leg.colorado.gov/legislators;http://leg.colorado.gov/legislators/andrew-boesenecker,,,,,,,,,,,
ocd-person/561892b1-c618-43cb-9767-9237514f0a92,Anthony Hartsook,Republican,44,lower,Anthony,Hartsook,,anthony.hartsook.house@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023a_hartsook%2Canthony.jpg?itok=PmSSnsrf,http://leg.colorado.gov/legislators/anthony-hartsook,http://leg.colorado.gov/legislators;http://leg.colorado.gov/legislators/anthony-hartsook,,,,,,,,,,,
ocd-person/6d1fcaf0-ed3d-4772-876f-09dc5e931556,Barbara Kirkmeyer,Republican,23,upper,Barbara,Kirkmeyer,Female,barbara.kirkmeyer.senate@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023a_kirkmeyer%2Cbarb-.jpg?itok=tF10frjf,http://leg.colorado.gov/legislators/barbara-kirkmeyer;http://leg.colorado.gov/legislators/barbara-kirkmeyer,http://leg.colorado.gov/legislators/barbara-kirkmeyer;http://leg.colorado.gov/legislators,,,,,,,,,,,
ocd-person/4ee693c2-1cdc-4631-a6e5-b541e7f9c797,Barbara McLachlan,Democratic,59,lower,Barbara,McLachlan,Female,barbara.mclachlan.house@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023a_mclachlan%2Cbarbara.jpg?itok=HQw0cJMb,http://leg.colorado.gov/legislators/barbara-mclachlan;http://leg.colorado.gov/legislators/barbara-mclachlan,http://leg.colorado.gov/legislators/barbara-mclachlan;http://leg.colorado.gov/legislators,,,,,,,,,,,
ocd-person/167975f6-bf0d-49ea-885c-baea0fc0e4cd,Bob Gardner,Republican,12,upper,Bob,Gardner,Male,bob.gardner.senate@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023a_gardner%2Cbob.jpg?itok=PmtB0ztC,http://leg.colorado.gov/legislators/bob-gardner;http://leg.colorado.gov/legislators/bob-gardner,http://leg.colorado.gov/legislators/bob-gardner;http://leg.colorado.gov/legislators,,,,,,,,,,,
ocd-person/ade56d2d-41d7-436d-b76b-85051f036c7a,Bob Marshall,Democratic,43,lower,Bob,Marshall,,bob.marshall.house@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023a_marshall%2C%20bob.jpg?itok=87prWN08,http://leg.colorado.gov/legislators/bob-marshall,http://leg.colorado.gov/legislators;http://leg.colorado.gov/legislators/bob-marshall,,,,,,,,,,,
ocd-person/5a396024-8dcf-438c-beca-a730e972d9d8,Brandi Bradley,Republican,39,lower,Brandi,Bradley,,brandi.bradley.house@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023a_bradley%2Cbrandi.jpg?itok=KZkmMYzT,http://leg.colorado.gov/legislators/brandi-bradley,http://leg.colorado.gov/legislators;http://leg.colorado.gov/legislators/brandi-bradley,,,,,,,,,,,
ocd-person/fa9b604d-5981-4de1-97bc-9400e03909c9,Brianna Titone,Democratic,27,lower,Brianna,Titone,Female,brianna.titone.house@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023a_titone%2Cbrianna.jpg?itok=UJ4f4bp5,http://leg.colorado.gov/legislators/brianna-titone;http://leg.colorado.gov/legislators/brianna-titone,http://leg.colorado.gov/legislators/brianna-titone;http://leg.colorado.gov/legislators,,,,,,,,,,,
ocd-person/2d0d060c-6d5f-45da-a069-fe2be14547eb,Byron Pelton,Republican,1,upper,Byron,Pelton,,byron.pelton.senate@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023a_pelton%2Cbyron-.jpg?itok=z6EiQUb2,http://leg.colorado.gov/legislators/byron-pelton,http://leg.colorado.gov/legislators;http://leg.colorado.gov/legislators/byron-pelton,,,,,,,,,,,
