id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/860fa95b-c737-43bd-948d-1dd6dc1b734e,Anita Bonds,Democratic,At-Large,legislature,Anita,Bonds,,abonds@dccouncil.gov,"""Anita Bonds is an At-Large member of the Council of the District of Columbia\
\ and is currently the Chairwoman of the Committee on Housing and Neighborhood Revitalization.\n\
Working to ensure that every District resident has a safe, sanitary, and affordable\
\ place to call home, Councilmember Bonds pushes policies that will expand tenants\u2019\
\ rights, increase opportunities for homeownership, preserve and increase the District\u2019\
s affordable housing stock, and put an end to the displacement of longtime Washingtonians.\n\
In addition to creating and preserving affordable housing, Councilmember Bonds has\
\ been vocal about the need to improve the District\u2019s public-school system,\
\ expand violence prevention initiatives, and promote the idea of \u201Cgood government.\u201D\
\ Councilmember Bonds is also deeply concerned about shielding senior citizens from\
\ physical and financial abuse and neglect and ensuring that they have the resources\
\ needed to age in place.\nTaking a strategic and results-oriented approach, Councilmember\
\ Bonds conducts rigorous oversights of the committees under her purview and has\
\ helped to direct hundreds of millions of dollars in funding to critical public\
\ programs and services that benefit residents of all socio-economic backgrounds.\n\
In all, she has authored, co-authored, and helped pass into law more than 150 pieces\
\ of legislation that helps to make the District of Columbia a safer, more equitable,\
\ and more vibrant place to live and do business.\nSome of her most recent legislation\
\ to pass into law includes the:\nOutside of the Council, Councilmember Bonds seeks\
\ opportunities to further her commitment to service and to improve the lives of\
\ others. She is a member of the National Conference of State Legislatures\u2019\
\ Task Force on State and Local Taxation (NCSL SALT), the Metropolitan Washington\
\ Council of Governments (COG), and a board member of the national Democratic Municipal\
\ Officials (DMO), and served as the Chair of the DC Democratic State Committee\
\ and was a member of the Executive Committee from 2006-2018. She has also worked\
\ on numerous campaigns to elect like-minded, high-profile Democratic candidates\
\ at the national, state, and municipal levels, and has served as a cabinet member\
\ in the administrations of Mayors Anthony Williams, Sharon Pratt, and Marion Barry.\n\
Councilmember Bonds attended the University of California Berkeley \u2014 where\
\ she was involved in the Free Speech Movement \u2014 is a mother of three, grandmother,\
\ and proud Washingtonian.""",,,https://dccouncil.gov/wp-content/uploads/2017/03/Anita-Bonds-Official-Portrait-Shot-002-75x75-c-default.jpg,https://dccouncil.us/council/anita-bonds/;https://dccouncil.us/council/anita-bonds/;https://dccouncil.gov/council/anita-bonds/,https://dccouncil.us/council/anita-bonds/;http://dccouncil.us/councilmembers/;https://dccouncil.us/councilmembers/;https://dccouncil.gov/council/anita-bonds/,,,,,,,AnitaBondsDC,,,anitabondsdc,
ocd-person/4e806a33-bba3-4484-95f8-d723769b99f1,Brianne K. Nadeau,Democratic,Ward 1,legislature,Brianne K.,Nadeau,,bnadeau@dccouncil.gov,"""Brianne Nadeau was elected to the Council of the District of Columbia\
\ on November 4, 2014. In her many years of service to the community, she has brought\
\ perspectives from a career that has spanned the non-profit, public and private\
\ sectors. As Councilmember, Brianne is committed to strengthening our schools,\
\ supporting small businesses, increasing affordable housing and public safety,\
\ and putting measures in place that allow for government transparency, effectiveness\
\ and the highest ethical standards.\nBrianne is a community activist at heart,\
\ and engages Ward 1 residents and businesses through civic organizations, volunteer\
\ opportunities in neighborhoods and schools, and through regular dialogue as part\
\ of her Brianne on Your Block and Community Conversations series.\nBrianne began\
\ her work in Ward 1 as a member of the Orange Hat Patrol, each week walking the\
\ beat with MPD officers and neighbors. From there she became involved with the\
\ Meridian Hill Neighborhood Association helping facilitate the neighborhood cleanup\
\ and bringing the voices of her neighbors into the discussion about local issues.\n\
In 2006, she was elected to the Advisory Neighborhood Commission (ANC). During her\
\ tenure on ANC1B, Brianne built a reputation for supporting small businesses, fostering\
\ cooperation between residents and business owners, fighting for the abatement\
\ of abandoned properties, advocating for pedestrian safety, and ensuring community\
\ concerns were taken seriously by developers.\nAfter completing two terms on the\
\ ANC, Brianne brought together residents and business owners to create the U Street\
\ Movie Series and then founded Sustainable U, a community-led initiative that sought\
\ to increase the availability of, and participation in sustainable living and working\
\ options in the 14th & U corridor.\nBrianne began her career at Hillel: The Foundation\
\ for Jewish Campus Life, where she trained student leaders and activists. She went\
\ on to serve as the press secretary and scheduler for Congressman John P. Sarbanes,\
\ (D-Md.) on Capitol Hill. Prior to serving on the council, Brianne was Vice President\
\ at Rabinowitz Communications providing strategic counsel to faith-based, Democratic\
\ and environmental non-profit organizations, and served as a board member of Jews\
\ United for Justice.\nBrianne earned an M.A. in Public Policy from American University\
\ where she concentrated her studies in the Women & Politics Institute. She earned\
\ a B.A. in Political Science from Boston College. While at Boston College, she\
\ worked to improve the local community with involvement in the Latinas y Ni\xF1\
os Center, a treatment program for women recovering from addiction, and participated\
\ in service missions to the Appalachia region, El Salvador, and Ukraine. She also\
\ studied in the Philippines and Italy.\nBrianne serves on the \n as Vice Chairperson\
\ of the \n and Vice Chairperson of the \n. She also represents the District on\
\ the \n and serves on three committees of the \n, the \n, the \n and the \n.\n\
Brianne grew up in Michigan, the oldest of three daughters, in a family with a deep\
\ commitment to civic and political activism. Having gone to public school from\
\ K-12, Brianne has focused much of her attention on improving the District\u2019\
s public schools. She was a Girl Scout for 13 years, earning the Scout\u2019s highest\
\ honor, the Gold Award. Brianne is a triathlete and a member of the DC Triathlon\
\ Club. She regularly invites constituents to join her on her morning training runs.\
\ She is an active member of her prayer community, DC Minyan.""",,,https://dccouncil.gov/wp-content/uploads/2017/03/Copy-of-IMG_0900_Fotor-scaled-75x75-c-default.jpg,https://dccouncil.us/council/brianne-nadeau/;https://dccouncil.us/council/brianne-nadeau/;https://dccouncil.gov/council/brianne-nadeau/,https://dccouncil.us/council/brianne-nadeau/;http://dccouncil.us/councilmembers/;https://dccouncil.us/councilmembers/;https://dccouncil.gov/council/brianne-nadeau/,,,,,,,BrianneKNadeau,,,brianneknadeau.,
ocd-person/bf329860-076e-4d14-bed2-969d0d13dfec,Brooke Pinto,Democratic,Ward 2,legislature,Brooke,Pinto,,bpinto@dccouncil.gov,"""Brooke Pinto was sworn in as Ward 2\u2019s Councilmember on June 27th,\
\ 2020 after winning the Special Election to fill the vacant seat. She is the first\
\ woman to hold this seat and the youngest DC Councilmember in history.\_\nBrooke\
\ previously served in the Office of the Attorney General as a tax attorney where\
\ she represented the Office of Tax and Revenue as her client. She then served as\
\ the Assistant Attorney General for Policy and Legislative Affairs, during which\
\ time she drafted and introduced legislation to the Council on issues such as hate\
\ crimes, small business protection, and workers rights. She also advocated for\
\ DC Statehood before the National Attorneys General Association and on Capitol\
\ Hill.\_ Prior to working in the DC government, Brooke worked in Senator Richard\
\ Blumenthal\u2019s (D-CT) office as a Health and Aging Fellow.\_\nBrooke earned\
\ her B.S. from Cornell University\u2019s School of Hotel Administration. She approaches\
\ her work as Ward 2\u2019s Councilmember from a customer service perspective and\
\ brings a deep appreciation for workers and the small business community.\_\_\n\
Brooke is also a graduate of Georgetown Law School.\_ She became involved in the\
\ Ward 2 and DC community as a law student through her work with the Washington\
\ Legal Clinic for the Homeless, which sparked her passion for addressing affordable\
\ housing issues.\nBrooke is focused on ensuring that the law \u2014 both as written\
\ and as enforced \u2014 is fair for everyone and is committed to helping our city\
\ recover from COVID-19 and taking up the call for greater justice and fairness\
\ among our city\u2019s residents.""",,,https://dccouncil.gov/wp-content/uploads/2020/06/cmbphs-scaled-75x75-c-default.jpg,https://dccouncil.us/council/ward-2-councilmember-brooke-pinto/;https://dccouncil.gov/council/ward-2-councilmember-brooke-pinto/,https://dccouncil.us/council/ward-2-councilmember-brooke-pinto/;https://dccouncil.us/councilmembers/;https://dccouncil.gov/council/ward-2-councilmember-brooke-pinto/,,,,,,,,,,,
ocd-person/ab8e39c8-583e-4e9d-b481-0f43c21318ba,Charles Allen,Democratic,Ward 6,legislature,Charles,Allen,,callen@dccouncil.gov,"""Charles Allen is focused on building a Ward 6 with great schools at every\
\ level and a neighborhood you can always call home.\nCharles Allen, his wife, Jordi\
\ Hutchinson, and their children, Cora Neal and Everett, live at 15th and D Streets,\
\ NE.\nFor over a decade, Charles has worked in Ward 6 neighborhoods, helping bring\
\ about school reforms, working with small businesses,\_and improving our community.\
\ His years of public service to Ward 6\_mean he knows and understands our neighborhood\
\ issues like no\_one else.\nWhat makes our neighborhoods so special is that people\
\ choose to\_make Ward 6 home, whether for five generations or just in the last\_\
five years \u2013 because our neighborhoods are an extension of our front\_steps.\
\ Ward 6 shares a vision of great schools we can walk to, thriving local\_businesses\
\ that know us by name, parks and playgrounds for our\_families, and safe streets\
\ for all. But we must ensure all our neighborhoods have these\_amenities, while\
\ protecting everyone\u2019s ability to live, work, and raise a\_family in our community.\n\
Charles began his career in the District as a graduate fellow with the\_federal\
\ Department of Health and Human Services, working on\_expanding community-based\
\ health options across the nation.\_ Charles quickly understood that to make true\
\ change he needed to\_return to his roots working at the local and community level,\
\ so he\_began his service to the District as policy director for the DC Primary\_\
Care Association, where he helped bring about legislative, budget,\_and policy changes\
\ that expanded health care options for almost\_every DC resident. Two of his signature\
\ efforts \u2013 bringing physicians,\_dentists, nurses and other healthcare providers\
\ to medically\_underserved communities and creating a District-owned captive\_\
insurance company to provide free and low-cost medical malpractice\_insurance to\
\ non-profit providers \u2013 remain a vital part of the city\u2019s\_health care\
\ safety net a decade after he helped create them.\nAt the same time, Charles helped\
\ found DC for Democracy and\_served as Chair of the organization to bring a needed\
\ voice for\_progressive priorities and social justice issues facing the city.\_\
\ These experiences led Charles to become an elected delegate for the\_District\
\ at the 2004 Democratic National Convention in Boston, elected President of the\
\ Ward 6 Democrats, and serve as Chief of Staff to\_then-Ward 6 Councilmember Tommy\
\ Wells.\nCharles is Chair of the Council\u2019s Committee on the Judiciary and\
\ Public Safety, and is a member of the Council\u2019s Committees on Education,\
\ Transportation and the Environment, and Business and Economic Development. \_\
He serves as Chair of the Metropolitan Washington Council of Governments\u2019 Transportation\
\ Planning Board\_and was named an\_Early Learning Fellow\_by the National Conference\
\ of State Legislatures. \_He also serves on the NCSL\u2019s standing committees\
\ on Education, Natural Resources & Infrastructure, and Law, Criminal Justice, &\
\ Public Safety.\nCharles graduated from Washington and Lee University and he holds\_\
a Master of Public Health from the University of Alabama at\_Birmingham.""",,,https://dccouncil.gov/wp-content/uploads/2017/06/C._Allen_small_1-75x75-c-default.jpg,https://dccouncil.us/council/councilmember-allen/;https://dccouncil.gov/council/councilmember-allen/,https://dccouncil.us/council/councilmember-allen/;https://dccouncil.us/councilmembers/;https://dccouncil.gov/council/councilmember-allen/,,,,,,,CMCharlesAllen,,,CMcharlesallen,
ocd-person/43dcb6c4-0eb1-48c7-965b-4979eb747b5b,Christina Henderson,Independent,At-Large,legislature,Christina,Henderson,,chenderson@dccouncil.gov,,,,https://dccouncil.gov/wp-content/uploads/2021/01/Headshot-Official-scaled-75x75-c-default.jpg,https://dccouncil.us/council/at-large-councilmember-christina-henderson/;https://dccouncil.us/council/at-large-councilmember-christina-henderson/;https://dccouncil.gov/council/at-large-councilmember-christina-henderson/,https://dccouncil.us/council/at-large-councilmember-christina-henderson/;http://dccouncil.us/councilmembers/;https://dccouncil.us/councilmembers/;https://dccouncil.gov/council/at-large-councilmember-christina-henderson/,,,,,,,CMCHenderson,,,christinahendersondc,
ocd-person/4fc6d65b-d6d2-46d7-bdea-48b5458576ab,Janeese Lewis George,Democratic,Ward 4,legislature,,,,jlewisgeorge@dccouncil.gov,,,,https://dccouncil.gov/wp-content/uploads/2021/01/0EB064A9-D1C7-4387-945B-4DDD13AF8415-75x75-c-default.jpeg,https://dccouncil.us/council/ward-4-councilmember-janeese-lewis-george/;https://dccouncil.gov/council/ward-4-councilmember-janeese-lewis-george/,https://dccouncil.us/council/ward-4-councilmember-janeese-lewis-george/;https://dccouncil.us/councilmembers/;https://dccouncil.gov/council/ward-4-councilmember-janeese-lewis-george/,,,,,,,,,,,
ocd-person/cc7796a1-6644-4bc1-a536-b9307e84b22f,Kenyan R. McDuffie,Independent,At-Large,legislature,Kenyan,McDuffie,,kmcduffie@dccouncil.gov,"""Kenyan R. McDuffie, Councilmember for Ward 5, was first elected to the\
\ Council of the District of Columbia in a 2012 special election. In November 2014,\
\ the voters of Ward 5 honored him by overwhelmingly re-electing him to his first\
\ full four-year term.\nIn his five years on the Council, Kenyan has established\
\ himself as a skilled legislator and coalition builder, including having been elected\
\ by his colleagues to serve as Chairman Pro Tempore since 2013. As a testament\
\ to his diligent work and preparation, more often than not the legislation Kenyan\
\ champions passes the Council unanimously.\nAs of January 2017, Councilmember Kenyan\
\ McDuffie serves as the Chairperson of the Committee on Business and Economic Development,\
\ which has oversight over 20 agencies and commissions, including the Deputy Mayor\
\ for Planning and Economic Development, Department of Small and Local Business,\
\ Alcoholic Beverage Regulation Administration, Public Service Commission and Office\
\ of the People\u2019s Counsel. As Chair of the Committee on Business and Economic\
\ Development Kenyan will work to ensure that the District economy continues to\
\ grow and that small and local businesses have a fair chance to take part in the\
\ District\u2019s economic growth.\nPreviously, Kenyan served as Chair of the Committee\
\ on the Judiciary. As Chair Kenyan oversaw sweeping updates to the District\u2019\
s criminal justice law. Kenyan successfully passed comprehensive juvenile justice\
\ reform that ended the use of solitary confinement, life sentences, and indiscriminate\
\ shackling of juveniles in court. Kenyan also oversaw the creation of the police\
\ body-worn camera program, including ensuring that there was a fair process for\
\ the video footage to be made public. Kenyan championed \u201CBan the Box\u201D\
\ legislation that bans the use of criminal background checks in housing as well\
\ as passing legislation to end the unfair use of credit history in hiring. Kenyan\
\ also passed the innovative Neighborhood Engagement Achieves Results Act (NEAR\
\ Act) which reforms the District\u2019s criminal justice system by incorporating\
\ behavioral and mental health professionals to perform tasks that previously fell\
\ to law enforcement officers.\nKenyan began his career in public service working\
\ for a member of the U.S. House of Representatives shortly after graduating summa\
\ cum laude from Howard University. He went on to receive his Juris Doctorate from\
\ the University of Maryland School of Law, where he served as an editor of the\
\ University of Maryland Law Journal of Race, Religion, Gender and Class.\nPrior\
\ to joining the Council, Kenyan worked extensively in the legal and public safety\
\ fields. He served as a law clerk for an Associate Judge on the 7th Judicial Circuit\
\ of Maryland and worked as an Assistant State\u2019s Attorney in Prince George\u2019\
s County, where he prosecuted misdemeanor and felony cases in District Court and\
\ on appeal in Circuit Court. Kenyan served as a trial attorney for the Civil Rights\
\ Division of the U.S. Department of Justice (\u201CDOJ\u201D), where he conducted\
\ investigations and managed complex cases throughout the United States regarding\
\ enforcement of key federal civil rights statutes, including defending the rights\
\ of the mentally ill. During his tenure at DOJ, he was also an integral team member\
\ on cases to reform the policies and procedures of police departments. More recently,\
\ he served as a policy advisor to the District of Columbia\u2019s Deputy Mayor\
\ for Public Safety and Justice.\nNationally, Kenyan has been featured on NewsOne\
\ Now with Roland Martin, MSNBC and National Public Radio. Kenyan and his wife,\
\ Princess, live in his childhood home in Ward 5 with their two young daughters,\
\ Kesi and Jozi.""",,,https://dccouncil.gov/wp-content/uploads/2017/03/At-Large-KRM-Headshot-scaled-75x75-c-default.jpg,http://dccouncil.us/council/kenyan-mcduffie/;https://dccouncil.us/council/kenyan-mcduffie/;https://dccouncil.gov/council/kenyan-mcduffie/,http://dccouncil.us/council/kenyan-mcduffie/;https://dccouncil.us/council/kenyan-mcduffie/;https://dccouncil.us/councilmembers/;https://dccouncil.gov/council/kenyan-mcduffie/,,,,,,,CM_McDuffie,,,KenyanRMcDuffie,
ocd-person/3451eb73-5042-4269-91b5-0287e527e72e,Matthew Frumin,Democratic,Ward 3,legislature,Matthew,Frumin,,mfrumin@dccouncil.gov,,,,https://dccouncil.gov/wp-content/uploads/2023/01/Headshot1-scaled-75x75-c-default.jpg,https://dccouncil.gov/council/ward-3-councilmember-matthew-frumin/,https://dccouncil.us/councilmembers/;https://dccouncil.gov/council/ward-3-councilmember-matthew-frumin/,,,,,,,CMFrumin,,,cmfrumin,
ocd-person/e3b9567d-67ff-4cc1-89eb-1ed1af646393,Phil Mendelson,Democratic,Chairman,legislature,Phil,Mendelson,,pmendelson@dccouncil.gov,"""Phil Mendelson was first elected to the Council in November 1998 as an\
\ At-Large Councilmember. He served the District in that role until June 2012 when,\
\ following the resignation of the previous Council Chairman, Phil was selected\
\ by his colleagues to take over that role. In November 2012, 2014 and 2018, District\
\ voters elected and re-elected Phil as Chairman of the Council.\nAs Chairman, Phil\
\ leads the Council on all legislative matters. Phil also presides over the Committee\
\ of the Whole which has purview over matters concerning the DC Auditor, the District\u2019\
s budget, the Department of Consumer and Regulatory Affairs, federal relations,\
\ planning and zoning, regional bodies (except WMATA and DC Water), the retirement\
\ system, statehood, and the University of the District of Columbia. The Committee\
\ shares jurisdiction over pre-k through 12 schooling with the Committee on Education.\n\
Prior to becoming Chairman, Phil served eight years chairing the Council\u2019s\
\ Committee on the Judiciary (2005-2012). In that role he was responsible for all\
\ legislation affecting criminal laws in the District, as well as oversight over\
\ the District\u2019s public safety agencies, including the Metropolitan Police\
\ Department, Fire & Emergency Medical Services, the Office of the Attorney General,\
\ the Department of Corrections, and the Office of the Medical Examiner.\nDuring\
\ his tenure on the Council, Phil has authored hundreds of laws. Major accomplishments\
\ include: establishing an elected attorney general and an independent Department\
\ of Forensic Science (the city\u2019s crime lab); authoring Budget Autonomy, the\
\ District\u2019s gun control laws (post-Heller), marriage equality, Universal Paid\
\ Leave, and the District\u2019s tree canopy protection law; recrafting Mayor Bowser\u2019\
s homeless shelter plan to close DC General, and Mayor Gray\u2019s plan to build\
\ the DC United Soccer Stadium; establishing the District\u2019s first renewable\
\ portfolio standard for electricity generation; coordinating an increase in the\
\ minimum wage with Montgomery and Prince Georges Counties; and implementing the\
\ recommendations of the 2012 Tax Revision Commission that has made the District\u2019\
s individual income tax one of the most progressive in the nation and reduced the\
\ business franchise tax by almost 20%.\nPhil has also been a regional leader, serving\
\ twice as Chairman and three times as President of the Metropolitan Washington\
\ Council of Governments (MWCOG). Four times he has chaired the National Capital\
\ Region Transportation Planning Board. He is also a Past President of the Association\
\ of Metropolitan Planning Organizations (AMPO).\nPhil believes that government\
\ should be an honest, efficient deliverer of services, and that the District should\
\ help those least able to help themselves to develop the skills to become self-sufficient\
\ and end the cycle of poverty. Phil also believes that government must accomplish\
\ this without increasing the tax burdens already shouldered by our middle-income\
\ residents. Throughout his years of public service, Phil has maintained that the\
\ District, as the nation\u2019s capital, should be a model of service delivery\
\ in public education, public safety, and public health.\nPhil has been an active\
\ participant in District politics since 1975, when he became an officer of the\
\ McLean Gardens Residents Association. In that role he was a large part of the\
\ effort to save that 43-acre housing complex from destruction. In 1979, Phil successfully\
\ ran for a seat on the Advisory Neighborhood Commission (ANC) and continued to\
\ serve as an ANC Commissioner until he took office as an At-Large Councilmember.\n\
Phil came to the District from Cleveland, Ohio in 1970 to obtain a Bachelor\u2019\
s Degree in Political Science from American University. He grew up in a family dedicated\
\ to public service. His mother was a national crusader for nursing home reform.\
\ His grandmother, who had been President of the Michigan State League of Women\
\ Voters, was appointed by President Roosevelt to the Federal Office of Price Administration,\
\ and was a founder of the Grand Rapids Urban League.\nPhil has a daughter, Adelaide,\
\ who recently graduated from DC Public Schools. He lives in Southeast DC.\nLegislative\
\ Accomplishments:\n\n*Elected Attorney General\n\n*City\u2019s crime lab\n\n*Budget\
\ Autonomy\n\n*District\u2019s gun control laws\n\n*Marriage equality\n\n*Universal\
\ Paid Leave\n\n*Recrafting the Mayor\u2019s homeless shelter plan to close DC General\n\
\n*Minimum wage\n\n*Tax reform""",,,https://dccouncil.gov/wp-content/uploads/2017/03/Photo-107-002-110x110-c-default.jpg,http://dccouncil.us/council/phil-mendelson/;https://dccouncil.us/council/phil-mendelson/;https://dccouncil.us/council/phil-mendelson/;https://dccouncil.gov/council/phil-mendelson/,http://dccouncil.us/council/phil-mendelson/;https://dccouncil.us/council/phil-mendelson/;http://dccouncil.us/councilmembers/;https://dccouncil.us/councilmembers/;https://dccouncil.gov/council/phil-mendelson/,,,,,,,ChmnMendelson,,,ChairmanPhilMendelson,
ocd-person/07b9c384-a232-40d5-b445-61db9e4bb65b,"Robert C. White, Jr.",Democratic,At-Large,legislature,,,,rwhite@dccouncil.gov,"""Robert C. White, Jr\n\_is an At-Large Member of the Council of the District\
\ of Columbia\_and is Chair of the Metropolitan Washington Council of Governments\
\ (COG) Board of Directors. Robert is proudly part of a historical COG Board, the\
\ first all African-American Board and all women Corporate Officers. He is also\
\ Chair of the Committee on Facilities and Procurement.\n\_\nRobert graduated from\
\ Archbishop Carroll High School and went on to attend St. Mary\u2019s College of\
\ Maryland, earning degrees in Philosophy and Political Science and completing additional\
\ studies at Oxford University in England and in The Gambia, West Africa. Robert\
\ earned his law degree from the American University Washington College of Law.\n\
Originally planning to spend his first years as an attorney in private practice,\
\ Robert clerked in the District Court for Montgomery County, Maryland to hone his\
\ legal skills. While there, Robert recognized the hard truth that some people were\
\ not getting a chance to join in DC\u2019s revival after decades of economic depression\
\ and high crime. Robert changed course, determined to use his skills to give back\
\ to his beloved home city through public service.\nIn 2008, Robert went to the\
\ United States Congress to serve as Legislative Counsel to Congresswoman Eleanor\
\ Holmes Norton. Robert served as a lead staffer on congressional oversight hearings\
\ related to D.C. and helped draft legislation to loosen Congress\u2019 grip on\
\ the D.C. government and to give greater autonomy and independence to D.C. residents.\n\
In 2014, Robert was tapped by Attorney General Karl A. Racine to serve as the first\
\ Director of Community Outreach for the D.C. Office of the Attorney General. There,\
\ Robert worked to design and execute a blueprint for community engagement with\
\ a focus on improving services and supports for to the city\u2019s most vulnerable\
\ residents.\nWith experience working in all three branches of government and for\
\ both federal and local government, Robert has a keen understanding of how government\
\ should function to serve its citizens.\nIn the community, Robert works hard as\
\ an advocate for strong communities and efficient government. He founded the Brightwood\
\ Park Citizens Association to unite and energize his neighborhood.\nRobert and\
\ his wife, Christy, an attorney with the U.S. Securities and Exchange Commission,\
\ reside in Ward 4 with their baby girls, Madison and Monroe, and rescue pit bull,\
\ Roscoe. They attend St. Martin\u2019s Catholic Church.\nA native Washingtonian,\
\ Robert was born to Wilson High School sweethearts, Robert White, Sr. and Tamara\
\ White (deceased), and has lived in Wards 4, 5, 6, and 7.\nRobert loves spending\
\ time with his family, reading, and riding his motorcycle.""",,,https://dccouncil.gov/wp-content/uploads/2017/06/CM-Robert-White-Headshot_Photo-credit-Sebastian-Vizcarra-scaled-75x75-c-default.jpg,https://dccouncil.us/council/councilmember-robert-c-white-jr/;https://dccouncil.gov/council/councilmember-robert-c-white-jr/,https://dccouncil.us/council/councilmember-robert-c-white-jr/;https://dccouncil.us/councilmembers/;https://dccouncil.gov/council/councilmember-robert-c-white-jr/,,,,,,,,,,,
