id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/c29c02a4-8429-4846-bc19-817f545f3935,Adam Zabner,Democratic,90,lower,Adam,Zabner,,adam.zabner@legis.iowa.gov,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=90&pid=33993,http://http://eepurl.com/ihe76H,https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=33993;https://www.legis.iowa.gov/legislators/house,,,,,,,,,,,
ocd-person/9788064e-fad9-4130-9084-69e829884d9c,Adrian Dickey,Republican,44,upper,Adrian,Dickey,Male,adrian.dickey@legis.iowa.gov,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=90&pid=31094,https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=31094;http://http://www.iowasenaterepublicans.com/senators/adrian-dickey/;http://http://www.iowasenaterepublicans.com/senators/adrian-dickey/,https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=31094;https://www.legis.iowa.gov/legislators/senate;https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=31094,,,,,,,,,,,
ocd-person/8db31cf2-7d0f-43dd-9245-2a298a5c9b37,Ako Abdul-Samad,Democratic,34,lower,Ako,Abdul-Samad,Male,ako.abdul-samad@legis.iowa.gov,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=90&pid=6284,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=6284;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=6284;http://eepurl.com/gXDK4D;http://http://citizensforako.com;http://http://eepurl.com/gXDK4D,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=6284;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=6284;https://www.legis.iowa.gov/legislators/house;https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=6284,,,,,,,,,,,
ocd-person/0ed1d7f1-1471-4055-b674-582bf19c28b3,Amy Nielsen,Democratic,85,lower,Amy,Nielsen,,amy.nielsen@legis.iowa.gov,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=90&pid=18050,http://http://eepurl.com/gXNTL1,https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=18050;https://www.legis.iowa.gov/legislators/house,,,,,,,,,,,
ocd-person/8e969687-4903-4f3c-a76f-2e35a2232d09,Amy Sinclair,Republican,12,upper,Amy,Sinclair,Female,amy.sinclair@legis.iowa.gov,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=90&pid=10729,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=10729;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=10729;https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=10729;http://www.iowasenaterepublicans.com/senators/amy-sinclair/;http://www.iowasenaterepublicans.com/senators/amy-sinclair/;http://http://www.iowasenaterepublicans.com/senators/amy-sinclair/;http://http://www.iowasenaterepublicans.com/senators/amy-sinclair/,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=10729;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=10729;https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=10729;https://www.legis.iowa.gov/legislators/senate,,,,"1255 King Rd, Allerton, IA 50008",,,,,,,
ocd-person/f8bf5332-b8b7-4d55-8652-e9b883cae35e,Ann Meyer,Republican,8,lower,Ann,Meyer,Female,ann.meyer@legis.iowa.gov,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=90&pid=27019,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=27019;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=27019;http://https://iowahouserepublicans.nationbuilder.com/reps;http://https://www.legis.iowa.gov/legislators/legislator/newsletter?id=27019&ga=90,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=27019;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=27019;https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=27019;https://www.legis.iowa.gov/legislators/house,,,,,,,,,,,
ocd-person/5afd80c1-3f96-4ccc-92b1-19bc26d72f4e,Anne Osmundson,Republican,64,lower,Anne,Osmundson,,anne.osmundson@legis.iowa.gov,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=90&pid=27029,http://https://iowahouserepublicans.nationbuilder.com/reps;http://https://iowa.us20.list-manage.com/subscribe?u=82adcd7732186b6e52ba50850&id=49cf8b4b46,https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=27029;https://www.legis.iowa.gov/legislators/house,,,,,,,,,,,
ocd-person/79eacd35-8caf-466e-b75f-0d878dcf5221,Annette Sweeney,Republican,27,upper,Annette,Sweeney,Female,annette.sweeney@legis.iowa.gov,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=90&pid=6585,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=6585;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=6585;http://www.iowasenaterepublicans.com/senators/annette-sweeney/;http://www.iowasenaterepublicans.com/senators/annette-sweeney/;http://http://www.iowasenaterepublicans.com/senators/annette-sweeney/;http://http://www.iowasenaterepublicans.com/senators/annette-sweeney/,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=6585;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=6585;https://www.legis.iowa.gov/legislators/senate;https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=6585,,,,,,,,,,,
ocd-person/57925a0b-3010-440d-a012-c8465535c13e,Art Staed,Democratic,80,lower,Art,Staed,Male,art.staed@legis.iowa.gov,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=90&pid=10743,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=10743;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=10743;http://eepurl.com/gXSMIH;http://http://eepurl.com/gXSMIH,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=10743;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=10743;https://www.legis.iowa.gov/legislators/house;https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=10743,,,,,,,,,,,
ocd-person/9aa42801-ba2e-4f2e-9448-cf5e6114fba7,Austin Baeth,Democratic,36,lower,Austin,Baeth,,austin.baeth@legis.iowa.gov,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=90&pid=33976,http://http://eepurl.com/ihfkvT,https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=33976;https://www.legis.iowa.gov/legislators/house,,,,,,,,,,,
ocd-person/3dea807e-b6b5-4531-a5d6-d51ae8811aca,Austin Harris,Republican,26,lower,Austin,Harris,,austin.harris@legis.iowa.gov,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=90&pid=33971,http://https://www.legis.iowa.gov/legislators/legislator/newsletter?id=33971&ga=90,https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=33971;https://www.legis.iowa.gov/legislators/house,,,,,,,,,,,
ocd-person/5aa1870f-0eb7-4a82-9788-7b159d28a287,Barb Kniff McCulla,Republican,37,lower,,,,barb.kniffmcculla@legis.iowa.gov,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=90&pid=33977,http://https://www.legis.iowa.gov/legislators/legislator/newsletter?id=33977&ga=90,https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=33977;https://www.legis.iowa.gov/legislators/house,,,,,,,,,,,
