id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/64c5be72-e09b-4b48-acb2-0db6349c796b,Abby Lee,Republican,9,upper,Abby,Lee,,ALee@senate.idaho.gov,,,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2023/directory/Lee3125.jpg,https://legislature.idaho.gov/legislators/membership/?yr=2021&district=9;https://legislature.idaho.gov/legislators/membership/?yr=2022&district=9;https://legislature.idaho.gov/legislators/membership/?yr=2023&district=9,https://legislature.idaho.gov/senate/membership/,,,,"5370 Elmore Rd, Fruitland, ID, 83619",208-332-1325,,,,,,
ocd-person/c77bc461-d0fe-47b4-8999-72e4eda69da1,Alison “Ali” Rabe,Democratic,16,upper,Ali,Rabe,,ARabe@senate.idaho.gov,,,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2023/directory/Rabe6687.jpg,https://legislature.idaho.gov/legislators/membership/?yr=2021&district=17;https://legislature.idaho.gov/legislators/membership/?yr=2023&district=16;https://legislature.idaho.gov/legislators/membership/?yr=2023&district=16,https://legislature.idaho.gov/senate/membership/;https://legislature.idaho.gov/senate/membership/,,,,"6161 West Plantation Lane, Boise, ID, 83703",208-283-4010,,,,,,
ocd-person/c8c374b3-22b8-4221-a65a-6a4616cb107d,Barbara Ehardt,Republican,33A,lower,Barbara,Ehardt,,BEhardt@house.idaho.gov,,,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2023/directory/Ehardt4945.jpg,https://legislature.idaho.gov/legislators/membership/?yr=2021&district=33;https://legislature.idaho.gov/legislators/membership/?yr=2022&district=33;https://legislature.idaho.gov/legislators/membership/?yr=2023&district=33,https://legislature.idaho.gov/house/membership/,,,,"961 J St, Idaho Falls, ID, 83402",208-332-1189,,,,,,
ocd-person/02a86541-b10a-42cc-b260-0d0f5e3226c0,Ben Adams,Republican,12,upper,Ben,Adams,,BAdams@senate.idaho.gov,,,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2023/directory/Adams6685.jpg,https://legislature.idaho.gov/legislators/membership/?yr=2021&district=13;https://legislature.idaho.gov/legislators/membership/?yr=2022&district=13;https://legislature.idaho.gov/legislators/membership/?yr=2023&district=12,https://legislature.idaho.gov/house/membership/;https://legislature.idaho.gov/senate/membership/,,,,"1921 Hoover St, Nampa, ID, 83686",208-546-9393,,,,,,
ocd-person/a0bec144-a980-4ce8-9e02-ada83079a300,Ben Toews,Republican,4,upper,Ben,Toews,,BToews@senate.idaho.gov,,,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2023/directory/Toews7795.jpg,https://legislature.idaho.gov/legislators/membership/?yr=2023&district=4,https://legislature.idaho.gov/senate/membership/,,,,"911 N 5th St, Coeur d’ Alene, ID, 83814",208-209-7791,,,,,,
ocd-person/59fc8cd0-bec0-4df6-a3e6-99ea305c7100,Brandon Mitchell,Republican,6B,lower,Brandon,Mitchell,,BMitchell@house.idaho.gov,,,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2023/directory/Mitchell6704.jpg,https://legislature.idaho.gov/legislators/membership/?yr=2021&district=5;https://legislature.idaho.gov/legislators/membership/?yr=2022&district=5;https://legislature.idaho.gov/legislators/membership/?yr=2023&district=6,https://legislature.idaho.gov/house/membership/,,,,"PO Box 8897, Moscow, ID, 83843",208-596-5001,,,,,,
ocd-person/81d4b890-9bf4-44e0-99b2-eda866f02d48,Brent J. Crane,Republican,13A,lower,Brent,Crane,,BCrane@house.idaho.gov,,,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2023/directory/Crane21.jpg,https://legislature.idaho.gov/legislators/membership/?yr=2021&district=13;https://legislature.idaho.gov/legislators/membership/?yr=2022&district=13;https://legislature.idaho.gov/legislators/membership/?yr=2023&district=13,https://legislature.idaho.gov/house/membership/,,,,"PO Box 86, Nampa, ID, 83653",,,,,,,
ocd-person/e89ea88e-7519-48fe-8cb9-65ea18d0dd7b,Brian Lenney,Republican,13,upper,Brian,Lenney,,BLenney@senate.idaho.gov,,,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2023/directory/Lenney7778.jpg,https://legislature.idaho.gov/legislators/membership/?yr=2023&district=13,https://legislature.idaho.gov/senate/membership/,,,,"PO Box 3753, Nampa, ID, 83653-3753",208-614-1289,,,,,,
ocd-person/df313cc3-ceb2-4fb0-bb36-b2f9cb9e959d,Britt Raybould,Republican,34B,lower,Britt,Raybould,,BRaybould@house.idaho.gov,,,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2023/directory/Raybould5381.jpg,https://legislature.idaho.gov/legislators/membership/?yr=2019&district=34;https://legislature.idaho.gov/legislators/membership/?yr=2023&district=34,https://legislature.idaho.gov/house/membership/,,,,"PO Box 653, Rexburg, ID, 83440",208-419-0768,,,,,,
ocd-person/50e557e4-e7b6-4765-a636-1638a675189c,Brooke Green,Democratic,18B,lower,Brooke,Green,,BGreen@house.idaho.gov,,,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2023/directory/Green5374.jpg,https://legislature.idaho.gov/legislators/membership/?yr=2021&district=18;https://legislature.idaho.gov/legislators/membership/?yr=2022&district=18;https://legislature.idaho.gov/legislators/membership/?yr=2023&district=18,https://legislature.idaho.gov/house/membership/,,,,"4936 E Woodcutter Drive, Boise, ID, 83706",208-332-1080,,,,,,
ocd-person/e8eea4c8-b669-4609-b991-13ef3a6ff10b,Bruce D. Skaug,Republican,10B,lower,Bruce,Skaug,,BSkaug@house.idaho.gov,,,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2023/directory/Skaug6708.jpg,https://legislature.idaho.gov/legislators/membership/?yr=2021&district=12;https://legislature.idaho.gov/legislators/membership/?yr=2022&district=12;https://legislature.idaho.gov/legislators/membership/?yr=2023&district=10,https://legislature.idaho.gov/house/membership/,,,,"1226 E Karcher Rd, Nampa, ID, 83687",208-466-0030,,,,,,
