id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/a76e0c0e-81d3-4f3b-8cc8-b8360d3cecb4,Aaron M. Ortiz,Democratic,1,lower,Aaron,Ortiz,Male,district@repaaronortiz.com,,,,https://ilga.gov/images/members/{D96B0DF9-0E06-487B-825C-AB0BE8C3CA1E}.jpg,http://ilga.gov/house/Rep.asp?GA=101&MemberID=2752;http://ilga.gov/house/Rep.asp?GA=102&MemberID=2953;https://ilga.gov/house/Rep.asp?GA=102&MemberID=2953;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3148,http://ilga.gov/house/default.asp?GA=101;http://ilga.gov/house/Rep.asp?GA=101&MemberID=2752;http://ilga.gov/house/default.asp?GA=102;http://ilga.gov/house/Rep.asp?GA=102&MemberID=2953;https://ilga.gov/house/default.asp?GA=102;https://ilga.gov/house/Rep.asp?GA=102&MemberID=2953;https://ilga.gov/house/default.asp?GA=103;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3148,,,,"4374 S. Archer Ave. Chicago, IL 60632",773-236-0117,,,,,,
ocd-person/4101db1f-a913-4d16-88fb-001f120bb092,Abdelnasser Rashid,Democratic,21,lower,Abdelnasser,Rashid,,office@reprashid.com,,,,https://ilga.gov/images/members/{48E00B1D-C5BE-4210-A9A8-F68739D935D6}.jpg,https://ilga.gov/house/Rep.asp?GA=103&MemberID=3229,https://ilga.gov/house/default.asp?GA=103;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3229,,,,"6901 W. Cermak Road Berwyn, IL 60402",708-956-7563,,,,,,
ocd-person/9729745e-386d-4f4b-8d04-0e762dcd87b2,Adam M. Niemerg,Republican,102,lower,Adam,Niemerg,Male,niemerg@ilhousegop.org,,,,https://ilga.gov/images/members/{EDDABDD8-51A3-413F-B2A0-FA5953D29598}.jpg,http://ilga.gov/house/Rep.asp?GA=102&MemberID=3001;https://ilga.gov/house/Rep.asp?GA=102&MemberID=3001;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3189,http://ilga.gov/house/default.asp?GA=102;http://ilga.gov/house/Rep.asp?GA=102&MemberID=3001;https://ilga.gov/house/default.asp?GA=102;https://ilga.gov/house/Rep.asp?GA=102&MemberID=3001;https://ilga.gov/house/default.asp?GA=103;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3189,,,,"107 E. Main Street, P.O. Box 7 Teutopolis, IL 62467",217-813-6036,,,,,,
ocd-person/e4e9607b-dd1b-4c3d-b3a3-f09927800864,Adriane Johnson,Democratic,30,upper,Adriane,Johnson,Female,,,,,https://ilga.gov/images/members/{991EBDF6-BC13-4260-A2B8-E10751629780}.jpg,http://ilga.gov/senate/Senator.asp?GA=102&MemberID=2980;https://ilga.gov/senate/Senator.asp?GA=102&MemberID=2980;https://ilga.gov/senate/Senator.asp?GA=103&MemberID=3170,http://ilga.gov/senate/default.asp?GA=102;http://ilga.gov/senate/Senator.asp?GA=102&MemberID=2980;https://ilga.gov/senate/default.asp?GA=102;https://ilga.gov/senate/Senator.asp?GA=102&MemberID=2980;https://ilga.gov/senate/default.asp?GA=103;https://ilga.gov/senate/Senator.asp?GA=103&MemberID=3170,,,,"Springfield, IL 62706 149 South Genesee Street Waukegan, IL 60085",847-672-6201,,,,,,
ocd-person/b13c7ff5-806e-426d-afd5-181f53e9fed1,Amy Elik,Republican,111,lower,Amy,Elik,Female,elik@ilhousegop.org,,,,https://ilga.gov/images/members/{D070CEE6-55DF-4D51-961B-CCA4A0E49A8C}.jpg,http://ilga.gov/house/Rep.asp?GA=102&MemberID=3002;https://ilga.gov/house/Rep.asp?GA=102&MemberID=3002;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3190,http://ilga.gov/house/default.asp?GA=102;http://ilga.gov/house/Rep.asp?GA=102&MemberID=3002;https://ilga.gov/house/default.asp?GA=102;https://ilga.gov/house/Rep.asp?GA=102&MemberID=3002;https://ilga.gov/house/default.asp?GA=103;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3190,,,,"192 Alton Square Mall Dr. Suite C Alton, IL 62002",618-433-8046,,,,,,
ocd-person/f8dc94db-66cf-4d5e-b1af-0b6307140524,Amy L. Grant,Republican,47,lower,Amy,Grant,,grant@ilhousegop.org,,,,https://ilga.gov/images/members/{41DCC207-977E-45DC-BD10-A8AFDCEB673E}.jpg,http://ilga.gov/house/Rep.asp?GA=101&MemberID=2754;http://ilga.gov/house/Rep.asp?GA=102&MemberID=2955;https://ilga.gov/house/Rep.asp?GA=102&MemberID=2955;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3150,http://ilga.gov/house/default.asp?GA=101;http://ilga.gov/house/Rep.asp?GA=101&MemberID=2754;http://ilga.gov/house/default.asp?GA=102;http://ilga.gov/house/Rep.asp?GA=102&MemberID=2955;https://ilga.gov/house/default.asp?GA=102;https://ilga.gov/house/Rep.asp?GA=102&MemberID=2955;https://ilga.gov/house/default.asp?GA=103;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3150,,,,"416 E. Roosevelt Road Suite 104 Wheaton, IL 60187",331-218-4182,,,,,,
ocd-person/9def23d3-81e9-4baf-b0c8-eeb4e5587778,Andrew S. Chesney,Republican,45,upper,Andrew,Chesney,Male,Chesney@ilhousegop.org,,,,https://ilga.gov/images/members/{D79AFB6D-F47C-47F7-988D-A3E99A0100E5}.jpg,https://ilga.gov/senate/Senator.asp?GA=103&MemberID=3215;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3157,https://ilga.gov/senate/default.asp?GA=103;https://ilga.gov/senate/Senator.asp?GA=103&MemberID=3215;https://ilga.gov/house/default.asp?GA=103;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3157,,,,"Springfield, IL 62706 50 West Douglas Street Stewart Center Suite 1001",815-232-0774,815-232-0777,,,,,
ocd-person/8b2bc102-d62b-47b2-91d8-5f9b3a172cea,Angelica Guerrero-Cuellar,Democratic,22,lower,Angelica,Guerrero-Cuellar,Female,angieguerrerocuellar22@gmail.com,,,,https://ilga.gov/images/members/{22FBB36E-8A65-4E83-81F1-A20247A6B8F2}.jpg,https://ilga.gov/house/Rep.asp?GA=102&MemberID=3011;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3199,https://ilga.gov/house/default.asp?GA=102;https://ilga.gov/house/Rep.asp?GA=102&MemberID=3011;https://ilga.gov/house/default.asp?GA=103;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3199,,,,"6500 South Pulaski Road Chicago, IL 60629",773-581-8000,,,,,,
ocd-person/aafd10ac-0d72-4892-b543-65926bb004fc,Ann Gillespie,Democratic,27,upper,Ann,Gillespie,Female,,,,,https://ilga.gov/images/members/{D11CC547-0960-44F1-80C9-99F8CE5D5479}.jpg,http://ilga.gov/senate/Senator.asp?GA=101&MemberID=2726;http://ilga.gov/senate/Senator.asp?GA=102&MemberID=2931;https://ilga.gov/senate/Senator.asp?GA=102&MemberID=2931;https://ilga.gov/senate/Senator.asp?GA=103&MemberID=3129,http://ilga.gov/senate/default.asp?GA=101;http://ilga.gov/senate/Senator.asp?GA=101&MemberID=2726;http://ilga.gov/senate/default.asp?GA=102;http://ilga.gov/senate/Senator.asp?GA=102&MemberID=2931;https://ilga.gov/senate/default.asp?GA=102;https://ilga.gov/senate/Senator.asp?GA=102&MemberID=2931;https://ilga.gov/senate/default.asp?GA=103;https://ilga.gov/senate/Senator.asp?GA=103&MemberID=3129,,,,"Springfield, IL 62706 171 W. Wing St. Suite 202",847-749-1880,,,,,,
ocd-person/02f2799d-4633-48e9-b5ab-379d48e70b40,Ann M. Williams,Democratic,11,lower,Ann,Williams,Female,ann@repannwilliams.com,,,,https://ilga.gov/images/members/{C45B418C-4848-4467-ADC2-739B2D1E4418}.jpg,http://ilga.gov/house/Rep.asp?GA=101&MemberID=2595;http://ilga.gov/house/Rep.asp?GA=102&MemberID=2837;https://ilga.gov/house/Rep.asp?GA=102&MemberID=2837;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3054,http://ilga.gov/house/default.asp?GA=101;http://ilga.gov/house/Rep.asp?GA=101&MemberID=2595;http://ilga.gov/house/default.asp?GA=102;http://ilga.gov/house/Rep.asp?GA=102&MemberID=2837;https://ilga.gov/house/default.asp?GA=102;https://ilga.gov/house/Rep.asp?GA=102&MemberID=2837;https://ilga.gov/house/default.asp?GA=103;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3054,,,,"1726 W. Belmont Chicago, IL 60657",773-880-9082,773-880-9083,,,,,
