id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/c1802270-0126-4be5-b7e7-1a9a472f5fd7,Adam Smith,Republican,120,lower,Adam,Smith,,Adam.Smith@house.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/rep_smith_adam_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_smith_adam_1/;http://www.kslegislature.org/li/b2021_22/members/rep_smith_adam_1/;http://www.kslegislature.org/li/b2023_24/members/rep_smith_adam_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_smith_adam_1;http://www.kslegislature.org/li/api/v11/rev-1/members/rep_smith_adam_1/,,,,,,,,,,,
ocd-person/2c46aedb-f7a4-4f9a-bade-5ae192acc2a3,Adam Thomas,Republican,26,lower,Adam,Thomas,,Adam.Thomas@house.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/rep_thomas_adam_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_thomas_adam_1/;http://www.kslegislature.org/li/b2021_22/members/rep_thomas_adam_1/;http://www.kslegislature.org/li/b2023_24/members/rep_thomas_adam_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_thomas_adam_1;http://www.kslegislature.org/li/api/v11/rev-1/members/rep_thomas_adam_1/,,,,,,,,,,,
ocd-person/d7dd1de1-73e2-438a-bf25-c70e12ede30d,Adam Turk,Republican,117,lower,Adam,Turk,,Adam.Turk@house.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/rep_turk_adam_1.jpg,http://www.kslegislature.org/li/b2023_24/members/rep_turk_adam_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_turk_adam_1/,,,,,,,,,,,
ocd-person/1b272330-b7d2-4d33-8828-2e45e68c7afa,Alicia Straub,Republican,33,upper,Alicia,Straub,,Alicia.Straub@senate.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/sen_straub_alicia_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_straub_alicia_1/;http://www.kslegislature.org/li/b2021_22/members/sen_straub_alicia_1/;http://www.kslegislature.org/li/b2023_24/members/sen_straub_alicia_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_straub_alicia_1;http://www.kslegislature.org/li/api/v11/rev-1/members/sen_straub_alicia_1;http://www.kslegislature.org/li/api/v11/rev-1/members/sen_straub_alicia_1/,,,,,,,,,,,
ocd-person/4fe036b2-a1f7-4c21-be47-a8f5f27260d8,Allison Hougland,Democratic,15,lower,Allison,Hougland,,Allison.Hougland@house.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/rep_hougland_allison_1.jpg,http://www.kslegislature.org/li/b2023_24/members/rep_hougland_allison_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_hougland_allison_1/,,,,,,,,,,,
ocd-person/a587476a-1201-4d9f-b8b7-ac6f74b3f6ce,Angela Martinez,Democratic,103,lower,Angela,Martinez,,Angela.Martinez@house.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/rep_martinez_angela_1.jpg,http://www.kslegislature.org/li/b2023_24/members/rep_martinez_angela_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_martinez_angela_1/,,,,,,,,,,,
ocd-person/4544fc4e-fff8-4bbe-bc29-4e28c6be3179,Avery Anderson,Republican,72,lower,Avery,Anderson,,Avery.Anderson@house.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/rep_anderson_avery_1.jpg,http://www.kslegislature.org/li/b2021_22/members/rep_anderson_avery_1/;http://www.kslegislature.org/li/b2023_24/members/rep_anderson_avery_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_anderson_avery_1;http://www.kslegislature.org/li/api/v11/rev-1/members/rep_anderson_avery_1/,,,,,,,,,,,
ocd-person/3bf41768-e1b5-4017-8ab5-8d1fb1d6521c,Barbara Ballard,Democratic,44,lower,Barbara,Ballard,,barbara.ballard@house.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/rep_ballard_barbara_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_ballard_barbara_1/;http://www.kslegislature.org/li/b2021_22/members/rep_ballard_barbara_1/;http://www.kslegislature.org/li/b2023_24/members/rep_ballard_barbara_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_ballard_barbara_1;http://www.kslegislature.org/li/api/v11/rev-1/members/rep_ballard_barbara_1/,,,,,,,,,,,
ocd-person/7aac5ab6-1590-4cfe-8c02-d61f292497c8,Barb Wasinger,Republican,111,lower,Barbara,Wasinger,,Barb.Wasinger@house.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/rep_wasinger_barbara_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_wasinger_barbara_1/;http://www.kslegislature.org/li/b2021_22/members/rep_wasinger_barbara_1/;http://www.kslegislature.org/li/b2023_24/members/rep_wasinger_barbara_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_wasinger_barbara_1;http://www.kslegislature.org/li/api/v11/rev-1/members/rep_wasinger_barbara_1/,,,,,,,,,,,
ocd-person/35630402-1f6a-4a3e-b6cf-48c1b93bd6ae,Beverly Gossage,Republican,9,upper,Beverly,Gossage,,Beverly.Gossage@senate.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/sen_gossage_beverly_1.jpg,http://www.kslegislature.org/li/b2021_22/members/sen_gossage_beverly_1/;http://www.kslegislature.org/li/b2023_24/members/sen_gossage_beverly_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/sen_gossage_beverly_1;http://www.kslegislature.org/li/api/v11/rev-1/members/sen_gossage_beverly_1/,,,,,,,,,,,
ocd-person/463dcd61-1bf6-4182-ae6f-a840e43ea7fe,Bill Clifford,Republican,122,lower,Bill,Clifford,,william.clifford@house.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/rep_clifford_bill_1.jpg,http://www.kslegislature.org/li/b2021_22/members/rep_clifford_bill_1/;http://www.kslegislature.org/li/b2023_24/members/rep_clifford_bill_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_clifford_bill_1/,,,,,,,,,,,
ocd-person/d01abc3e-cce3-450e-8d2c-41491b5bbde6,Bill Rhiley,Republican,80,lower,Bill,Rhiley,,Bill.Rhiley@house.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/rep_rhiley_bill_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_rhiley_bill_1/;http://www.kslegislature.org/li/b2021_22/members/rep_rhiley_bill_1/;http://www.kslegislature.org/li/b2023_24/members/rep_rhiley_bill_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_rhiley_bill_1;http://www.kslegislature.org/li/api/v11/rev-1/members/rep_rhiley_bill_1/,,,,,,,,,,,
ocd-person/dc23fc2c-0f64-4fab-96ec-951f0efbe7bb,Bill Sutton,Republican,43,lower,Bill,Sutton,,bill.sutton@house.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/rep_sutton_william_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_sutton_william_1/;http://www.kslegislature.org/li/b2021_22/members/rep_sutton_william_1/;http://www.kslegislature.org/li/b2023_24/members/rep_sutton_william_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_sutton_william_1;http://www.kslegislature.org/li/api/v11/rev-1/members/rep_sutton_william_1/,,,,,,,,,,,
ocd-person/38998536-e18f-44bb-8e80-01bfee04e991,Blake Carpenter,Republican,81,lower,Blake,Carpenter,,blake.carpenter@house.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/rep_carpenter_blake_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_carpenter_blake_1/;http://www.kslegislature.org/li/b2021_22/members/rep_carpenter_blake_1/;http://www.kslegislature.org/li/b2023_24/members/rep_carpenter_blake_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_carpenter_blake_1;http://www.kslegislature.org/li/api/v11/rev-1/members/rep_carpenter_blake_1/,,,,,,,,,,,
ocd-person/05ca3b77-c9d8-4d8e-92bf-603b2f71eda6,Bob Lewis,Republican,123,lower,Bob,Lewis,,Bob.Lewis@house.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/rep_lewis_bob_1.jpg,http://www.kslegislature.org/li/b2023_24/members/rep_lewis_bob_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_lewis_bob_1/,,,,,,,,,,,
ocd-person/4c1f4838-9142-4edc-b4f2-a44bb366c278,Brad Boyd,Democratic,49,lower,Brad,Boyd,,Brad.Boyd@house.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/rep_boyd_brad_1.jpg,http://www.kslegislature.org/li/b2023_24/members/rep_boyd_brad_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_boyd_brad_1/,,,,,,,,,,,
ocd-person/c56cf970-39c2-4821-8723-a85dfe09cd6b,Brandon Woodard,Democratic,108,lower,Brandon,Woodard,,Brandon.Woodard@house.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/rep_woodard_brandon_1.jpg,http://www.kslegislature.org/li/b2023_24/members/rep_woodard_brandon_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_woodard_brandon_1/,,,,,,,,,,,
ocd-person/57c530cc-4575-431e-9118-11f64fa3a573,Brenda Dietrich,Republican,20,upper,Brenda,Dietrich,,Brenda.Dietrich@senate.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/sen_dietrich_brenda_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_dietrich_brenda_1/;http://www.kslegislature.org/li/b2021_22/members/sen_dietrich_brenda_1/;http://www.kslegislature.org/li/b2023_24/members/sen_dietrich_brenda_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_dietrich_brenda_1;http://www.kslegislature.org/li/api/v11/rev-1/members/sen_dietrich_brenda_1;http://www.kslegislature.org/li/api/v11/rev-1/members/sen_dietrich_brenda_1/,,,,,,,,,,,
ocd-person/4f9fb266-2de1-4d94-948e-9e0255666c52,Brenda Landwehr,Republican,105,lower,Brenda,Landwehr,,brenda.landwehr@house.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/rep_landwehr_brenda_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_landwehr_brenda_1/;http://www.kslegislature.org/li/b2021_22/members/rep_landwehr_brenda_1/;http://www.kslegislature.org/li/b2023_24/members/rep_landwehr_brenda_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_landwehr_brenda_1;http://www.kslegislature.org/li/api/v11/rev-1/members/rep_landwehr_brenda_1/,,,,,,,,,,,
ocd-person/ca3f1bf6-44e0-4d67-b242-3cd29905723c,Brett Fairchild,Republican,113,lower,Brett,Fairchild,,brett.fairchild@house.ks.gov,,,,http://www.kslegislature.org/li/m/images/pics/rep_fairchild_brett_1.jpg,http://www.kslegislature.org/li/b2021_22/members/rep_fairchild_brett_1/;http://www.kslegislature.org/li/b2023_24/members/rep_fairchild_brett_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_fairchild_brett_1;http://www.kslegislature.org/li/api/v11/rev-1/members/rep_fairchild_brett_1/,,,,,,,,,,,
