id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/e7f7a316-4eb0-4be9-adf9-e7067b20dcfc,Adam Bowling,Republican,87,lower,Adam,Bowling,,Adam.Bowling@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house87.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=87;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=87,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=87;https://legislature.ky.gov/Legislators/house-of-representatives,,,,"702 Capital Ave Annex Room 416D Frankfort, KY 40601",,,ABowlingKY,,,,
ocd-person/dc7699cf-a38a-4669-8d33-915fc706b055,Adrienne Southworth,Republican,7,upper,Adrienne,Southworth,,Adrienne.Southworth@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/senate107.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=107;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=107,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=107;https://legislature.ky.gov/Legislators/senate,,,,"702 Capital Ave Annex Room 253 Frankfort, KY 40601",,,senate7ky,,,,
ocd-person/dfaa3769-decc-4c1c-9c0b-7195153ab6c8,Al Gentry,Democratic,46,lower,Al,Gentry,,Al.Gentry@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house46.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=46;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=46,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=46;https://legislature.ky.gov/Legislators/house-of-representatives,,,,"702 Capital Ave Annex Room 429G Frankfort, KY 40601",,,kyalgentry,,,,
ocd-person/7c03bd44-8541-49b0-9794-a9e606c292ce,Amanda Mays Bledsoe,Republican,12,upper,,,,amanda.maysbledsoe@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/senate112.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=112,https://legislature.ky.gov/Legislators/senate;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=112,,,,"702 Capital Ave Annex Room 203 Frankfort, KY 40601",,,amandambledsoe,,,,
ocd-person/f7bb262c-026f-4af2-9e17-939692c96e89,Amy Neighbors,Republican,21,lower,Amy,Neighbors,,amy.neighbors@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house21.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=21,https://legislature.ky.gov/Legislators/house-of-representatives;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=21,,,,"702 Capital Ave Annex Room 395 Frankfort, KY 40601",,,aneigh,,,,
ocd-person/6bc2a8c3-3370-4586-b0b7-a5028f336d12,Ashley Tackett Laferty,Democratic,95,lower,,,,Ashley.TackettLaferty@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house95.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=95;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=95,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=95;https://legislature.ky.gov/Legislators/house-of-representatives,,,,"702 Capital Ave Annex Room 460 Frankfort, KY 40601",,,,,,,
ocd-person/c8a9f2cf-9a79-45f6-94df-346b546e1d9b,Beverly Chester-Burton,Democratic,44,lower,Beverly,Chester-Burton,,beverly.chesterburton@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house44.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=44,https://legislature.ky.gov/Legislators/house-of-representatives;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=44,,,,"702 Capital Ave Annex Room 467 Frankfort, KY 40601",,,,,,,
ocd-person/91eec267-436a-49a5-9d41-b6b2632d0a51,Bill Wesley,Republican,91,lower,Bill,Wesley,,Bill.Wesley@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house91.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=91;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=91,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=91;https://legislature.ky.gov/Legislators/house-of-representatives,,,,"702 Capital Ave Annex Room 413D Frankfort, KY 40601",,,,,,,
ocd-person/22e056d2-728a-425a-a0a1-19e0e5cc59cb,Bobby McCool,Republican,97,lower,Bobby,McCool,,Bobby.McCool@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house97.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=97;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=97,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=97;https://legislature.ky.gov/Legislators/house-of-representatives,,,,"702 Capital Ave Annex Room 357E Frankfort, KY 40601",,,,,,,
ocd-person/814b090c-4339-41fa-a869-975391d3bc82,Brandon Reed,Republican,24,lower,Brandon,Reed,,Brandon.Reed@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house24.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=24;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=24,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=24;https://legislature.ky.gov/Legislators/house-of-representatives,,,,"702 Capital Ave Annex Room 392 Frankfort, KY 40601",,,brandonreed4ky,,,,
ocd-person/209d5334-d4a2-45f3-b910-0cd52f96dd4e,Brandon Smith,Republican,30,upper,Brandon,Smith,,Brandon.Smith@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/senate130.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=130;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=130,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=130;https://legislature.ky.gov/Legislators/senate,,,,"702 Capital Ave Annex Room 281 Frankfort, KY 40601",606-436-4526,,Smithkysenate,,,,
ocd-person/257271f3-68b1-4481-94e5-f98300493413,Brandon J. Storm,Republican,21,upper,Brandon,Storm,,Brandon.Storm@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/senate121.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=121;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=121,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=121;https://legislature.ky.gov/Legislators/senate,,,,"702 Capital Ave Annex Room 204 Frankfort, KY 40601",,,,,,,
ocd-person/70d58905-dd36-4e9a-b281-639600e6b945,Candy Massaroni,Republican,50,lower,Candy,Massaroni,,candy.massaroni@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house50.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=50,https://legislature.ky.gov/Legislators/house-of-representatives;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=50,,,,"702 Capital Ave Annex Room 413H Frankfort, KY 40601",,,,,,,
ocd-person/8dbecabb-ef15-4925-8e50-26331e738a05,Cassie Chambers Armstrong,Democratic,19,upper,Cassie,Chambers Armstrong,,Cassie.Armstrong@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/senate119.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=119,https://legislature.ky.gov/Legislators/senate;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=119,,,,,,,cassieforky,,,,
ocd-person/51dc7033-7377-44d4-a5d8-7bd36b371896,Chad Aull,Democratic,79,lower,Chad,Aull,,chad.aull@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house79.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=79,https://legislature.ky.gov/Legislators/house-of-representatives;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=79,,,,"702 Capital Ave Annex Room 457E Frankfort, KY 40601",,,chadaull,,,,
ocd-person/21df94f4-75d3-45c3-a9bf-224a8278675b,Cherlynn Stevenson,Democratic,88,lower,Cherlynn,Stevenson,,Cherlynn.Stevenson@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house88.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=88;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=88,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=88;https://legislature.ky.gov/Legislators/house-of-representatives,,,,"702 Capital Ave Annex Room 467 Frankfort, KY 40601",,,CherlynnForKy,,,,
ocd-person/db36edd8-6c2f-4441-aa30-5b4dc48b3357,Chris Freeland,Republican,6,lower,Chris,Freeland,,Chris.Freeland@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house6.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=6;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=6,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=6;https://legislature.ky.gov/Legislators/house-of-representatives,,,,"702 Capital Ave Annex Room 373C Frankfort, KY 40601",,,,,,,
ocd-person/6843e90b-a30a-4dbf-885c-7321ccc8f73f,Chris Fugate,Republican,84,lower,Chris,Fugate,,Chris.Fugate@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house84.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=84;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=84,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=84;https://legislature.ky.gov/Legislators/house-of-representatives,,,,"702 Capital Ave Annex Room 376 Frankfort, KY 40601",606-233-5660,,,,,,
ocd-person/b32a95c9-42ba-449b-8581-97b9cef73c6a,Christian McDaniel,Republican,23,upper,Christian,McDaniel,,Chris.McDaniel@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/senate123.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=123;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=123,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=123;https://legislature.ky.gov/Legislators/senate,,,,"702 Capital Ave Annex Room 203 Frankfort, KY 40601",,,kychrismcdaniel,,,,
ocd-person/ed9307f1-cd95-4004-9e72-46970ea64adf,DJ Johnson,Republican,13,lower,DJ,Johnson,,DJ.Johnson@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house13.jpg,http://www.lrc.ky.gov/legislator/H013.htm;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=13;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=13,http://www.lrc.ky.gov/legislator/H013.htm;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=13;https://legislature.ky.gov/Legislators/house-of-representatives,,,,"702 Capital Ave Annex Room 351C Frankfort, KY 40601",,,,,,,
ocd-person/bb250cb3-f9ac-4d33-bdde-36c4e3bca9d4,Damon Thayer,Republican,17,upper,Damon,Thayer,,Damon.Thayer@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/senate117.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=117;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=117,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=117;https://legislature.ky.gov/Legislators/senate,,,,"702 Capital Ave Annex Room 242 Frankfort, KY 40601",,,damon_thayer,,,,
ocd-person/d93e2493-49a8-4395-b7e0-5842893344e1,Daniel Elliott,Republican,54,lower,Daniel,Elliott,,Daniel.Elliott@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house54.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=54;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=54,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=54;https://legislature.ky.gov/Legislators/house-of-representatives,,,,"702 Capital Ave Annex Room 357B Frankfort, KY 40601",,,,,,,
ocd-person/c88c6162-de24-4d8b-98a9-f1788390d043,Daniel Fister,Republican,56,lower,Daniel,Fister,,Daniel.Fister@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house56.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=56;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=56,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=56;https://legislature.ky.gov/Legislators/house-of-representatives,,,,"702 Capital Ave Annex Room 424D Frankfort, KY 40601",,,,,,,
ocd-person/d4dd968d-1508-476b-bde1-7504a47288f0,Daniel Grossberg,Democratic,30,lower,Daniel,Grossberg,,daniel.grossberg@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house30.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=30,https://legislature.ky.gov/Legislators/house-of-representatives;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=30,,,,"702 Capital Ave Annex Room 429C Frankfort, KY 40601",,,Grossberg4KY,,,,
ocd-person/f56d6e0d-20b2-4cf4-aa7a-fd1d5c591d60,Danny Bentley,Republican,98,lower,Danny,Bentley,,Danny.Bentley@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house98.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=98;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=98,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=98;https://legislature.ky.gov/Legislators/house-of-representatives,,,,"702 Capital Ave Annex Room 367C Frankfort, KY 40601",,,drdanbentley,,,,
ocd-person/0ec7d376-4235-44e7-a6d7-d63962dff167,Danny Carroll,Republican,2,upper,Danny,Carroll,,Danny.Carroll@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/senate102.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=102;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=102,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=102;https://legislature.ky.gov/Legislators/senate,,,,"702 Capital Ave Annex Room 228 Frankfort, KY 40601",,,dannycarrollky,,,,
ocd-person/ebd5f90d-e3cc-45ef-97ff-d51ff1685bcc,David Hale,Republican,74,lower,David,Hale,,David.Hale@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house74.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=74;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=74,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=74;https://legislature.ky.gov/Legislators/house-of-representatives,,,,"702 Capital Ave Annex Room 405E Frankfort, KY 40601",,,,,,,
ocd-person/3643503c-1da8-4a57-90f1-54f063b1d25e,David Meade,Republican,80,lower,David,Meade,,David.Meade@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house80.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=80;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=80,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=80;https://legislature.ky.gov/Legislators/house-of-representatives,,,,"702 Capital Ave Annex Room 332C Frankfort, KY 40601",,,DavidMeadeKY,,,,
ocd-person/bf8bfdc3-66f2-417c-8178-9ed16bf8843f,David W. Osborne,Republican,59,lower,David,Osborne,,David.Osborne@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house59.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=59;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=59,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=59;https://legislature.ky.gov/Legislators/house-of-representatives,,,,"702 Capital Ave Annex Room 332 Frankfort, KY 40601",,,reposborne,,,,
ocd-person/5594a97f-7358-427e-af84-43150a21c97e,David P. Givens,Republican,9,upper,David P.,Givens,,David.Givens@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/senate109.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=109;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=109,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=109;https://legislature.ky.gov/Legislators/senate,,,,"702 Capital Ave Annex Room 236 Frankfort, KY 40601",,,kydavidgivens,,,,
ocd-person/77ce8a4c-90d4-4e54-b1da-ef6796aa71b5,David Yates,Democratic,37,upper,David,Yates,,David.Yates@lrc.ky.gov,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/senate137.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=137;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=137,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=137;https://legislature.ky.gov/Legislators/senate,,,,"702 Capital Ave Annex Room 254 Frankfort, KY 40601",,,DavidYates37,,,,
