id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/5037901c-64bd-472c-a440-a440841cbb13,Aaron M. Kaufman,Democratic,18,lower,,,,aaron.kaufman@house.state.md.us,,,,http://mgaleg.maryland.gov/2023RS/images/kaufman01.jpg,http://mgaleg.maryland.gov/mgawebsite/Members/Details/kaufman01,http://mgaleg.maryland.gov/mgawebsite/Members/Details/kaufman01,,,,,,,,,,,
ocd-person/a1a2b050-266e-4d44-9463-be3a02e16e41,Adrian Boafo,Democratic,23,lower,Adrian,Boafo,,adrian.boafo@house.state.md.us,,,,http://mgaleg.maryland.gov/2023RS/images/boafo01.jpg,http://mgaleg.maryland.gov/mgawebsite/Members/Details/boafo01,http://mgaleg.maryland.gov/mgawebsite/Members/Details/boafo01,,,,,,,,,,,
ocd-person/4bf0680f-fd5c-48a1-b6d3-73672f71048a,Adrienne A. Jones,Democratic,10,lower,Adrienne,Jones,Female,adrienne.jones@house.state.md.us,,,,http://mgaleg.maryland.gov/2023RS/images/jones.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=jones&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/jones,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=jones&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/jones,,,,,,,,,,,
ocd-person/311ecab9-74b4-4c0f-849b-c077dfbb291f,Aletheia McCaskill,Democratic,44B,lower,Aletheia,McCaskill,,aletheia.mccaskill@house.state.md.us,,,,http://mgaleg.maryland.gov/2023RS/images/mccaskill01.jpg,http://mgaleg.maryland.gov/mgawebsite/Members/Details/mccaskill01,http://mgaleg.maryland.gov/mgawebsite/Members/Details/mccaskill01,,,,,,,,,,,
ocd-person/0ddc9257-e4a4-4414-b21d-3467c8285806,Alonzo T. Washington,Democratic,22,upper,Alonzo,Washington,Male,alonzo.washington@senate.state.md.us,,,,http://mgaleg.maryland.gov/2023RS/images/washington02.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=washington%20a&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/washington%20a;http://mgaleg.maryland.gov/mgawebsite/Members/Details/washington02,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=washington%20a&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/washington%20a;http://mgaleg.maryland.gov/mgawebsite/Members/Details/washington02,,,,,,,,,,,
ocd-person/ecb19095-2750-4bef-bb87-1f646818a9b1,"Andre V. Johnson, Jr.",Democratic,34A,lower,,,,andre.johnson@house.state.md.us,,,,http://mgaleg.maryland.gov/2023RS/images/johnson02.jpg,http://mgaleg.maryland.gov/mgawebsite/Members/Details/johnson02,http://mgaleg.maryland.gov/mgawebsite/Members/Details/johnson02,,,,,,,,,,,
ocd-person/7636786f-1db3-4094-8527-e339576314d6,Andrea Fletcher Harrison,Democratic,24,lower,Andrea,Harrison,Female,andreafletcher.harrison@house.state.md.us,,,,http://mgaleg.maryland.gov/2023RS/images/harrison01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=harrison01&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/harrison01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=harrison01&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/harrison01,,,,,,,,,,,
ocd-person/7c57193f-f7af-4f7b-9b5f-cf17a7f51f25,Andrew C. Pruski,Democratic,33A,lower,,,,andrew.pruski@house.state.md.us,,,,http://mgaleg.maryland.gov/2023RS/images/pruski01.jpg,http://mgaleg.maryland.gov/mgawebsite/Members/Details/pruski01,http://mgaleg.maryland.gov/mgawebsite/Members/Details/pruski01,,,,,,,,,,,
ocd-person/7bcb723d-68c2-4826-acab-0437aa27471f,Anne Healey,Democratic,22,lower,Anne,Healey,Female,anne.healey@house.state.md.us,,,,http://mgaleg.maryland.gov/2023RS/images/healey.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=healey&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/healey,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=healey&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/healey,,,,,,,,,,,
ocd-person/88aa2d42-9bca-4df7-b961-1516d5c1f73a,Anne R. Kaiser,Democratic,14,lower,Anne,Kaiser,Female,anne.kaiser@house.state.md.us,,,,http://mgaleg.maryland.gov/2023RS/images/kaiser.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kaiser&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/kaiser,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kaiser&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/kaiser,,,,,,,,,,,
