id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/513edd6e-0d85-4ad6-8852-577cd5c0ee02,Abigail W. Griffin,Republican,34,lower,Abigail,Griffin,,Abigail.Griffin@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/fa129957-8083-482b-93f5-318d0cfc0718_griffin.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/1369;https://legislature.maine.gov/house/house/MemberProfiles/Details/1369,https://legislature.maine.gov/house/house/MemberProfiles/Details/1369;https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha,,,,"1 Raymond Nelson Lane, Levant, ME 04456",,,,,,,
ocd-person/dff0e200-fd8c-4ada-ac3d-e014a529dd59,Adam R. Lee,Democratic,89,lower,,,,Adam.Lee@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/cc770c67-4f1f-4e24-a168-4a359d33b108_ALEE.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/1491,https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha;https://legislature.maine.gov/house/house/MemberProfiles/Details/1491,,,,"87 Western Promenade, Auburn, ME 04210",,,,,,,
ocd-person/82b51bea-5f96-46d6-bbcf-4d973f701b27,Allison Hepler,Democratic,49,lower,Allison,Hepler,,Allison.Hepler@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/a75da791-060e-45cd-b1bd-95bc7c00c6e8_hepler.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/1353;https://legislature.maine.gov/house/house/MemberProfiles/Details/1353,https://legislature.maine.gov/house/house/MemberProfiles/Details/1353;https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha,,,,"417 Montsweag Road, Woolwich, ME 04579",207-442-0754,,,,,,
ocd-person/1e7a6a8f-7160-4bee-80d1-b1dc47b3db4f,Amanda N. Collamore,Republican,68,lower,Amanda,Collamore,,Amanda.Collamore@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/24f65326-81e9-48f3-a7cc-a5dc8e7d74e6_Collamore.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/1432;https://legislature.maine.gov/house/house/MemberProfiles/Details/1432,https://legislature.maine.gov/house/house/MemberProfiles/Details/1432;https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha,,,,"173 Library Street, Pittsfield, ME 04967",,,,,,,
ocd-person/8f61f208-cf99-489a-aa36-847438b0ed60,Ambureen Rana,Democratic,21,lower,Ambureen,Rana,,Ambureen.Rana@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/1f89f046-4256-4341-9236-68c67e6efd77_ARANA.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/1464,https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha;https://legislature.maine.gov/house/house/MemberProfiles/Details/1464,,,,"124 West Broadway, Bangor, ME 04401",,,,,,,
ocd-person/20082672-8aa7-4d49-bad7-fe5a92d1720d,Amy Bradstreet Arata,Republican,104,lower,Amy,Arata,,Amy.Arata@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/73657768-20f5-4692-8934-16f6b9a3cacd_arata.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/1356;https://legislature.maine.gov/house/house/MemberProfiles/Details/1356,https://legislature.maine.gov/house/house/MemberProfiles/Details/1356;https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha,,,,"P.O. Box 2, New Gloucester, ME 04260",207-333-1817,,,,,,
ocd-person/d9825f86-280b-4b70-9a6e-2bb7f02e239a,Amy D. Kuhn,Democratic,111,lower,,,,Amy.Kuhn@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/a99f9866-50ae-4e3a-8eee-10a3e0d00dce_AKUHN.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/1474,https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha;https://legislature.maine.gov/house/house/MemberProfiles/Details/1474,,,,"20 Old Powerhouse Road, Falmouth, ME 04105",,,,,,,
ocd-person/42c79801-802e-4f3d-8917-f3f956766e50,Amy J. Roeder,Democratic,23,lower,Amy,Roeder,,Amy.Roeder@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/3265b5dc-e744-46e5-8ff5-317b5e4842ae_RoederNEW.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/1437;https://legislature.maine.gov/house/house/MemberProfiles/Details/1437,https://legislature.maine.gov/house/house/MemberProfiles/Details/1437;https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha,,,,"46 Blackstone Street, Bangor, ME 04401",207-370-5517,,,,,,
ocd-person/8646c09c-1d84-4065-bcf2-8be6a8baf494,Ann Fredericks,Republican,143,lower,Ann,Fredericks,,AnnMarie.Fredericks@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/d04ae08f-1582-4de6-a34e-bdd72386622e_FREDRICKS.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/1468,https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha;https://legislature.maine.gov/house/house/MemberProfiles/Details/1468,,,,"1603 Main St. , Sanford, ME 04073",,,,,,,
ocd-person/187c138c-d84d-4813-884e-553b8a9354f1,Ann Higgins Matlack,Democratic,43,lower,Ann,Matlack,,Ann.Matlack@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/e8bdda16-c44f-4ced-9b15-4a11e3496fa9_Matlack.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/1364;https://legislature.maine.gov/house/house/MemberProfiles/Details/1364,https://legislature.maine.gov/house/house/MemberProfiles/Details/1364;https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha,,,,"130 Scraggle Point Road, Spruce Head, ME 04859",207-594-4831,,,,,,
ocd-person/db11e611-94a4-4451-8486-f941a532789d,Anne Beebe-Center,Democratic,12,upper,Anne,Beebe-Center,,Anne.Beebe-Center@legislature.maine.gov,,,,https://legislature.maine.gov/uploads/visual_edit/beebe-center-1024x1024.jpg,https://legislature.maine.gov/District12;https://www.mainesenate.org/senator/senator/pinny-beebe-center/,https://legislature.maine.gov/uploads/visual_edit/131-senator-contact-information-2.xlsx;https://legislature.maine.gov/District12,,,,"14 Edwards Street, Rockland, ME 04841",,,,,,,
ocd-person/b77ec17e-16c2-4958-bbaf-150ea6fb5467,Anne C. Perry,Democratic,9,lower,Anne,Perry,,Anne.Perry@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/907f0f6c-f076-444f-9678-f869ece743c7_perrac[1].jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/126;https://legislature.maine.gov/house/house/MemberProfiles/Details/126,https://legislature.maine.gov/house/house/MemberProfiles/Details/126;https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha,,,,"474 South Street, Calais, ME 04619",,,,,,,
ocd-person/50f75f0e-328c-413c-8733-de2872c5b7b0,Anne Carney,Democratic,29,upper,Anne,Carney,,Anne.Carney@legislature.maine.gov,,,,https://legislature.maine.gov/uploads/visual_edit/carney-web-1-1024x854.jpg,https://legislature.maine.gov/District-29;https://legislature.maine.gov/District-29;http://www.mainesenate.org/senator/senator/anne-carney/;https://legislature.maine.gov/District29,https://legislature.maine.gov/District-29;https://legislature.maine.gov/uploads/visual_edit/130th-senate-contact-information-as-of-31221.xlsx;https://legislature.maine.gov/uploads/visual_edit/131-senator-contact-information-2.xlsx;https://legislature.maine.gov/District29,,,,"21 Angell Point Road, Cape Elizabeth, ME 04107",207-767-7404,,,,,,
ocd-person/56960ccd-b154-42ae-9fb3-c323e07c23b1,Anne-Marie Mastraccio,Democratic,142,lower,Anne-Marie,Mastraccio,,Anne-Marie.Mastraccio@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/989eebc7-717b-474a-9a55-203b709d019b_AMASTRACCIO.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/111,https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha;https://legislature.maine.gov/house/house/MemberProfiles/Details/111,,,,"23 Lebanon Street, Sanford, ME 04073",,,,,,,
