id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/09493dc0-a224-4cf6-a859-1384ffeda8a0,Aisha Gomez,Democratic-Farmer-Labor,62A,lower,Aisha,Gomez,Female,rep.aisha.gomez@house.mn.gov,,,,https://www.house.mn.gov/hinfo/memberimgls93/62A.gif?v=032323,http://www.house.leg.state.mn.us/members/profile/15531,http://www.house.leg.state.mn.us/members/hmem.asp,,,,,,,,,,,
ocd-person/c5f2a744-0a3e-481f-9224-e4d5a58b9c9d,Alice Mann,Democratic-Farmer-Labor,50,upper,Alice,Mann,,sen.alice.mann@senate.mn,,,,https://www.senate.mn/img/member_thumbnails/50Mann.jpg,https://www.senate.mn/members/member_bio.html?mem_id=1270,https://www.senate.mn/api/members,,,,,,,,,,,
ocd-person/5604b347-d9b5-40b6-844d-8bc5246283d3,Alicia Kozlowski,Democratic-Farmer-Labor,8B,lower,Alicia,Kozlowski,,rep.alicia.kozlowski@house.mn.gov,,,,https://www.house.mn.gov/hinfo/memberimgls93/08B.gif?v=032323,http://www.house.leg.state.mn.us/members/profile/15595,http://www.house.leg.state.mn.us/members/hmem.asp,,,,,,,,,,,
ocd-person/8300aa36-f818-4ae8-ad31-f9373e396e08,Amanda Hemmingsen-Jaeger,Democratic-Farmer-Labor,47A,lower,Amanda,Hemmingsen-Jaeger,,rep.amanda.hemmingsen-jaeger@house.mn.gov,,,,https://www.house.mn.gov/hinfo/memberimgls93/47A.gif?v=032323,http://www.house.leg.state.mn.us/members/profile/15620,http://www.house.leg.state.mn.us/members/hmem.asp,,,,,,,,,,,
ocd-person/aabdca28-85ec-41e4-be90-726acaaa0cff,Andrew Mathews,Republican,27,upper,Andrew,Mathews,Male,sen.andrew.mathews@senate.mn,,,,https://www.senate.mn/img/member_thumbnails/15Mathews.jpg,https://www.senate.mn/members/member_bio.html?mem_id=1222,https://www.senate.mn/members/list.csv;https://www.senate.mn/members/index.php;https://www.senate.mn/api/members,,,,,,,,,,,
ocd-person/bba68b5b-90ac-4465-bdd2-fdf23c33b87a,Andrew Myers,Republican,45A,lower,Andrew,Myers,,rep.andrew.myers@house.mn.gov,,,,https://www.house.mn.gov/hinfo/memberimgls93/45A.gif?v=032323,http://www.house.leg.state.mn.us/members/profile/15618,http://www.house.leg.state.mn.us/members/hmem.asp,,,,,,,,,,,
ocd-person/3e1cd4f3-2c37-4531-b2cb-ca875c82d773,Andrew R. Lang,Republican,16,upper,Andrew,Lang,Male,sen.andrew.lang@senate.mn,,,,https://www.senate.mn/img/member_thumbnails/17Lang.jpg,https://www.senate.mn/members/member_bio.html?mem_id=1223,https://www.senate.mn/members/list.csv;https://www.senate.mn/members/index.php;https://www.senate.mn/api/members,,,,,,,,,,,
ocd-person/41cf59c9-a2c3-442d-85f1-7d6ec8de1a97,Andy Smith,Democratic-Farmer-Labor,25B,lower,Andy,Smith,,rep.andy.smith@house.mn.gov,,,,https://www.house.mn.gov/hinfo/memberimgls93/25B.gif?v=032323,http://www.house.leg.state.mn.us/members/profile/15606,http://www.house.leg.state.mn.us/members/hmem.asp,,,,,,,,,,,
ocd-person/ec588921-873b-4335-8fa1-2e3485008d3e,Ann H. Rest,Democratic-Farmer-Labor,43,upper,Ann,Rest,Female,sen.ann.rest@senate.mn,,,,https://www.senate.mn/img/member_thumbnails/43Rest.jpg,https://www.senate.mn/members/member_bio.html?mem_id=1051,https://www.senate.mn/members/list.csv;https://www.senate.mn/members/index.php;https://www.senate.mn/api/members,,,,,,,,,,,
ocd-person/a93779a2-69bc-4d3c-a8c6-530f3eccc341,Anne Neu Brindley,Republican,28B,lower,Anne,Neu Brindley,Female,rep.anne.neu@house.mn.gov,,,,https://www.house.mn.gov/hinfo/memberimgls93/28B.gif?v=032323,http://www.house.leg.state.mn.us/members/profile/15494,http://www.house.leg.state.mn.us/members/hmem.asp,,,,,,,,,,,
ocd-person/20c89480-8cde-4106-8b3d-54183371960a,Aric Putnam,Democratic-Farmer-Labor,14,upper,Aric,Putnam,Male,sen.aric.putnam@senate.mn,,,,https://www.senate.mn/img/member_thumbnails/14PutnamAric.jpg,https://www.senate.mn/members/member_bio.html?member_id=1249;https://www.senate.mn/members/member_bio.html?mem_id=1249,https://www.senate.mn/members/list.csv;https://www.senate.mn/members/index.php;https://www.senate.mn/api/members,,,,,,,,,,,
