id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/9c0f35c1-03de-443e-97bd-5cdf77581897,Alisa Mitskog,Democratic,25,lower,Alisa,Mitskog,,amitskog@ndlegis.gov,,,,https://www.ndlegis.gov/sites/default/files/styles/member_list_photo/public/person/photo/amitskog2023_3.jpg?itok=vwMWQ-Ou,http://www.legis.nd.gov/assembly/65-2017/members/house/representative-alisa-mitskog;http://www.legis.nd.gov/assembly/66-2019/members/house/representative-alisa-mitskog;http://www.legis.nd.gov/assembly/67-2021/members/house/representative-alisa-mitskog;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-alisa-mitskog,http://www.legis.nd.gov/assembly/65-2017/members/house/representative-alisa-mitskog;http://www.legis.nd.gov/assembly/66-2019/members/house/representative-alisa-mitskog;http://www.legis.nd.gov/assembly/67-2021/members/house/representative-alisa-mitskog;https://www.legis.nd.gov/assembly/67-2021/members/members-by-district;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-alisa-mitskog;https://www.ndlegis.gov/biography/alisa-mitskog;https://www.ndlegis.gov/assembly/68-2023/regular/members?combine=&field_legis_chamber_target_id=All&field_legis_district_target_id=All&field_legislator_party_target_id=All&page=5;https://www.ndlegis.gov/assembly/68-2023/regular/members?page=5,,,,"1504 Oakwood Avenue, Wahpeton, ND 58075-3553",701-642-6444,,,,,,
ocd-person/6fbb2691-956f-4427-8927-66309b08ed68,Andrew Marschall,Republican,16,lower,Andrew,Marschall,,amarschall@ndlegis.gov,,,,https://www.ndlegis.gov/sites/default/files/styles/member_list_photo/public/person/photo/amarschall2023.jpg?itok=hxGY-yV_,http://www.legis.nd.gov/assembly/65-2017/members/house/representative-andrew-marschall;http://www.legis.nd.gov/assembly/66-2019/members/house/representative-andrew-marschall;http://www.legis.nd.gov/assembly/67-2021/members/house/representative-andrew-marschall;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-andrew-marschall,http://www.legis.nd.gov/assembly/65-2017/members/house/representative-andrew-marschall;http://www.legis.nd.gov/assembly/66-2019/members/house/representative-andrew-marschall;http://www.legis.nd.gov/assembly/67-2021/members/house/representative-andrew-marschall;https://www.legis.nd.gov/assembly/67-2021/members/members-by-district;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-andrew-marschall;https://www.ndlegis.gov/biography/andrew-marschall;https://www.ndlegis.gov/assembly/68-2023/regular/members?combine=&field_legis_chamber_target_id=All&field_legis_district_target_id=All&field_legislator_party_target_id=All&page=4;https://www.ndlegis.gov/assembly/68-2023/regular/members?page=4,,,,"2106 10th Street West, West Fargo, ND 58078-3213",,,,,,,
ocd-person/c40382fd-ce08-46af-8649-afd1f5e04091,Anna S. Novak,Republican,33,lower,Anna,Novak,,anovak@ndlegis.gov,,,,https://www.ndlegis.gov/sites/default/files/styles/member_list_photo/public/person/photo/anovak2023.jpg?itok=EptvTScj,,https://www.ndlegis.gov/biography/anna-s-novak;https://www.ndlegis.gov/assembly/68-2023/regular/members?combine=&field_legis_chamber_target_id=All&field_legis_district_target_id=All&field_legislator_party_target_id=All&page=5;https://www.ndlegis.gov/assembly/68-2023/regular/members?page=5,,,,"1139 Elbowoods Drive, Hazen, ND 58545-4923",701-873-4117,,,,,,
ocd-person/860892bd-92d1-4a30-a5e6-3b5f2359e9df,Austen Schauer,Republican,13,lower,Austen,Schauer,,aschauer@ndlegis.gov,,,,https://www.ndlegis.gov/sites/default/files/styles/member_list_photo/public/person/photo/aschauer2023.jpg?itok=nn6aFXan,http://www.legis.nd.gov/assembly/66-2019/members/house/representative-austen-schauer;http://www.legis.nd.gov/assembly/67-2021/members/house/representative-austen-schauer;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-austen-schauer,http://www.legis.nd.gov/assembly/66-2019/members/house/representative-austen-schauer;http://www.legis.nd.gov/assembly/67-2021/members/house/representative-austen-schauer;https://www.legis.nd.gov/assembly/67-2021/members/members-by-district;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-austen-schauer;https://www.ndlegis.gov/biography/austen-schauer;https://www.ndlegis.gov/assembly/68-2023/regular/members?combine=&field_legis_chamber_target_id=All&field_legis_district_target_id=All&field_legislator_party_target_id=All&page=7;https://www.ndlegis.gov/assembly/68-2023/regular/members?page=7,,,,"110 West Beaton Drive, West Fargo, ND 58078-2657",,,,,,,
ocd-person/9335be7e-11ff-4577-af89-e61195143354,Ben Koppelman,Republican,16,lower,Ben,Koppelman,,bkoppelman@ndlegis.gov,,,,https://www.ndlegis.gov/sites/default/files/styles/member_list_photo/public/person/photo/bkoppelman2023.jpg?itok=esaQXglY,http://www.legis.nd.gov/assembly/65-2017/members/house/representative-ben-koppelman;http://www.legis.nd.gov/assembly/66-2019/members/house/representative-ben-koppelman;http://www.legis.nd.gov/assembly/67-2021/members/house/representative-ben-koppelman;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-ben-koppelman,http://www.legis.nd.gov/assembly/65-2017/members/house/representative-ben-koppelman;http://www.legis.nd.gov/assembly/66-2019/members/house/representative-ben-koppelman;http://www.legis.nd.gov/assembly/67-2021/members/house/representative-ben-koppelman;https://www.legis.nd.gov/assembly/67-2021/members/members-by-district;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-ben-koppelman;https://www.ndlegis.gov/biography/ben-koppelman;https://www.ndlegis.gov/assembly/68-2023/regular/members?combine=&field_legis_chamber_target_id=All&field_legis_district_target_id=All&field_legislator_party_target_id=All&page=4;https://www.ndlegis.gov/assembly/68-2023/regular/members?page=4,,,,"1945 Burlington Drive, West Fargo, ND 58078-4324",,,,,,,
ocd-person/3f885f7e-14b0-4ee7-b1fd-71ddbd72c539,Bernie Satrom,Republican,12,lower,Bernie,Satrom,,blsatrom@ndlegis.gov,,,,https://www.ndlegis.gov/sites/default/files/styles/member_list_photo/public/person/photo/blsatrom2023.jpg?itok=QdHtHBmZ,http://www.legis.nd.gov/assembly/65-2017/members/house/representative-bernie-satrom;http://www.legis.nd.gov/assembly/66-2019/members/house/representative-bernie-satrom;http://www.legis.nd.gov/assembly/67-2021/members/house/representative-bernie-satrom;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-bernie-satrom,http://www.legis.nd.gov/assembly/65-2017/members/house/representative-bernie-satrom;http://www.legis.nd.gov/assembly/66-2019/members/house/representative-bernie-satrom;http://www.legis.nd.gov/assembly/67-2021/members/house/representative-bernie-satrom;https://www.legis.nd.gov/assembly/67-2021/members/members-by-district;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-bernie-satrom;https://www.ndlegis.gov/biography/bernie-satrom;https://www.ndlegis.gov/assembly/68-2023/regular/members?combine=&field_legis_chamber_target_id=All&field_legis_district_target_id=All&field_legislator_party_target_id=All&page=7;https://www.ndlegis.gov/assembly/68-2023/regular/members?page=7,,,,"P.O. Box 950, Jamestown, ND 58402-0950",,701-252-4065,,,,,
ocd-person/7ba931d2-cba2-4913-92fa-f5b0c3a8baf0,Bert Anderson,Republican,2,lower,Bert,Anderson,,bertanderson@ndlegis.gov,,,,https://www.ndlegis.gov/sites/default/files/styles/member_list_photo/public/person/photo/bertanderson2.jpg?itok=VRfZY6e1,http://www.legis.nd.gov/assembly/65-2017/members/house/representative-bert-anderson;http://www.legis.nd.gov/assembly/66-2019/members/house/representative-bert-anderson;http://www.legis.nd.gov/assembly/67-2021/members/house/representative-bert-anderson;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-bert-anderson,http://www.legis.nd.gov/assembly/65-2017/members/house/representative-bert-anderson;http://www.legis.nd.gov/assembly/66-2019/members/house/representative-bert-anderson;http://www.legis.nd.gov/assembly/67-2021/members/house/representative-bert-anderson;https://www.legis.nd.gov/assembly/67-2021/members/members-by-district;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-bert-anderson;https://www.ndlegis.gov/biography/bert-anderson;https://www.ndlegis.gov/assembly/68-2023/regular/members,,,,"P.O. Box 604, Crosby, ND 58730-0604",701-965-6194,,,,,,
ocd-person/50e4864c-095a-43a6-9486-3b071e02ca09,Bill Tveit,Republican,33,lower,Bill,Tveit,,btveit@ndlegis.gov,,,,https://www.ndlegis.gov/sites/default/files/styles/member_list_photo/public/person/photo/btveit2023.jpg?itok=cI3qL4LC,http://www.legis.nd.gov/assembly/66-2019/members/house/representative-bill-tveit;http://www.legis.nd.gov/assembly/67-2021/members/house/representative-bill-tveit;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-bill-tveit,http://www.legis.nd.gov/assembly/66-2019/members/house/representative-bill-tveit;http://www.legis.nd.gov/assembly/67-2021/members/house/representative-bill-tveit;https://www.legis.nd.gov/assembly/67-2021/members/members-by-district;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-bill-tveit;https://www.ndlegis.gov/biography/bill-tveit;https://www.ndlegis.gov/assembly/68-2023/regular/members?combine=&field_legis_chamber_target_id=All&field_legis_district_target_id=All&field_legislator_party_target_id=All&page=8;https://www.ndlegis.gov/assembly/68-2023/regular/members?page=8,,,,"610A Hazen Bay Road, Hazen, ND 58545-9483",,,,,,,
ocd-person/f8720088-51ae-4178-87f8-abbb73faf444,Bob Martinson,Republican,35,lower,Bob,Martinson,,bmartinson@ndlegis.gov,,,,https://www.ndlegis.gov/sites/default/files/styles/member_list_photo/public/person/photo/bmartinson2023.jpg?itok=G3GoKXQJ,http://www.legis.nd.gov/assembly/65-2017/members/house/representative-bob-martinson;http://www.legis.nd.gov/assembly/66-2019/members/house/representative-bob-martinson;http://www.legis.nd.gov/assembly/67-2021/members/house/representative-bob-martinson;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-bob-martinson,http://www.legis.nd.gov/assembly/65-2017/members/house/representative-bob-martinson;http://www.legis.nd.gov/assembly/66-2019/members/house/representative-bob-martinson;http://www.legis.nd.gov/assembly/67-2021/members/house/representative-bob-martinson;https://www.legis.nd.gov/assembly/67-2021/members/members-by-district;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-bob-martinson;https://www.ndlegis.gov/biography/bob-martinson;https://www.ndlegis.gov/assembly/68-2023/regular/members?combine=&field_legis_chamber_target_id=All&field_legis_district_target_id=All&field_legislator_party_target_id=All&page=4;https://www.ndlegis.gov/assembly/68-2023/regular/members?page=4,,,,"2749 Pacific Avenue, Bismarck, ND 58501-2513",,,,,,,
ocd-person/983f512c-6f3f-4243-b6c8-b83d9d4f3696,Bob Paulson,Republican,3,upper,Bob,Paulson,,bpaulson@ndlegis.gov,,,,https://www.ndlegis.gov/sites/default/files/styles/member_list_photo/public/person/photo/bpaulson2023.jpg?itok=SDpdNURV,http://www.legis.nd.gov/assembly/66-2019/members/house/representative-bob-paulson;http://www.legis.nd.gov/assembly/67-2021/members/house/representative-bob-paulson;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-bob-paulson,http://www.legis.nd.gov/assembly/66-2019/members/house/representative-bob-paulson;http://www.legis.nd.gov/assembly/67-2021/members/house/representative-bob-paulson;https://www.legis.nd.gov/assembly/67-2021/members/members-by-district;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-bob-paulson;https://www.ndlegis.gov/assembly/68-2023/regular/members?combine=&field_legis_chamber_target_id=All&field_legis_district_target_id=All&field_legislator_party_target_id=All&page=6;https://www.ndlegis.gov/biography/bob-paulson;https://www.ndlegis.gov/assembly/68-2023/regular/members?page=6,,,,"9801 Highway 52 South, Minot, ND 58701-2426",,,,,,,
