id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/fc986c0e-c1cd-422f-80c1-4d3691f34f28,Alex Sauickie,Republican,12,lower,Alex,Sauickie,,AsmSauickie@njleg.org,,,,,https://www.njleg.state.nj.us/legislative-roster/454/assemblyman-sauickie,https://www.njleg.state.nj.us/legislative-roster;https://www.njleg.state.nj.us/legislative-roster/454/assemblyman-sauickie;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/454;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/454,,,,405 Route 539; Cream Ridge NJ 08514,609-758-0205,,,,,,
ocd-person/7782ffcd-73df-41b5-9857-fd7b10953bf3,Andrew Zwicker,Democratic,16,upper,Andrew,Zwicker,Male,SenZwicker@njleg.org,,,,https://www.njleg.state.nj.us/members/memberphotos/zwicker_andrew_2019.jpg,http://www.njleg.state.nj.us/members/bio.asp?Leg=386;https://www.njleg.state.nj.us/legislative-roster/436/senator-zwicker,http://www.njleg.state.nj.us/members/bio.asp?Leg=386;http://www.njleg.state.nj.us/downloads.asp;https://www.njleg.state.nj.us/members/abcroster.asp;https://www.njleg.state.nj.us/members/BIO.asp?Leg=386;https://www.njleg.state.nj.us/legislative-roster;https://www.njleg.state.nj.us/legislative-roster/436/senator-zwicker;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/436;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/436,,,,"2 Clerico Lane, Building 1; Hillsborough NJ 08844",908-308-8672,,,,,,
ocd-person/d8c826c4-95c7-465b-8448-1f05495bfc45,Angela V. McKnight,Democratic,31,lower,Angela,McKnight,Female,AswMcKnight@njleg.org,,,,https://www.njleg.state.nj.us/members/memberphotos/mcknight_color.jpg,http://www.njleg.state.nj.us/members/bio.asp?Leg=383;https://www.njleg.state.nj.us/legislative-roster/383/assemblywoman-mcknight,http://www.njleg.state.nj.us/members/bio.asp?Leg=383;http://www.njleg.state.nj.us/downloads.asp;https://www.njleg.state.nj.us/members/abcroster.asp;https://www.njleg.state.nj.us/members/BIO.asp?Leg=383;https://www.njleg.state.nj.us/legislative-roster;https://www.njleg.state.nj.us/legislative-roster/383/assemblywoman-mcknight;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/383;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/383,,,,2324 John F. Kennedy Blvd.; Jersey City NJ 07304,201-360-2502,,,,,,
ocd-person/2845eb57-3b9a-4d8d-9ee3-55bda4967805,Angelica M. Jimenez,Democratic,32,lower,Angelica,Jimenez,Female,AswJimenez@njleg.org,,,,https://www.njleg.state.nj.us/members/memberphotos/jimenez_color.jpg,http://www.njleg.state.nj.us/members/bio.asp?Leg=344;https://www.njleg.state.nj.us/legislative-roster/344/assemblywoman-jimenez,http://www.njleg.state.nj.us/members/bio.asp?Leg=344;http://www.njleg.state.nj.us/downloads.asp;https://www.njleg.state.nj.us/members/abcroster.asp;https://www.njleg.state.nj.us/members/BIO.asp?Leg=344;https://www.njleg.state.nj.us/legislative-roster;https://www.njleg.state.nj.us/legislative-roster/344/assemblywoman-jimenez;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/344;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/344,,,,"5600 Kennedy Blvd., Suite 104; West New York NJ 07093",201-223-4247,,,,,,
ocd-person/a0281bb5-d164-48ca-959b-4cb52e389cc7,Annette Chaparro,Democratic,33,lower,Annette,Chaparro,Female,AswChaparro@njleg.org,,,,https://www.njleg.state.nj.us/members/memberphotos/chaparro_annette_2020.jpg,http://www.njleg.state.nj.us/members/bio.asp?Leg=385;https://www.njleg.state.nj.us/legislative-roster/385/assemblywoman-chaparro,http://www.njleg.state.nj.us/members/bio.asp?Leg=385;http://www.njleg.state.nj.us/downloads.asp;https://www.njleg.state.nj.us/members/abcroster.asp;https://www.njleg.state.nj.us/members/BIO.asp?Leg=385;https://www.njleg.state.nj.us/legislative-roster;https://www.njleg.state.nj.us/legislative-roster/385/assemblywoman-chaparro;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/385;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/385,,,,"80 River St., 2nd Floor; Hoboken NJ 07030",201-683-7917,,,,,,
ocd-person/ec370db8-c51e-4022-9868-5cad9c38e97d,Annette Quijano,Democratic,20,lower,Annette,Quijano,Female,AswQuijano@njleg.org,,,,https://www.njleg.state.nj.us/members/memberphotos/quijano_annette_2020.jpg,http://www.njleg.state.nj.us/members/bio.asp?Leg=309;https://www.njleg.state.nj.us/legislative-roster/309/assemblywoman-quijano,http://www.njleg.state.nj.us/members/bio.asp?Leg=309;http://www.njleg.state.nj.us/downloads.asp;https://www.njleg.state.nj.us/members/abcroster.asp;https://www.njleg.state.nj.us/members/BIO.asp?Leg=309;https://www.njleg.state.nj.us/legislative-roster;https://www.njleg.state.nj.us/legislative-roster/309/assemblywoman-quijano;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/309;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/309,,,,985 Stuyvesant Ave.; Union NJ 07083,908-327-9119,,,,,,
ocd-person/f321f20f-b8af-4d0b-85ba-e7b8dcf9ae03,Anthony M. Bucco,Republican,25,upper,Anthony,Bucco,Male,SenBucco@njleg.org,,,,https://www.njleg.state.nj.us/members/memberphotos/bucco_a_m_color.jpg,http://www.njleg.state.nj.us/members/bio.asp?Leg=419;https://www.njleg.state.nj.us/legislative-roster/419/senator-bucco,http://www.njleg.state.nj.us/members/bio.asp?Leg=419;http://www.njleg.state.nj.us/downloads.asp;https://www.njleg.state.nj.us/members/abcroster.asp;https://www.njleg.state.nj.us/members/BIO.asp?Leg=419;https://www.njleg.state.nj.us/legislative-roster;https://www.njleg.state.nj.us/legislative-roster/419/senator-bucco;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/419;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/419,,,,"75 Bloomfield Ave., Suite 302, 3rd Floor; Denville NJ 07834",973-627-9700,,,,,,
ocd-person/c6d61a12-eeb5-4400-943d-68a81b0728f0,Anthony S. Verrelli,Democratic,15,lower,Anthony,Verrelli,Male,AsmVerrelli@njleg.org,,,,https://www.njleg.state.nj.us/members/memberphotos/verrelli_anthony_2020.jpg,http://www.njleg.state.nj.us/members/bio.asp?Leg=416;https://www.njleg.state.nj.us/legislative-roster/416/assemblyman-verrelli,http://www.njleg.state.nj.us/members/bio.asp?Leg=416;http://www.njleg.state.nj.us/downloads.asp;https://www.njleg.state.nj.us/members/abcroster.asp;https://www.njleg.state.nj.us/members/BIO.asp?Leg=416;https://www.njleg.state.nj.us/legislative-roster;https://www.njleg.state.nj.us/legislative-roster/416/assemblyman-verrelli;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/416;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/416,,,,144 West State St.; Trenton NJ 08608,609-292-0500,,,,,,
ocd-person/4ebe8d6e-9814-4f68-aa9f-148c0942eaab,Antwan L. McClellan,Republican,1,lower,Antwan,McClellan,Male,AsmMcClellan@njleg.org,,,,http://www.njleg.state.nj.us/members/memberphotos/mcclellan_antwan_2020.jpg,https://www.njleg.state.nj.us/legislative-roster/425/assemblyman-mcclellan,https://www.njleg.state.nj.us/legislative-roster;https://www.njleg.state.nj.us/legislative-roster/425/assemblyman-mcclellan;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/425;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/425,,,,610 E Landis Ave.; Vineland NJ 08360,609-778-2012,,,,,,
ocd-person/03aa8bec-9d7e-41e7-ad20-b5ba1991cab6,Aura Dunn,Republican,25,lower,Aura,Dunn,Female,AswDunn@njleg.org,,,,https://www.njleg.state.nj.us/members/memberphotos/dunn_aura_2020.jpg,https://www.njleg.state.nj.us/legislative-roster/428/assemblywoman-dunn,https://www.njleg.state.nj.us/legislative-roster;https://www.njleg.state.nj.us/legislative-roster/428/assemblywoman-dunn;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/428;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/428,,,,"191 Main Street, Suite D; Chester NJ 07930",908-955-7228,,,,,,
