id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/6fee4c5a-f125-46bc-b11a-d254e40428e4,Alexis Hansen,Republican,32,lower,Alexis,Hansen,Female,alexis.hansen@asm.state.nv.us,,,,https://leg.state.nv.us/Session/82nd2023/legislators/Assembly/Images/Hansen.Alexis.366.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=366;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/32,https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=366;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/32,,,,"68 Amigo Court;Sparks,;NV 89441-6213",,,,,,,
ocd-person/d95b3a70-9bb4-43b8-a376-9d3151f9c44d,Angie Taylor,Democratic,27,lower,Angie,Taylor,,angie.taylor@asm.state.nv.us,,,,https://leg.state.nv.us/Session/82nd2023/legislators/Assembly/Images/Taylor.Angie.400.jpg,https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/27,https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/27,,,,"10580 North McCarran Boulevard, No. 115-345;Reno,;NV 89503-2059",,,,,,,
ocd-person/ba795c1a-235c-49d1-af4d-9d23a2395ccb,Bea Duran,Democratic,11,lower,Bea,Duran,Female,bea.duran@asm.state.nv.us,,,,https://leg.state.nv.us/Session/82nd2023/legislators/Assembly/Images/Duran.Bea.373.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=373;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/11,https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=373;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/11,,,,"P.O. Box 999;Las Vegas,;NV 89125-0999",,,,,,,
ocd-person/11f44d71-88c1-4022-a2f5-f8ca9b8795f2,Bert Gurr,Republican,33,lower,Bert,Gurr,,bert.gurr@asm.state.nv.us,,,,https://leg.state.nv.us/Session/82nd2023/legislators/Assembly/Images/Gurr.Bert.402.jpg,https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/33,https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/33,,,,"P.O. Box 1436;Elko,;NV 89803-1436",,,,,,,
ocd-person/20c9828b-8026-440a-9328-0c2cbcbad016,Brian Hibbetts,Republican,13,lower,Brian,Hibbetts,,brian.hibbetts@asm.state.nv.us,,,,https://leg.state.nv.us/Session/82nd2023/legislators/Assembly/Images/Hibbetts.Brian.394.jpg,https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/13,"https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/13                              "";https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/13",,,,"8461 West Farm Road, No. 120-287;Las Vegas,;NV 89131-8305",,,,,,,
ocd-person/287d0078-78f3-4717-8493-9f77d0eb57d6,Brittney Miller,Democratic,5,lower,Brittney,Miller,Female,brittney.miller@asm.state.nv.us,,,,https://leg.state.nv.us/Session/82nd2023/legislators/Assembly/Images/Miller.Brittney.304.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=304;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/5,"https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=304;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/5                           "";https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/5",,,,"9030 West Sahara, No. 364;Las Vegas,;NV 89117-5744",702-518-0599,,,,,,
ocd-person/d268d408-a5c3-410e-8ca7-d292de1ac2c5,Cameron (Cameron (C.H.)) Miller,Democratic,7,lower,Cameron,Miller,Male,ch.miller@asm.state.nv.us,,,,https://leg.state.nv.us/Session/82nd2023/legislators/Assembly/Images/Miller.Cameron.384.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=384;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/7,https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=384;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/7,,,,"3053 West Craig Road, Suite E-183;North Las Vegas,;NV 89032-5106",,,,,,,
ocd-person/189d270a-96e5-45af-a2b8-bbcc2ad225c1,Carrie A. Buck,Republican,5,upper,Carrie,Buck,Female,carrie.buck@sen.state.nv.us,,,,https://leg.state.nv.us/Session/82nd2023/legislators/Senators/Images/Buck.Carrie.387.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=387;https://www.leg.state.nv.us/App/Legislator/A/Senate/Current/5,https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=387;https://www.leg.state.nv.us/App/Legislator/A/Senate/Current;https://www.leg.state.nv.us/App/Legislator/A/Senate/Current/5,,,,"230 W. Highland Drive;Henderson,;NV 89015",,,,,,,
ocd-person/67f22a3d-05c3-4256-8260-dac682607fc7,Cecelia González,Democratic,16,lower,Cecelia,González,Female,cecelia.gonzalez@asm.state.nv.us,,,,https://leg.state.nv.us/Session/82nd2023/legislators/Assembly/Images/Gonzlez.Cecelia.378.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=378;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/16,https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=378;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/16,,,,"P.O. Box 96301;Las Vegas,;NV 89193-6301",,,,,,,
ocd-person/cea67d43-e30a-4ec3-af31-4cf26bd6c780,Clara (Claire) Thomas,Democratic,17,lower,Clara,Thomas,Female,clara.thomas@asm.state.nv.us,,,,https://leg.state.nv.us/Session/82nd2023/legislators/Assembly/Images/Thomas.Clara.381.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=381;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/17,https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=381;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/17,,,,"5892 Losee Road, Suite 132-123;North Las Vegas,;NV 89081-6593",,,,,,,
