id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/7e356581-ff96-4e5d-b6bc-94b3c8e0005c,Adam Pugh,Republican,41,upper,Adam,Pugh,,,,,,https://oksenate.gov/sites/default/files/pugh.jpg,http://oksenate.gov/Senators/biographies/pugh_bio.aspx;https://oksenate.gov/contact-senator?sid=1899,http://oksenate.gov/Senators/biographies/pugh_bio.aspx;http://oksenate.gov/Senators/biographies/pugh_bio.html,,,,,,,,,,,
ocd-person/719605ed-1748-4c0b-bc6a-79330db17af1,Ajay Pittman,Democratic,99,lower,Ajay,Pittman,,ajay.pittman@okhouse.gov,,,,https://www.okhouse.gov/Members/Pictures/HiRes/Ajay-Pittman.jpg,https://www.okhouse.gov/Members/District.aspx?District=99;https://www.okhouse.gov/Members/Contact.aspx?District=99,https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=99,,,,,,,,,,,
ocd-person/0e3e261d-437a-4e04-8328-70adb16c82d9,Ally Seifried,Republican,2,upper,Ally,Seifried,,,,,,https://oksenate.gov/sites/default/files/Seifried%2C%20Ally%20Flags%202022.jpg,https://oksenate.gov/contact-senator?sid=1523279,,,,,,,,,,,,
ocd-person/c258415a-84bc-4d81-ad6f-0509a037bfd5,Amanda Swope,Democratic,71,lower,Amanda,Swope,,,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Swope,%20Amanda.jpg",https://www.okhouse.gov/Members/Contact.aspx?District=71,,,,,,,,,,,,
ocd-person/987fd457-5b14-4300-95f1-e92f7cd5f748,Andy Fugate,Democratic,94,lower,Andy,Fugate,,andy.fugate@okhouse.gov,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Fugate,%20Andy.jpg",https://www.okhouse.gov/Members/District.aspx?District=94;https://www.okhouse.gov/Members/Contact.aspx?District=94,https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=94,,,,,,,,,,,
ocd-person/3a5828d9-b8bf-491c-adfe-19f5331d1e20,Annie Menz,Democratic,45,lower,Annie,Menz,,,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Menz,%20Annie.jpg",https://www.okhouse.gov/Members/Contact.aspx?District=45,,,,,,,,,,,,
ocd-person/c1f71291-89c1-4109-a15c-2483743d333a,Anthony Moore,Republican,57,lower,Anthony,Moore,,,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Moore,%20Anthony.jpg",https://www.okhouse.gov/Members/Contact.aspx?District=57,,,,,,,,,,,,
ocd-person/4d0b52d3-ad1f-45c9-b46e-3676194ef82c,Arturo Alonso Sandoval,Democratic,89,lower,,,,,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Alonso,%20Arturo.jpg",https://www.okhouse.gov/Members/Contact.aspx?District=89,,,,,,,,,,,,
ocd-person/446468ba-e7a8-49ff-8edc-e9f96da9d613,Bill Coleman,Republican,10,upper,Bill,Coleman,,,,,,https://oksenate.gov/sites/default/files/Coleman%2C%20Bill%20Flags%202022.jpg,http://oksenate.gov/Senators/biographies/coleman_bio.aspx;https://oksenate.gov/contact-senator?sid=1844,http://oksenate.gov/Senators/biographies/coleman_bio.aspx;http://oksenate.gov/Senators/biographies/coleman_bio.html,,,,,,,,,,,
ocd-person/1e7de93b-e5e5-4c8c-8835-950bfa33f3b8,Blake Stephens,Republican,3,upper,Blake,Stephens,,,,,,https://oksenate.gov/sites/default/files/Stephens%2C%20Blake%20Flag%20hat%202022.jpg,https://oksenate.gov/senators/blake-stephens;https://oksenate.gov/contact-senator?sid=1521372,https://oksenate.gov/senators/blake-stephens,,,,,,,,,,,
ocd-person/246cfe54-edbd-4844-9bdc-0213c4b501e9,Bob Culver,Republican,4,lower,Bob,Culver,,,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Culver,%20BobEd.jpg",https://www.okhouse.gov/Members/Contact.aspx?District=4,,,,,,,,,,,,
ocd-person/be4edaae-b522-4ce0-bc1d-98b813424f57,Brad Boles,Republican,51,lower,Brad,Boles,,brad.boles@okhouse.gov,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Boles,%20Brad.jpg",https://www.okhouse.gov/Members/District.aspx?District=51;https://www.okhouse.gov/Members/Contact.aspx?District=51,https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=51,,,,,,,,,,,
