id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/e7e195f3-09ac-4958-bb0b-e4e215e4c9fa,Ada García Montes,Partido Popular Democrático,4,upper,Ada,Montes,,agarcia@senado.pr.gov,,,,https://senado.pr.gov/document_vault/senator/5/FourYearPeriods/8/photo/ADA%20GARCIA.jpg,https://sutra.oslpr.org/osl/esutra/AdmLegisladorReg.aspx?rid=690;https://senado.pr.gov/senators/hon-ada-i-garcía-montes,https://sutra.oslpr.org/osl/esutra/AdmLegisladorReg.aspx?rid=690;https://senado.pr.gov/index.cfm?module=senadores;https://senado.pr.gov/senators/hon-ada-i-garcía-montes,,,,,,,,,,,
ocd-person/9a94f5b3-93a2-404d-9d3e-036b12d13ef4,Albert Torres Berrios,Partido Popular Democrático,6,upper,Albert,Torres Berrios,,altorres@senado.pr.gov,,,,https://senado.pr.gov/document_vault/senator/6/FourYearPeriods/9/photo/ALBERT%20TORRES.jpg,https://sutra.oslpr.org/osl/esutra/AdmLegisladorReg.aspx?rid=695;https://senado.pr.gov/senators/hon-albert-torres-berríos,https://sutra.oslpr.org/osl/esutra/AdmLegisladorReg.aspx?rid=695;https://senado.pr.gov/index.cfm?module=senadores;https://senado.pr.gov/senators/hon-albert-torres-berríos,,,,,,,,,,,
ocd-person/a61f5354-ceaa-4fc0-9dc7-73caf5d83d1f,Ana Irma Rivera Lassén,Movimiento Victoria Ciudadana,At-Large,upper,Ana Irma,Rivera Lassén,,airivera@senado.pr.gov,,,,https://senado.pr.gov/document_vault/senator/26/FourYearPeriods/28/photo/RIVERA LASEN.jpg,https://sutra.oslpr.org/osl/esutra/AdmLegisladorReg.aspx?rid=707;https://senado.pr.gov/senators/hon-ana-irma-rivera-lassén,https://sutra.oslpr.org/osl/esutra/AdmLegisladorReg.aspx?rid=707;https://senado.pr.gov/index.cfm?module=senadores;https://senado.pr.gov/senators/hon-ana-irma-rivera-lassén,,,,,,,,,,,
ocd-person/dbfd900c-4b48-4805-b60a-1c3acfc9ecca,Angel Bulerín Ramos,Partido Nuevo Progresista,37,lower,Angel,Bulerín Ramos,,abulerin@camara.pr.gov,,,,https://www.camara.pr.gov/wp-content/uploads/2020/07/REP._ANGEL_BULERIN_DIST._37.jpg,http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=40;http://rfsp.eticapr.com/Busqueda;https://www.camara.pr.gov/team/angel-bulerin-ramos/,http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=40;http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/Biografia.aspx;https://www.camara.pr.gov/page-team/;https://www.camara.pr.gov/team/angel-bulerin-ramos/,,,,,,,,,,,
ocd-person/b86bed36-d8ce-4c24-8542-4d3c49d7e2be,Angel N. Matos García,Partido Popular Democrático,40,lower,Angel,Matos García,,amatos@camara.pr.gov,,,,https://www.camara.pr.gov/wp-content/uploads/2020/07/ANGEL-MATOS-DIST40.jpg,http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=66;http://rfsp.eticapr.com/Busqueda;https://www.camara.pr.gov/team/angel-matos/,http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=66;http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/Biografia.aspx;https://www.camara.pr.gov/page-team/;https://www.camara.pr.gov/team/angel-matos/,,,,,,,angelmatos,,,angelnmatos,
ocd-person/668ff3c6-68b5-4c95-b982-a03fd9c8b1a3,Carlos “Johnny” Méndez Núñez,Partido Nuevo Progresista,36,lower,Carlos,Méndez Núñez,,cmendez@camara.pr.gov,,,,https://www.camara.pr.gov/wp-content/uploads/2021/08/Carlos_Mendez_420px.jpg,http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=39;http://rfsp.eticapr.com/Busqueda;https://www.camara.pr.gov/team/carlos-johnny-mendez-nunez/,http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=39;http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/Biografia.aspx;https://www.camara.pr.gov/page-team/;https://www.camara.pr.gov/team/carlos-johnny-mendez-nunez/,,,,,,,,,,,
ocd-person/bb7a8a74-faec-492d-87f7-a7e8d3c11ac3,Carmelo J. Rios Santiago,Partido Nuevo Progresista,2,upper,Carmelo,Rios Santiago,,crios@senado.pr.gov,,,,https://senado.pr.gov/document_vault/senator/17/FourYearPeriods/19/thumbnail/CARMELO%20R%C3%8DOS.jpg,http://www.senadopr.us/Pages/Senadores%20Distrito%20II.aspx;https://senado.pr.gov/senators/hon-carmelo-j-ríos-santiago,http://www.senadopr.us/Pages/Senadores%20Distrito%20II.aspx;https://senado.pr.gov/index.cfm?module=senadores;https://senado.pr.gov/senators/hon-carmelo-j-ríos-santiago,,,,,,,,,,,
ocd-person/7408df66-3e8f-45a1-9844-aa6b1add8c60,Deborah Soto Arroyo,Partido Popular Democrático,10,lower,Deborah,Soto Arroyo,,dsoto@camara.pr.gov,,,,https://www.camara.pr.gov/wp-content/uploads/2020/07/REP._DEBORAH_SOTO_DIST._10.jpg,https://sutra.oslpr.org/osl/esutra/AdmLegisladorReg.aspx?rid=720;http://rfsp.eticapr.com/Busqueda;https://www.camara.pr.gov/team/deborah-soto-arroyo/,https://sutra.oslpr.org/osl/esutra/AdmLegisladorReg.aspx?rid=720;https://www.camara.pr.gov/page-team/;https://www.camara.pr.gov/team/deborah-soto-arroyo/,,,,,,,,,,debbie.soto.1000,
ocd-person/dee6d0ff-ee3c-429c-bfa4-6b255acd8472,Denis Márquez Lebrón,Partido Independentista Puertorriqueño,At-Large,lower,Denis,Márquez Lebrón,,dmarquez@camara.pr.gov,,,,https://www.camara.pr.gov/wp-content/uploads/2021/08/REP.-DENNIS-MARQUEZ-ACUMULACION-2.jpg,http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=210;http://rfsp.eticapr.com/Busqueda;https://www.camara.pr.gov/team/denis-marquez-lebron/,http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=210;http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/Biografia.aspx;https://www.camara.pr.gov/page-team/;https://www.camara.pr.gov/team/denis-marquez-lebron/,,,,,,,denismarquezpip,,,denismarquezpip,
ocd-person/0bb123e5-c41d-4fb4-a6ee-7efb453d245a,Domingo J. Torres García,Partido Popular Democrático,25,lower,Domingo,Torres García,,djtorres@camara.pr.gov,,,,https://www.camara.pr.gov/wp-content/uploads/2020/07/REP._DOMINGO_TORRES_DIST._25_6_10.jpg,https://sutra.oslpr.org/osl/esutra/AdmLegisladorReg.aspx?rid=735;http://rfsp.eticapr.com/Busqueda;https://www.camara.pr.gov/team/domingo-j-torres-garcia/,https://sutra.oslpr.org/osl/esutra/AdmLegisladorReg.aspx?rid=735;https://www.camara.pr.gov/page-team/;https://www.camara.pr.gov/team/domingo-j-torres-garcia/,,,,,,,djtorresgarcia,,,domingotorres25,
