id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/9dbec823-aab4-40bb-a26a-e51a896dcc1f,Alana DiMario,Democratic,36,upper,Alana,DiMario,,sen-dimario@rilegislature.gov,,,,http://www.rilegislature.gov/senators/Pictures/DiMario 2023.jpg,http://www.rilegislature.gov/senators/algiere/default.aspx;http://www.rilegislature.gov/senators/dimario/Pages/Biography.aspx,http://webserver.rilin.state.ri.us/Email/SenEmailListDistrict.asp;http://www.rilegislature.gov/senators/dimario/default.aspx;http://webserver.rilegislature.gov/Email/SenEmailListDistrict.asp;http://www.rilegislature.gov/SiteAssets/MailingLists/Representatives.xls;http://www.rilegislature.gov/senators/dimario/Pages/Biography.aspx,,,,"47 Tupelo Trail, Narragansett, RI 02882",401-276-5568,,,,,,
ocd-person/7769ff96-3f6e-4747-b14b-de0a8648af61,Alex Marszalkowski,Democratic,52,lower,Alex,Marszalkowski,Male,rep-Marszalkowski@rilegislature.gov,,,,http://www.rilegislature.gov/representatives/Pictures/marszalkowski.jpg,http://www.rilin.state.ri.us/representatives/carson/;http://www.rilegislature.gov/representatives/carson/default.aspx;http://www.rilegislature.gov/representatives/Marszalkowski/default.aspx,http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilin.state.ri.us/representatives/Marszalkowski/;http://www.rilegislature.gov/representatives/Marszalkowski/default.aspx;http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilegislature.gov/SiteAssets/MailingLists/Representatives.xls;http://www.rilegislature.gov/representatives/Marszalkowski/default.aspx,,,,"20 Waumsett Avenue, Cumberland, RI 02864",401-714-4425,,,,,,
ocd-person/202a1def-abb3-4f77-8ef1-5c453d2d5423,Alex S. Finkelman,Democratic,74,lower,,,,rep-finkelman@rilegislature.gov,,,,http://www.rilegislature.gov/representatives/Pictures/Finkelman.jpg,http://www.rilegislature.gov/representatives/finkelmana/Pages/biography.aspx;http://www.rilegislature.gov/representatives/finkelman/Pages/biography.aspx,http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilegislature.gov/SiteAssets/MailingLists/Representatives.xls;http://www.rilegislature.gov/representatives/finkelmana/Pages/biography.aspx;http://www.rilegislature.gov/representatives/finkelman/Pages/biography.aspx,,,,"28 Bayberry Road, Jamestown, RI 02835",401-206-1030,,,,,,
ocd-person/a857e27b-7ced-43ad-bd08-a954e5f781ac,Ana B. Quezada,Democratic,2,upper,Ana B.,Quezada,Female,sen-Quezada@rilegislature.gov,,,,http://www.rilegislature.gov/senators/Pictures/Quezada-2022.jpg?csf=1&e=BngAig,http://www.rilin.state.ri.us/senators/Algiere/;http://www.rilegislature.gov/senators/algiere/default.aspx;http://www.rilegislature.gov/senators/quezada/Pages/Biography.aspx,http://webserver.rilin.state.ri.us/Email/SenEmailListDistrict.asp;http://www.rilin.state.ri.us/senators/Quezada/;http://www.rilegislature.gov/senators/quezada/default.aspx;http://webserver.rilegislature.gov/Email/SenEmailListDistrict.asp;http://www.rilegislature.gov/SiteAssets/MailingLists/Representatives.xls;http://www.rilegislature.gov/senators/quezada/Pages/Biography.aspx,,,,"P.O. Box 27666, Providence, RI 02907",401-255-0345,,,,,,
ocd-person/b9359c6a-fbb2-4165-af9b-a6c63290d851,Anthony J. DeSimone,Democratic,5,lower,,,,rep-desimone@rilegislature.gov,,,,http://www.rilegislature.gov/representatives/Pictures/DeSimone.jpg,http://www.rilegislature.gov/representatives/disemonea/Pages/Biography.aspx;http://www.rilegislature.gov/representatives/desimone/Pages/Biography.aspx,http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilegislature.gov/SiteAssets/MailingLists/Representatives.xls;http://www.rilegislature.gov/representatives/disemonea/Pages/Biography.aspx;http://www.rilegislature.gov/representatives/desimone/Pages/Biography.aspx,,,,"9 Udell Street, Providence, RI 02904",401-580-7316,,,,,,
ocd-person/89e97b3f-598f-4f81-8927-28a32afc4bbc,Anthony P. DeLuca II,Republican,29,upper,,,,sen-deluca@rilegislature.gov,,,,http://www.rilegislature.gov/senators/Pictures/DeLuca 2023.jpg,http://www.rilegislature.gov/Senators/delucaa/pages/biography.aspx;http://www.rilegislature.gov/Senators/deluca/pages/biography.aspx,http://webserver.rilegislature.gov/Email/SenEmailListDistrict.asp;http://www.rilegislature.gov/SiteAssets/MailingLists/Representatives.xls;http://www.rilegislature.gov/Senators/delucaa/pages/biography.aspx;http://www.rilegislature.gov/Senators/deluca/pages/biography.aspx,,,,"408 Sandy Lane, Warwick, RI 02889",401-222-2708,,,,,,
ocd-person/6d4c7be7-4e68-4aa1-9262-81995fcc231e,Arthur Handy,Democratic,18,lower,Arthur,Handy,Male,rep-handy@rilegislature.gov,,,,http://www.rilegislature.gov/representatives/pictures/handy.jpg,http://www.rilin.state.ri.us/representatives/carson/;http://www.rilegislature.gov/representatives/carson/default.aspx;http://www.rilegislature.gov/representatives/handy/default.aspx,http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilin.state.ri.us/representatives/Handy/;http://www.rilegislature.gov/representatives/handy/default.aspx;http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilegislature.gov/SiteAssets/MailingLists/Representatives.xls;http://www.rilegislature.gov/representatives/handy/default.aspx,,,,"26 Welfare Avenue, Cranston, RI 02910",401-785-8996,,,,,,
ocd-person/6cb1ca03-2ea8-4ee8-9ecb-faa37f4c5966,Arthur J. Corvese,Democratic,55,lower,Arthur J.,Corvese,Male,rep-corvese@rilegislature.gov,,,,http://www.rilegislature.gov/representatives/pictures/corvese.jpg,http://www.rilin.state.ri.us/representatives/carson/;http://www.rilegislature.gov/representatives/carson/default.aspx;http://www.rilegislature.gov/representatives/corvese/default.aspx,http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilin.state.ri.us/representatives/Corvese/;http://www.rilegislature.gov/representatives/corvese/default.aspx;http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilegislature.gov/SiteAssets/MailingLists/Representatives.xls;http://www.rilegislature.gov/representatives/corvese/default.aspx,,,,"234 Lexington Avenue, North Providence, RI 02904",401-353-8695,,,,,,
ocd-person/1b484c91-da0b-497b-b7ec-60b20593a0a1,Barbara Ann Fenton-Fung,Republican,15,lower,,,,rep-Fenton-Fung@rilegislature.gov,,,,http://www.rilegislature.gov/representatives/Pictures/fenton-fung.jpg,http://www.rilegislature.gov/representatives/carson/default.aspx;http://www.rilegislature.gov/representatives/fenton-fung/default.aspx,http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilegislature.gov/representatives/fenton-fung/default.aspx;http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilegislature.gov/SiteAssets/MailingLists/Representatives.xls;http://www.rilegislature.gov/representatives/fenton-fung/default.aspx,,,,"P.O. Box 8542, Cranston, RI 02920",401-578-8419,,,,,,
ocd-person/6ddaaa6f-48c9-468e-a744-714728251586,Brandon C. Potter,Democratic,16,lower,,,,rep-potter@rilegislature.gov,,,,http://www.rilegislature.gov/representatives/Pictures/potter.jpg,http://www.rilegislature.gov/representatives/carson/default.aspx;http://www.rilegislature.gov/representatives/potter/default.aspx,http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilegislature.gov/representatives/potter/default.aspx;http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilegislature.gov/SiteAssets/MailingLists/Representatives.xls;http://www.rilegislature.gov/representatives/potter/default.aspx,,,,"62 Grove Avenue, Cranston, RI 02910",401-400-2276,,,,,,
