id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/340b7b78-4f07-49ef-8872-dab35cf48c5c,A. Shane Massey,Republican,25,upper,A. Shane,Massey,Male,,,,,https://scstatehouse.gov/images/members/1185227131.jpg,http://www.scstatehouse.gov/member.php?code=1185227131;https://www.scstatehouse.gov/member.php?code=1185227131;https://scstatehouse.gov/member.php?code=1185227131,http://www.scstatehouse.gov/member.php?chamber=S;http://www.scstatehouse.gov/member.php?code=1185227131;https://www.scstatehouse.gov/member.php?chamber=S;https://www.scstatehouse.gov/member.php?code=1185227131;https://scstatehouse.gov/member.php?chamber=S;https://scstatehouse.gov/member.php?code=1185227131,,,,"P.O. Box 551 Edgefield, SC 29824",,,,,,,
ocd-person/d1f0e6e5-5d28-4e9e-a0f9-04d6164b4173,Adam M. Morgan,Republican,20,lower,Adam,Morgan,,,,,,https://scstatehouse.gov/images/members/1370454381.jpg,http://www.scstatehouse.gov/member.php?code=1370454381;https://www.scstatehouse.gov/member.php?code=1370454381;https://scstatehouse.gov/member.php?code=1370454381,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1370454381;https://www.scstatehouse.gov/member.php?chamber=H;https://www.scstatehouse.gov/member.php?code=1370454381;https://scstatehouse.gov/member.php?chamber=H;https://scstatehouse.gov/member.php?code=1370454381,,,,"803 Ikes Rd. Taylors, SC 29687",864-517-7068,,,,,,
ocd-person/6b6644b8-f861-4969-be50-9844287b4a60,Anne J. Thayer,Republican,9,lower,Anne,Thayer,Female,,,,,https://scstatehouse.gov/images/members/1812499783.jpg,http://www.scstatehouse.gov/member.php?code=1812499783;https://www.scstatehouse.gov/member.php?code=1812499783;https://scstatehouse.gov/member.php?code=1812499783,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1812499783;https://www.scstatehouse.gov/member.php?chamber=H;https://www.scstatehouse.gov/member.php?code=1812499783;https://scstatehouse.gov/member.php?chamber=H;https://scstatehouse.gov/member.php?code=1812499783,,,,"2010 Lindale Rd. Anderson, SC 29621",864-940-1696,,,,,,
ocd-person/86e53967-3383-4df1-b3b6-49aa2b327110,Annie E. McDaniel,Democratic,41,lower,Annie,McDaniel,Female,,,,,https://scstatehouse.gov/images/members/1221590763.jpg,http://www.scstatehouse.gov/member.php?code=1221590763;https://www.scstatehouse.gov/member.php?code=1221590763;https://scstatehouse.gov/member.php?code=1221590763,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1221590763;https://www.scstatehouse.gov/member.php?chamber=H;https://www.scstatehouse.gov/member.php?code=1221590763;https://scstatehouse.gov/member.php?chamber=H;https://scstatehouse.gov/member.php?code=1221590763,,,,,803-960-5782,,,,,,
ocd-person/dbb8fc98-5116-44c4-8009-8c91e514dec1,April Cromer,Republican,6,lower,April,Cromer,,,,,,https://scstatehouse.gov/images/members/0434090857.jpg,https://scstatehouse.gov/member.php?code=0434090857,https://scstatehouse.gov/member.php?chamber=H;https://scstatehouse.gov/member.php?code=0434090857,,,,"P.O. Box 1535 Anderson, SC 29621",,,,,,,
ocd-person/14cfa78e-9970-4c17-97dc-420de50ed081,Ashley B. Trantham,Republican,28,lower,Ashley,Trantham,Female,,,,,https://scstatehouse.gov/images/members/1841477052.jpg,http://www.scstatehouse.gov/member.php?code=1841477052;https://www.scstatehouse.gov/member.php?code=1841477052;https://scstatehouse.gov/member.php?code=1841477052,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1841477052;https://www.scstatehouse.gov/member.php?chamber=H;https://www.scstatehouse.gov/member.php?code=1841477052;https://scstatehouse.gov/member.php?chamber=H;https://scstatehouse.gov/member.php?code=1841477052,,,,"305 McKittrick Rd. Pelzer, SC 29669",864-704-1058,,,,,,
ocd-person/7b3e5580-ce7c-4c48-b021-173b8cbd8a77,Bart T. Blackwell,Republican,81,lower,Bart,Blackwell,Male,,,,,https://scstatehouse.gov/images/members/0144318165.jpg,http://www.scstatehouse.gov/member.php?code=0144318165;https://www.scstatehouse.gov/member.php?code=0144318165;https://scstatehouse.gov/member.php?code=0144318165,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0144318165;https://www.scstatehouse.gov/member.php?chamber=H;https://www.scstatehouse.gov/member.php?code=0144318165;https://scstatehouse.gov/member.php?chamber=H;https://scstatehouse.gov/member.php?code=0144318165,,,,"P.O. Box 6658 Aiken, SC 29804",803-648-1826,,,,,,
ocd-person/a45d8c37-372d-4d32-b9a5-cce96299ea3d,Beth E. Bernstein,Democratic,78,lower,Beth,Bernstein,Female,,,,,https://scstatehouse.gov/images/members/0141477256.jpg,http://www.scstatehouse.gov/member.php?code=0141477256;https://www.scstatehouse.gov/member.php?code=0141477256;https://scstatehouse.gov/member.php?code=0141477256,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0141477256;https://www.scstatehouse.gov/member.php?chamber=H;https://www.scstatehouse.gov/member.php?code=0141477256;https://scstatehouse.gov/member.php?chamber=H;https://scstatehouse.gov/member.php?code=0141477256,,,,"1019 Assembly St. Columbia, SC 29201",803-799-7900,,,,,,
ocd-person/010940bd-8041-4f17-b425-5f42c8c07526,Bill Taylor,Republican,86,lower,Bill,Taylor,Male,,,,,https://scstatehouse.gov/images/members/1811363419.jpg,http://www.scstatehouse.gov/member.php?code=1811363419;https://www.scstatehouse.gov/member.php?code=1811363419;https://scstatehouse.gov/member.php?code=1811363419,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1811363419;https://www.scstatehouse.gov/member.php?chamber=H;https://www.scstatehouse.gov/member.php?code=1811363419;https://scstatehouse.gov/member.php?chamber=H;https://scstatehouse.gov/member.php?code=1811363419,,,,"P.O. Box 2646 Aiken, SC 29802",803-270-2012,,,,,,
ocd-person/898bb0dc-8dd1-4c29-b7a6-04f87c7cbd2d,Billy Garrett,Republican,10,upper,Billy,Garrett,Male,,,,,https://scstatehouse.gov/images/members/0638636287.jpg,http://www.scstatehouse.gov/member.php?code=0638636287;https://www.scstatehouse.gov/member.php?code=0638636287;https://scstatehouse.gov/member.php?code=0638636287,http://www.scstatehouse.gov/member.php?chamber=S;http://www.scstatehouse.gov/member.php?code=0638636287;https://www.scstatehouse.gov/member.php?chamber=S;https://www.scstatehouse.gov/member.php?code=0638636287;https://scstatehouse.gov/member.php?chamber=S;https://scstatehouse.gov/member.php?code=0638636287,,,,"109 Oak Avenue Greenwood SC, SC 29646",,,,,,,
