id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/b3bd4f95-946f-4b4b-b58f-ab78345847b7,Adam Lowe,Republican,1,upper,Adam,Lowe,,sen.adam.lowe@capitol.tn.gov,,,,https://www.capitol.tn.gov/senate/members/images/s1.jpg,https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=S1,http://wapp.capitol.tn.gov/apps/LegislatorInfo/directory.aspx?chamber=S;https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=S1,,,,,,,,,,,
ocd-person/ad23d4a9-9a62-40a5-94a5-246f7741c3e2,Andrew Farmer,Republican,17,lower,Andrew,Farmer,,rep.andrew.farmer@capitol.tn.gov,,,,https://www.capitol.tn.gov/house/members/images/h17.jpg,http://www.capitol.tn.gov/house/members/h17.html;https://www.capitol.tn.gov/house/members/h17.html;https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=H17,http://www.capitol.tn.gov/house/members/;http://www.capitol.tn.gov/house/members/h17.html;https://www.capitol.tn.gov/house/members/;https://www.capitol.tn.gov/house/members/h17.html;http://wapp.capitol.tn.gov/apps/LegislatorInfo/directory.aspx?chamber=H;https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=H17,,,,"103 Commerce St. Sevierville, TN 37862",,,,,,,
ocd-person/9c438a2b-61bd-4cf5-80f7-d3cac3a86108,Art Swann,Republican,2,upper,Art,Swann,,sen.art.swann@capitol.tn.gov,,,,https://www.capitol.tn.gov/senate/members/images/s2.jpg,http://www.capitol.tn.gov/senate/members/s2.html;https://www.capitol.tn.gov/senate/members/s2.html;https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=S2,http://www.capitol.tn.gov/senate/members/;http://www.capitol.tn.gov/senate/members/s2.html;https://www.capitol.tn.gov/senate/members/;https://www.capitol.tn.gov/senate/members/s2.html;http://wapp.capitol.tn.gov/apps/LegislatorInfo/directory.aspx?chamber=S;https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=S2,,,,"P.O. Box 854 Alcoa, TN 37701",,,,,,,
ocd-person/592971a7-2e11-4bed-a57d-71187e174329,Becky Duncan Massey,Republican,6,upper,Becky,Massey,,sen.becky.massey@capitol.tn.gov,,,,https://www.capitol.tn.gov/senate/members/images/s6.jpg,http://www.capitol.tn.gov/senate/members/s6.html;https://www.capitol.tn.gov/senate/members/s6.html;https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=S6,http://www.capitol.tn.gov/senate/members/;http://www.capitol.tn.gov/senate/members/s6.html;https://www.capitol.tn.gov/senate/members/;https://www.capitol.tn.gov/senate/members/s6.html;http://wapp.capitol.tn.gov/apps/LegislatorInfo/directory.aspx?chamber=S;https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=S6,,,,,,,,,,,
ocd-person/46b6a1b2-f0c0-4e9a-a506-a81e12e329f5,Bill Powers,Republican,22,upper,Bill,Powers,,sen.bill.powers@capitol.tn.gov,,,,https://www.capitol.tn.gov/senate/members/images/s22.jpg,http://www.capitol.tn.gov/senate/members/s22.html;https://www.capitol.tn.gov/senate/members/s22.html;https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=S22,http://www.capitol.tn.gov/senate/members/;http://www.capitol.tn.gov/senate/members/s22.html;https://www.capitol.tn.gov/senate/members/;https://www.capitol.tn.gov/senate/members/s22.html;http://wapp.capitol.tn.gov/apps/LegislatorInfo/directory.aspx?chamber=S;https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=S22,,,,,,,,,,,
ocd-person/e0272220-99f1-4cfb-9d29-946b86279e0b,Bo Mitchell,Democratic,50,lower,Bo,Mitchell,,rep.bo.mitchell@capitol.tn.gov,,,,https://www.capitol.tn.gov/house/members/images/h50.jpg,http://www.capitol.tn.gov/house/members/h50.html;https://www.capitol.tn.gov/house/members/h50.html;https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=H50,http://www.capitol.tn.gov/house/members/;http://www.capitol.tn.gov/house/members/h50.html;https://www.capitol.tn.gov/house/members/;https://www.capitol.tn.gov/house/members/h50.html;http://wapp.capitol.tn.gov/apps/LegislatorInfo/directory.aspx?chamber=H;https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=H50,,,,"6421 Riverplace Drive Nashville, TN 37221",,,,,,,
ocd-person/86d5ff12-369b-41a4-9626-237425063c1b,Bo Watson,Republican,11,upper,Bo,Watson,,sen.bo.watson@capitol.tn.gov,,,,https://www.capitol.tn.gov/senate/members/images/s11.jpg,http://www.capitol.tn.gov/senate/members/s11.html;https://www.capitol.tn.gov/senate/members/s11.html;https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=S11,http://www.capitol.tn.gov/senate/members/;http://www.capitol.tn.gov/senate/members/s11.html;https://www.capitol.tn.gov/senate/members/;https://www.capitol.tn.gov/senate/members/s11.html;http://wapp.capitol.tn.gov/apps/LegislatorInfo/directory.aspx?chamber=S;https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=S11,,,,"P.O. Box 2059 Hixson, TN 37343",,,,,,,
ocd-person/c8a26be8-8de1-434b-864a-21697f8f15d4,Bob Freeman,Democratic,56,lower,Bob,Freeman,,rep.bob.freeman@capitol.tn.gov,,,,https://www.capitol.tn.gov/house/members/images/h56.jpg,http://www.capitol.tn.gov/house/members/h56.html;https://www.capitol.tn.gov/house/members/h56.html;https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=H56,http://www.capitol.tn.gov/house/members/;http://www.capitol.tn.gov/house/members/h56.html;https://www.capitol.tn.gov/house/members/;https://www.capitol.tn.gov/house/members/h56.html;http://wapp.capitol.tn.gov/apps/LegislatorInfo/directory.aspx?chamber=H;https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=H56,,,,"P.O. Box 331665 Nashville, TN 37203",,,,,,,
ocd-person/d3f48e28-4ee5-4027-9670-0d617ca6048e,Brent Taylor,Republican,31,upper,Brent,Taylor,,sen.brent.taylor@capitol.tn.gov,,,,https://www.capitol.tn.gov/senate/members/images/s31.jpg,https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=S31,http://wapp.capitol.tn.gov/apps/LegislatorInfo/directory.aspx?chamber=S;https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=S31,,,,,,,,,,,
ocd-person/de8e2d6f-efd8-45f5-b261-5963db78b909,Brock Martin,Republican,79,lower,Brock,Martin,,rep.brock.martin@capitol.tn.gov,,,,https://www.capitol.tn.gov/house/members/images/h79.jpg,https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=H79,http://wapp.capitol.tn.gov/apps/LegislatorInfo/directory.aspx?chamber=H;https://wapp.capitol.tn.gov/apps/legislatorinfo/member.aspx?district=H79,,,,"P.O Box 362 Huntingdon, TN 38344",,,,,,,
