id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/8487aadf-5bd8-46b1-97a3-2db855c534a0,A. Cory Maloy,Republican,52,lower,A. Cory,Maloy,Male,corymaloy@le.utah.gov,,,,https://le.utah.gov/images/legislator/MALOYC.jpg,http://house.utah.gov/rep/MALOYC;https://le.utah.gov/asp/billsintro/SenResults.asp?Listbox2=MALOYC;https://le.utah.gov/Documents/demographic/profiles/2020/House_Dist06.pdf;https://le.utah.gov/house2/CofI/COFIMALOYC1.pdf;https://le.utah.gov/house2/CofI/COFIMALOYC.pdf;https://le.utah.gov/house2/CofI/MALOYC3.pdf;https://le.utah.gov/house2/CofI/MALOYC2.pdf;http://le.utah.gov/house2/CofI/MALOYC.pdf;https://disclosures.utah.gov/Search/PublicSearch/FolderDetails/1414486;http://house.utah.gov/rep/MALOYC/;https://le.utah.gov/asp/billsintro/RepResults.asp?Listbox3=MALOYC;https://le.utah.gov/Documents/demographic/profiles/2022/House_Dist52.pdf,http://le.utah.gov/data/legislators.json;https://le.utah.gov/data/legislators.json;http://house.utah.gov/rep/MALOYC/,,,,"283 E 500 N, LEHI, UT, 84043",,,,,,,
ocd-person/eac36970-1c63-4b4c-81b1-3a39536bd69d,Andrew Stoddard,Democratic,40,lower,Andrew,Stoddard,Male,astoddard@le.utah.gov,,,,https://le.utah.gov/images/legislator/STODDA.jpg,http://house.utah.gov/rep/STODDA;https://le.utah.gov/asp/billsintro/SenResults.asp?Listbox2=STODDA;https://le.utah.gov/Documents/demographic/profiles/2020/House_Dist44.pdf;https://le.utah.gov/house2/CofI/COFISTODDA.pdf;https://disclosures.utah.gov/Search/PublicSearch/FolderDetails/1415014;http://house.utah.gov/rep/STODDA/;https://le.utah.gov/asp/billsintro/RepResults.asp?Listbox3=STODDA;https://le.utah.gov/Documents/demographic/profiles/2022/House_Dist40.pdf,http://le.utah.gov/data/legislators.json;https://le.utah.gov/data/legislators.json;http://house.utah.gov/rep/STODDA/,,,,"218 E 8135 S, SANDY, UT, 84070",,,,,,,
ocd-person/d987aff4-abcf-4f2a-826d-b5741d065d44,Angela Romero,Democratic,25,lower,Angela,Romero,Female,angelaromero@le.utah.gov,,,,https://le.utah.gov/images/legislator/ROMERAY.jpg,http://house.utah.gov/rep/ROMERAY;https://le.utah.gov/asp/billsintro/SenResults.asp?Listbox2=ROMERAY;https://le.utah.gov/Documents/demographic/profiles/2020/House_Dist26.pdf;https://le.utah.gov/house2/CofI/COFIROMERAY1.pdf;https://le.utah.gov/house2/CofI/COFIROMERAY.pdf;http://le.utah.gov/house2/CofI/ROMERAY1.pdf;http://le.utah.gov/house2/CofI/aromero2.pdf;http://le.utah.gov/house2/CofI/aromero.pdf;http://le.utah.gov/house2/CofI/ROMERAY.pdf;https://disclosures.utah.gov/Search/PublicSearch/FolderDetails/1411502;http://house.utah.gov/rep/ROMERAY/;https://le.utah.gov/asp/billsintro/RepResults.asp?Listbox3=ROMERAY;https://le.utah.gov/Documents/demographic/profiles/2022/House_Dist25.pdf,http://le.utah.gov/data/legislators.json;https://le.utah.gov/data/legislators.json;http://house.utah.gov/rep/ROMERAY/,,,,"PO BOX 25732, SALT LAKE CITY, UT, 84125",,,,,,,
ocd-person/6b86542a-9b8a-418f-a275-6c261cdd86d2,Ann Millner,Republican,5,upper,Ann,Millner,Female,amillner@le.utah.gov,,,,https://le.utah.gov/images/legislator/MILLNA.jpg,https://senate.utah.gov/ann-millner;https://le.utah.gov/asp/billsintro/SenResults.asp?Listbox2=MILLNA;https://le.utah.gov/Documents/demographic/profiles/2020/Senate_Dist18.pdf;https://le.utah.gov/senate/CofI/COFIMILLNA.pdf;https://disclosures.utah.gov/Search/PublicSearch/FolderDetails/1412594;https://senate.utah.gov/sen/MILLNA/;https://le.utah.gov/Documents/demographic/profiles/2022/Senate_Dist05.pdf,http://le.utah.gov/data/legislators.json;https://le.utah.gov/data/legislators.json;https://senate.utah.gov/sen/MILLNA/,,,,"4287 Harrison Blvd #313, Ogden, UT, 84403",801-900-3897,,,,,,
ocd-person/7c0df02d-1ef0-4fa9-b708-ccafff35649e,Anthony E. Loubet,Republican,27,lower,,,,aloubet@le.utah.gov,,,,https://le.utah.gov/images/legislator/LOUBEA.jpg,https://le.utah.gov/asp/billsintro/RepResults.asp?Listbox3=LOUBEA;https://le.utah.gov/Documents/demographic/profiles/2022/House_Dist27.pdf;http://house.utah.gov/rep/LOUBEA/,https://le.utah.gov/data/legislators.json;http://house.utah.gov/rep/LOUBEA/,,,,"4956 W 6200 S #434, Kearns, UT, 84118",801-657-0466,,,,,,
ocd-person/8a770a9d-d24e-4468-9194-fa2ff1f422e3,Ashlee Matthews,Democratic,37,lower,Ashlee,Matthews,Female,amatthews@le.utah.gov,,,,https://le.utah.gov/images/legislator/MATTHA.jpg,http://house.utah.gov/rep/MATTHA;https://le.utah.gov/asp/billsintro/SenResults.asp?Listbox2=MATTHA;https://le.utah.gov/Documents/demographic/profiles/2020/House_Dist38.pdf;http://house.utah.gov/rep/MATTHA/;https://le.utah.gov/asp/billsintro/RepResults.asp?Listbox3=MATTHA;https://disclosures.utah.gov/Search/PublicSearch/FolderDetails/1415432;https://le.utah.gov/Documents/demographic/profiles/2022/House_Dist37.pdf,http://le.utah.gov/data/legislators.json;https://le.utah.gov/data/legislators.json;http://house.utah.gov/rep/MATTHA/,,,,,,,,,,,
ocd-person/7203ffd4-b488-486d-b81c-8437cc50fc88,Brad R. Wilson,Republican,15,lower,Brad,Wilson,Male,bradwilson@le.utah.gov,,,,https://le.utah.gov/images/legislator/WILSOBR.jpg,http://house.utah.gov/rep/WILSOBR;https://le.utah.gov/asp/billsintro/SenResults.asp?Listbox2=WILSOBR;https://le.utah.gov/Documents/demographic/profiles/2020/House_Dist15.pdf;https://le.utah.gov/house2/CofI/COFIWILSOBR2.pdf;https://le.utah.gov/house2/CofI/COFIWILSOBR1.pdf;https://le.utah.gov/house2/CofI/COFIWILSOBR.pdf;http://le.utah.gov/house2/CofI/WILSOBR3.pdf;http://le.utah.gov/house2/CofI/WILSOBR2.pdf;http://le.utah.gov/house2/CofI/WILSOBR1.pdf;http://le.utah.gov/house2/CofI/bwilson5.pdf;http://le.utah.gov/house2/CofI/bwilson4.pdf;http://le.utah.gov/house2/CofI/bwilson3.pdf;http://le.utah.gov/house2/CofI/bwilson2.pdf;http://le.utah.gov/house2/CofI/bwilson.pdf;http://le.utah.gov/house2/CofI/WILSOBR.pdf;https://disclosures.utah.gov/Search/PublicSearch/FolderDetails/1409581;http://house.utah.gov/rep/WILSOBR/;https://le.utah.gov/asp/billsintro/RepResults.asp?Listbox3=WILSOBR;https://le.utah.gov/Documents/demographic/profiles/2022/House_Dist15.pdf,http://le.utah.gov/data/legislators.json;https://le.utah.gov/data/legislators.json;http://house.utah.gov/rep/WILSOBR/,,,,,,,,,,,
ocd-person/b8751ce0-ba9b-44a0-8658-9cc9dc5f4c2c,Brady Brammer,Republican,54,lower,Brady,Brammer,Male,bbrammer@le.utah.gov,,,,https://le.utah.gov/images/legislator/BRAMMB.jpg,http://house.utah.gov/rep/BRAMMB;https://le.utah.gov/asp/billsintro/SenResults.asp?Listbox2=BRAMMB;https://le.utah.gov/Documents/demographic/profiles/2020/House_Dist27.pdf;https://le.utah.gov/house2/CofI/COFIBRAMMB.pdf;https://disclosures.utah.gov/Search/PublicSearch/FolderDetails/1415048;http://house.utah.gov/rep/BRAMMB/;https://le.utah.gov/asp/billsintro/RepResults.asp?Listbox3=BRAMMB;https://le.utah.gov/Documents/demographic/profiles/2022/House_Dist54.pdf,http://le.utah.gov/data/legislators.json;https://le.utah.gov/data/legislators.json;http://house.utah.gov/rep/BRAMMB/,,,,"1955 W Grove Parkway, Suite 200, Pleasant Grove, UT, 84062",,,,,,,
ocd-person/e2970b9c-6ce8-4b35-bf40-54713435cf46,Brett Garner,Democratic,31,lower,Brett,Garner,,bgarner@le.utah.gov,,,,https://le.utah.gov/images/legislator/GARNEB.jpg,https://le.utah.gov/asp/billsintro/RepResults.asp?Listbox3=GARNEB;https://le.utah.gov/Documents/demographic/profiles/2022/House_Dist31.pdf;http://house.utah.gov/rep/GARNEB/,https://le.utah.gov/data/legislators.json;http://house.utah.gov/rep/GARNEB/,,,,"2418 W 3965 S, West Valley City, UT, 84119",,,,,,,
ocd-person/4711de1a-bc47-4ae2-b22e-de982ca7d42e,Brian S. King,Democratic,23,lower,Brian,King,Male,briansking@le.utah.gov,,,,https://le.utah.gov/images/legislator/KINGBS.jpg,http://house.utah.gov/rep/KINGBS;https://le.utah.gov/asp/billsintro/SenResults.asp?Listbox2=KINGBS;https://le.utah.gov/Documents/demographic/profiles/2020/House_Dist28.pdf;https://le.utah.gov/house2/CofI/COFIKINGBS1.pdf;https://le.utah.gov/house2/CofI/COFIKINGBS.pdf;http://le.utah.gov/house2/CofI/brianking3.pdf;http://le.utah.gov/house2/CofI/brianking2.pdf;http://le.utah.gov/house2/CofI/brianking.pdf;http://le.utah.gov/house2/CofI/KINGBS.pdf;https://disclosures.utah.gov/Search/PublicSearch/FolderDetails/1883;http://house.utah.gov/rep/KINGBS/;https://le.utah.gov/asp/billsintro/RepResults.asp?Listbox3=KINGBS;https://le.utah.gov/Documents/demographic/profiles/2022/House_Dist23.pdf,http://le.utah.gov/data/legislators.json;https://le.utah.gov/data/legislators.json;http://house.utah.gov/rep/KINGBS/,,,,"875 S DONNER WAY #1504, SALT LAKE CITY, UT, 84108",801-532-1739,801-532-1936,,,,,
