id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/893606ce-e251-4dad-8a0f-f101acde8a7f,A.C. Cordoza,Republican,91,lower,A.C.,Cordoza,Male,delaccordoza@house.virginia.gov,,,,http://memdata.virginiageneralassembly.gov/images/display_image/H0337,http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H337,http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H337,,,,"102 Pratt Street; Fort Monroe, Virginia 23651",757-751-0929,,,,,,
ocd-person/4a329580-86d3-4db3-915e-9f1af71e0a5a,Aaron Rouse,Democratic,7,upper,Aaron,Rouse,Male,district07@senate.virginia.gov,,,,https://apps.senate.virginia.gov/Senator/images/member_photos/Rouse7,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S113,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S113,,,,"P.O. Box 2864; Virginia Beach, Virginia 23450",757-990-3080,,,,,,
ocd-person/2a48661b-97f1-4b4c-a131-26290542f1ec,Adam P. Ebbin,Democratic,30,upper,Adam P.,Ebbin,Male,district30@senate.virginia.gov,,,,https://apps.lis.virginia.gov/senatepics/newbiopics/Ebbin30.jpg,http://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+S85;http://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+S85;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+S85,http://lis.virginia.gov/191/mbr/MBR.HTM;http://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+S85;http://lis.virginia.gov/201/mbr/MBR.HTM;http://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+S85;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+S85,,,,"P.O. Box 26415; Alexandria, Virginia 22313",571-384-8957,,AdamEbbin,,,EbbinCampaign,
ocd-person/ed935430-db59-4962-91f7-c0eeca2ef8e2,Alfonso H. Lopez,Democratic,49,lower,Alfonso H.,Lopez,Male,DelALopez@house.virginia.gov,,,,http://memdata.virginiageneralassembly.gov/images/display_image/H0239,http://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+H239;http://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+H239;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H239,http://lis.virginia.gov/191/mbr/MBR.HTM;http://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+H239;http://lis.virginia.gov/201/mbr/MBR.HTM;http://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+H239;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H239,,,,"P.O. Box 40366; Arlington, Virginia 22204",,,Lopez4VA,,,Lopez4VA,
ocd-person/3978e9b7-e219-4863-9788-1bf7991d32fb,Amanda E. Batten,Republican,96,lower,Amanda E.,Batten,Female,DelABatten@house.virginia.gov,,,,http://memdata.virginiageneralassembly.gov/images/display_image/H0313,http://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+H313;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H313,http://lis.virginia.gov/201/mbr/MBR.HTM;http://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+H313;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H313,,,,"P.O. Box 194; Norge, Virginia 23127",804-698-1096,,,,,AmandaBatten4Delegate,
ocd-person/259aaf2e-5bf0-4a51-914b-f31de22e6264,Amanda F. Chase,Republican,11,upper,Amanda F.,Chase,Female,district11@senate.virginia.gov,,,,https://apps.lis.virginia.gov/senatepics/newbiopics/Chase11.jpg,http://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+S95;http://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+S95;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+S95,http://lis.virginia.gov/191/mbr/MBR.HTM;http://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+S95;http://lis.virginia.gov/201/mbr/MBR.HTM;http://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+S95;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+S95,,,,"P.O. Box 5811; Midlothian, Virginia 23112",,,AmandaChaseVA,,,Chase4Senate,
ocd-person/f747c790-f609-4da1-b125-73f1807e1430,Angelia Williams Graves,Democratic,90,lower,Angelia Williams,Graves,Female,DelAGraves@house.virginia.gov,,,,http://memdata.virginiageneralassembly.gov/images/display_image/H0331,https://virginiageneralassembly.gov/house/members/members.php?id=H0331;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H331,https://virginiageneralassembly.gov/house/members/members.php?id=H0331;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H331,,,,"5121 East Virginia Beach Blvd.; Suite A-1; Norfolk, Virginia 23502",,,AWGNorfolk,,,awgnorfolk,
ocd-person/9fd6fbd7-5e4e-4426-9d5a-43173ab01489,Anne Ferrell Tata,Republican,82,lower,,,Female,delaftata@house.virginia.gov,,,,http://memdata.virginiageneralassembly.gov/images/display_image/H0345,http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H345,http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H345,,,,"P.O. Box 1442; Virginia Beach, Virginia 23451",757-213-5193,,,,,,
ocd-person/72ecc30c-7175-4aef-9762-fda3ba5b451e,Barbara A. Favola,Democratic,31,upper,Barbara A.,Favola,Female,district31@senate.virginia.gov,,,,https://apps.lis.virginia.gov/senatepics/newbiopics/FavolaBW2014.png,http://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+S86;http://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+S86;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+S86,http://lis.virginia.gov/191/mbr/MBR.HTM;http://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+S86;http://lis.virginia.gov/201/mbr/MBR.HTM;http://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+S86;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+S86,,,,"2319 18th Street North; Arlington, Virginia 22201-3506",703-835-4845,,BarbaraFavola,,,BarbaraFavola,
ocd-person/ad635a25-a109-47ab-97dc-9b7042d65da1,Barry D. Knight,Republican,81,lower,Barry D.,Knight,Male,DelBKnight@house.virginia.gov,,,,http://memdata.virginiageneralassembly.gov/images/display_image/H0206,http://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+H206;http://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+H206;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H206,http://lis.virginia.gov/191/mbr/MBR.HTM;http://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+H206;http://lis.virginia.gov/201/mbr/MBR.HTM;http://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+H206;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H206,,,,"1852 Mill Landing Road; Virginia Beach, Virginia 23457",,,BarryKnight81,,,BarryKnight81,
ocd-person/a6f78488-1c78-4409-8c4a-bf0d0920e852,Betsy B. Carr,Democratic,69,lower,Betsy B.,Carr,Female,DelBCarr@house.virginia.gov,,,,http://memdata.virginiageneralassembly.gov/images/display_image/H0212,http://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+H212;http://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+H212;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H212,http://lis.virginia.gov/191/mbr/MBR.HTM;http://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+H212;http://lis.virginia.gov/201/mbr/MBR.HTM;http://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+H212;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H212,,,,"P.O. Box 406; Richmond, Virginia 23218",,,,,,delegatebetsycarr,
ocd-person/ec14a514-ce1c-4fba-b053-fcf133793445,Bill DeSteph,Republican,8,upper,Bill R.,DeSteph,Male,district08@senate.virginia.gov,,,,https://apps.lis.virginia.gov/senatepics/newbiopics/DeSteph08.jpg,http://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+S96;http://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+S96;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+S96,http://lis.virginia.gov/191/mbr/MBR.HTM;http://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+S96;http://lis.virginia.gov/201/mbr/MBR.HTM;http://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+S96;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+S96,,,,"588 Central Drive; Virginia Beach, Virginia 23454",757-321-8180,,BillDeSteph,,,destephforva,
ocd-person/23775904-887c-4a2c-9424-0683608193ba,Briana D. Sewell,Democratic,51,lower,,,Female,delbsewell@house.virginia.gov,,,,http://memdata.virginiageneralassembly.gov/images/display_image/H0343,http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H343,http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H343,,,,"P.O. Box 1849; Woodbridge, Virginia 22195",703-261-4746,,,,,,
ocd-person/adb58f21-f2fd-4830-85b6-f490b0867d14,Bryce E. Reeves,Republican,17,upper,Bryce E.,Reeves,Male,district17@senate.virginia.gov,,,,https://apps.lis.virginia.gov/senatepics/newbiopics/Reeves.jpg,http://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+S88;http://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+S88;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+S88,http://lis.virginia.gov/191/mbr/MBR.HTM;http://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+S88;http://lis.virginia.gov/201/mbr/MBR.HTM;http://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+S88;http://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+S88,,,,"P.O. Box 7021; Fredericksburg, Virginia 22404",540-645-8440,,ReevesVA,,,BryceReevesVA,
