id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/76544899-58ec-4065-a3e8-4a4d8a12b4eb,Adam Burkhammer,Republican,64,lower,Adam,Burkhammer,Male,adam.burkhammer@wvhouse.gov,,,,http://www.wvlegislature.gov/images/members/2023/house/burkhammer_adam.jpg,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Burkhammer;http://www.wvlegislature.gov/House/lawmaker.cfm?member=Delegate%20Burkhammer,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Burkhammer;http://www.wvlegislature.gov/House/roster.cfm;http://www.wvlegislature.gov/House/lawmaker.cfm?member=Delegate%20Burkhammer,,,,,,,,,,,
ocd-person/c15b4eb1-1dc4-498f-9929-43ff34445317,Adam Vance,Republican,35,lower,Adam,Vance,,adam.vance@wvhouse.gov,,,,http://www.wvlegislature.gov/images/members/2023/house/vance_adam.jpg,http://www.wvlegislature.gov/House/lawmaker.cfm?member=Delegate%20Vance,http://www.wvlegislature.gov/House/roster.cfm;http://www.wvlegislature.gov/House/lawmaker.cfm?member=Delegate%20Vance,,,,"2013 Cub Creek Road Brenton, WV 24818",,,,,,,
ocd-person/57c08164-a673-4269-84d9-6017e740eaac,Amy Grady,Republican,4,upper,Amy,Grady,Female,amy.grady@wvsenate.gov,,,,http://www.wvlegislature.gov/images/members/2023/senate/grady_amy.jpg,http://www.legis.state.wv.us/Senate1/lawmaker.cfm?member=Senator+Grady;http://www.wvlegislature.gov/Senate1/lawmaker.cfm?member=Senator%20Grady,http://www.legis.state.wv.us/Senate1/lawmaker.cfm?member=Senator+Grady;http://www.wvlegislature.gov/Senate1/roster.cfm;http://www.wvlegislature.gov/Senate1/lawmaker.cfm?member=Senator%20Grady,,,,"19 Foxrun Road Leon, WV 25123",,,,,,,
ocd-person/7a87143b-8365-4687-b116-aa6dc4ff096e,Amy Summers,Republican,73,lower,Amy,Summers,Female,amy.summers@wvhouse.gov,,,,http://www.wvlegislature.gov/images/members/2023/house/summers_amy.jpg,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Summers;http://www.wvlegislature.gov/House/lawmaker.cfm?member=Delegate%20Summers,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Summers;http://www.wvlegislature.gov/House/roster.cfm;http://www.wvlegislature.gov/House/lawmaker.cfm?member=Delegate%20Summers,,,,"98 Meadland Road Flemington, WV 26347",304-842-7958,,,,,,
ocd-person/e6deff1e-fb70-4bf0-a2b6-9c30567fcd9d,Andy Shamblin,Republican,59,lower,Andy,Shamblin,,andy.shamblin@wvhouse.gov,,,,http://www.wvlegislature.gov/images/members/2023/house/shamblin_andy.jpg,http://www.wvlegislature.gov/House/lawmaker.cfm?member=Delegate%20Shamblin,http://www.wvlegislature.gov/House/roster.cfm;http://www.wvlegislature.gov/House/lawmaker.cfm?member=Delegate%20Shamblin,,,,,,,,,,,
ocd-person/f7bbf0af-3af6-4c6c-b861-eae6d6fb6320,Anita Hall,Republican,36,lower,Anita,Hall,,anita.hall@wvhouse.gov,,,,http://www.wvlegislature.gov/images/members/2023/house/hall_anita.jpg,"http://www.wvlegislature.gov/House/lawmaker.cfm?member=Delegate%20Hall,%20A.","http://www.wvlegislature.gov/House/roster.cfm;http://www.wvlegislature.gov/House/lawmaker.cfm?member=Delegate%20Hall,%20A.",,,,,,,,,,,
ocd-person/86a1fdf7-e6af-41b4-8d69-0d0815fc9512,Anitra Hamilton,Democratic,81,lower,Anitra,Hamilton,,anitra.hamilton@wvhouse.gov,,,,http://www.wvlegislature.gov/images/members/2023/house/hamilton_anitra.jpg,http://www.wvlegislature.gov/House/lawmaker.cfm?member=Delegate%20Hamilton,http://www.wvlegislature.gov/House/roster.cfm;http://www.wvlegislature.gov/House/lawmaker.cfm?member=Delegate%20Hamilton,,,,"1342 Hedley Avenue Morgantown, WV 26505",,,,,,,
ocd-person/de50d28d-6a58-4244-8c74-36ca3f41767a,Ben Queen,Republican,12,upper,Ben,Queen,Male,ben.queen@wvsenate.gov,,,,http://www.wvlegislature.gov/images/members/2023/senate/queen_ben.jpg,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Queen;http://www.wvlegislature.gov/House/lawmaker.cfm?member=Delegate%20Queen;http://www.wvlegislature.gov/Senate1/lawmaker.cfm?member=Senator%20Queen,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Queen;http://www.wvlegislature.gov/House/roster.cfm;http://www.wvlegislature.gov/House/lawmaker.cfm?member=Delegate%20Queen;http://www.wvlegislature.gov/Senate1/roster.cfm;http://www.wvlegislature.gov/Senate1/lawmaker.cfm?member=Senator%20Queen,,,,"P.O. 1311 Bridgeport, WV 26330",304-709-2013,,,,,,
ocd-person/8bd21671-34c1-4ba3-aced-0dcaa110029c,Bill Hamilton,Republican,11,upper,Bill,Hamilton,Male,bill.hamilton@wvsenate.gov,,,,http://www.wvlegislature.gov/images/members/2023/senate/hamilton_bill.jpg,http://www.legis.state.wv.us/Senate1/lawmaker.cfm?member=Senator+Hamilton;http://www.wvlegislature.gov/Senate1/lawmaker.cfm?member=Senator%20Hamilton,http://www.legis.state.wv.us/Senate1/lawmaker.cfm?member=Senator+Hamilton;http://www.wvlegislature.gov/Senate1/roster.cfm;http://www.wvlegislature.gov/Senate1/lawmaker.cfm?member=Senator%20Hamilton,,,,"P.O. Box 1192 Buckhannon, WV 26201",304-472-1966,,,,,,
ocd-person/ad2e5607-a6ef-4458-88fc-bea91da19ac6,Bill Ridenour,Republican,100,lower,Bill,Ridenour,,bill.ridenour@wvhouse.gov,,,,http://www.wvlegislature.gov/images/members/2023/house/ridenour_bill.jpg,http://www.wvlegislature.gov/House/lawmaker.cfm?member=Delegate%20Ridenour,http://www.wvlegislature.gov/House/roster.cfm;http://www.wvlegislature.gov/House/lawmaker.cfm?member=Delegate%20Ridenour,,,,,,,,,,,
