id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/9995703e-90eb-4d20-a2f6-bfd9542102bd,Abby Angelos,Republican,3,lower,Abby,Angelos,,Abby.Angelos@wyoleg.gov,,,,https://wyoleg.gov/LegislatorSummary/Photos/67th-AngelosAbby.jpg,http://wyoleg.gov/Legislators/2021/R/2091,https://wyoleg.gov/LsoService/api/legislator/2023/H;https://wyoleg.gov/LsoService/api/legislator/2091,,,,"PO Box 633 , Gillette, WY 82717",307-359-5856,,,,,,
ocd-person/e45f8a3f-31ff-41af-8865-78dee30a7987,Affie Ellis,Republican,8,upper,Affie,Ellis,,Affie.Ellis@wyoleg.gov,,1978-05-28,,https://wyoleg.gov/LegislatorSummary/Photos/67th-EllisAffie.jpg,http://wyoleg.gov/Legislators/2019/R/2031;http://wyoleg.gov/Legislators/2021/R/2031;http://wyoleg.gov/Legislators/2021/R/2031,http://wyoleg.gov/Legislators/2019/R/2031;http://wyoleg.gov/Legislators/2021/R/2031;https://wyoleg.gov/LsoService/api/legislator/2021/S;https://wyoleg.gov/LsoService/api/legislator/2031;https://wyoleg.gov/LsoService/api/legislator/2023/S,,,,"P.O. Box 454, Cheyenne, WY 82003",307-287-9095,,,,,,
ocd-person/a0478325-589a-465b-af7d-1b255fd250c7,Albert Sommers,Republican,20,lower,Albert,Sommers,,Albert.Sommers@wyoleg.gov,,1959-05-27,,https://wyoleg.gov/LegislatorSummary/Photos/67th-SommersAlbert.jpg,http://wyoleg.gov/Legislators/2019/R/1991;http://wyoleg.gov/Legislators/2021/R/1991;http://wyoleg.gov/Legislators/2021/R/1991,http://wyoleg.gov/Legislators/2019/R/1991;http://wyoleg.gov/Legislators/2021/R/1991;https://wyoleg.gov/LsoService/api/legislator/2021/H;https://wyoleg.gov/LsoService/api/legislator/1991;https://wyoleg.gov/LsoService/api/legislator/2023/H,,,,"P.O. Box 1608, Pinedale, WY 82941",307-360-7060,,,,,,
ocd-person/657bbcca-afa8-4e20-986b-bb3b8b6d79b8,Allen Slagle,Republican,2,lower,Allen,Slagle,,Allen.Slagle@wyoleg.gov,,,,https://wyoleg.gov/LegislatorSummary/Photos/67th-SlagleAllen.jpg,http://wyoleg.gov/Legislators/2021/R/2092,https://wyoleg.gov/LsoService/api/legislator/2023/H;https://wyoleg.gov/LsoService/api/legislator/2092,,,,"2114 Cheyenne River Road, Newcastle, WY 82701",307-306-7384,,,,,,
ocd-person/3198aa67-829e-4827-8b26-8955cbf36f4a,Andrew Byron,Republican,22,lower,Andrew,Byron,,Andrew.Byron@wyoleg.gov,,,,https://wyoleg.gov/LegislatorSummary/Photos/67th-ByronAndrew.jpg,http://wyoleg.gov/Legislators/2021/R/2099,https://wyoleg.gov/LsoService/api/legislator/2023/H;https://wyoleg.gov/LsoService/api/legislator/2099,,,,"P.O. Box 4882, Jackson, WY 83001",307-690-2767,,,,,,
ocd-person/35a75333-f3ab-4460-96fd-33c8e17813ea,Anthony Bouchard,Republican,6,upper,Anthony,Bouchard,,Anthony.Bouchard@wyoleg.gov,,1965-08-19,,https://wyoleg.gov/LegislatorSummary/Photos/67th-BouchardAnthony.jpg,http://wyoleg.gov/Legislators/2019/R/2030;http://wyoleg.gov/Legislators/2021/R/2030;http://wyoleg.gov/Legislators/2021/R/2030,http://wyoleg.gov/Legislators/2019/R/2030;http://wyoleg.gov/Legislators/2021/R/2030;https://wyoleg.gov/LsoService/api/legislator/2021/S;https://wyoleg.gov/LsoService/api/legislator/2030;https://wyoleg.gov/LsoService/api/legislator/2023/S,,,,"1903 S. Greeley Hwy. #273, Cheyenne, WY 82007",307-212-6464,,,,,,
ocd-person/394ba273-63d7-409d-90cd-5d183e750ea4,Art Washut,Republican,36,lower,Art,Washut,,Art.Washut@wyoleg.gov,,1957-10-14,,https://wyoleg.gov/LegislatorSummary/Photos/67th-WashutArt.jpg,http://wyoleg.gov/Legislators/2019/R/2058;http://wyoleg.gov/Legislators/2021/R/2058;http://wyoleg.gov/Legislators/2021/R/2058,http://wyoleg.gov/Legislators/2019/R/2058;http://wyoleg.gov/Legislators/2021/R/2058;https://wyoleg.gov/LsoService/api/legislator/2021/H;https://wyoleg.gov/LsoService/api/legislator/2058;https://wyoleg.gov/LsoService/api/legislator/2023/H,,,,"4031 Crystie Lane, Casper, WY 82609",307-251-4725,,,,,,
ocd-person/c6578593-1ca0-4b7d-8635-67249df87c36,Barry Crago,Republican,40,lower,Barry,Crago,,Barry.Crago@wyoleg.gov,,,,https://wyoleg.gov/LegislatorSummary/Photos/67th-CragoBarry.jpg,http://wyoleg.gov/Legislators/2021/R/2078;http://wyoleg.gov/Legislators/2021/R/2078,http://wyoleg.gov/Legislators/2021/R/2078;https://wyoleg.gov/LsoService/api/legislator/2021/H;https://wyoleg.gov/LsoService/api/legislator/2078;https://wyoleg.gov/LsoService/api/legislator/2023/H,,,,"443 Lobban Avenue, Buffalo, WY 82834",307-267-9789,,,,,,
ocd-person/0fc4b869-00b1-4ecf-a84f-2731edeb2ca1,Ben Hornok,Republican,42,lower,Ben,Hornok,,Ben.Hornok@wyoleg.gov,,,,https://wyoleg.gov/LegislatorSummary/Photos/67th-HornokBen.jpg,http://wyoleg.gov/Legislators/2021/R/2108,https://wyoleg.gov/LsoService/api/legislator/2023/H;https://wyoleg.gov/LsoService/api/legislator/2108,,,,"1903 South Greeley Hwy #251, Cheyenne, WY 82007",307-369-3322,,,,,,
ocd-person/2f0d84dc-df29-4c3d-83ea-aa56beca9839,Bill Allemand,Republican,58,lower,Bill,Allemand,,Bill.Allemand@wyoleg.gov,,,,https://wyoleg.gov/LegislatorSummary/Photos/67th-AllemandBill.jpg,http://wyoleg.gov/Legislators/2021/R/2114,https://wyoleg.gov/LsoService/api/legislator/2023/H;https://wyoleg.gov/LsoService/api/legislator/2114,,,,"PO Box 119, Midwest, WY 82643",307-277-0902,,,,,,
